,year,countycode,consumer,non_consumer,all
0,2009,1001,10000.0,1000.0,11000.0
1,2009,1003,49500.0,6000.0,56000.0
2,2009,1005,4000.0,1000.0,4000.0
3,2009,1007,2000.0,0.0,2000.0
4,2009,1009,9500.0,1000.0,10500.0
5,2009,1011,1000.0,0.0,1000.0
6,2009,1013,3500.0,0.0,4000.0
7,2009,1015,24000.0,2000.0,25500.0
8,2009,1017,5000.0,0.0,5000.0
9,2009,1019,3500.0,0.0,4000.0
10,2009,1021,5500.0,1000.0,6000.0
11,2009,1023,2000.0,0.0,2000.0
12,2009,1025,3000.0,1000.0,4000.0
13,2009,1027,2000.0,0.0,2000.0
14,2009,1029,2000.0,0.0,2000.0
15,2009,1031,11000.0,1000.0,12000.0
16,2009,1033,9000.0,1000.0,10000.0
17,2009,1035,1000.0,0.0,1000.0
18,2009,1037,1000.0,0.0,1000.0
19,2009,1039,6000.0,500.0,7000.0
20,2009,1041,2000.0,0.0,2500.0
21,2009,1043,11500.0,1000.0,12500.0
22,2009,1045,10000.0,1000.0,11000.0
23,2009,1047,5500.0,1000.0,6500.0
24,2009,1049,11000.0,1000.0,12000.0
25,2009,1051,17500.0,1000.0,18500.0
26,2009,1053,5500.0,1000.0,6000.0
27,2009,1055,18000.0,2000.0,20500.0
28,2009,1057,2000.0,0.0,2000.0
29,2009,1059,3500.0,0.0,4000.0
30,2009,1061,4000.0,0.0,4500.0
31,2009,1063,1000.0,0.0,1000.0
32,2009,1065,1000.0,0.0,1500.0
33,2009,1067,3000.0,0.0,3000.0
34,2009,1069,20500.0,3000.0,23500.0
35,2009,1071,6500.0,1000.0,7000.0
36,2009,1073,144500.0,15500.0,160500.0
37,2009,1075,2000.0,0.0,2000.0
38,2009,1077,14500.0,2000.0,16000.0
39,2009,1079,3500.0,0.0,3500.0
40,2009,1081,32000.0,2000.0,35000.0
41,2009,1083,14000.0,1000.0,15000.0
42,2009,1085,1000.0,0.0,1000.0
43,2009,1087,2500.0,0.0,3000.0
44,2009,1089,89000.0,8500.0,97500.0
45,2009,1091,3000.0,0.0,3000.0
46,2009,1093,4000.0,500.0,4500.0
47,2009,1095,16500.0,2000.0,18500.0
48,2009,1097,78500.0,8500.0,87500.0
49,2009,1099,4000.0,0.0,4000.0
50,2009,1101,51000.0,7000.0,58000.0
51,2009,1103,22500.0,2000.0,25000.0
52,2009,1105,1000.0,0.0,1000.0
53,2009,1107,2500.0,0.0,3000.0
54,2009,1109,6000.0,500.0,6000.0
55,2009,1111,4000.0,0.0,4000.0
56,2009,1113,9000.0,1000.0,9500.0
57,2009,1115,17500.0,1500.0,19000.0
58,2009,1117,50000.0,4000.0,55000.0
59,2009,1119,1000.0,0.0,2000.0
60,2009,1121,12500.0,1000.0,14500.0
61,2009,1123,8000.0,1000.0,8500.0
62,2009,1125,39000.0,4000.0,42500.0
63,2009,1127,8500.0,1000.0,10000.0
64,2009,1129,2000.0,0.0,2000.0
65,2009,1131,1000.0,0.0,2000.0
66,2009,1133,3000.0,1000.0,3500.0
67,2009,2013,,,0.0
68,2009,2016,1000.0,1000.0,1000.0
69,2009,2020,76500.0,11500.0,88000.0
70,2009,2050,1000.0,,2000.0
71,2009,2060,0.0,,
72,2009,2068,,0.0,
73,2009,2070,0.0,0.0,0.0
74,2009,2090,24000.0,3000.0,27000.0
75,2009,2100,0.0,0.0,1000.0
76,2009,2110,9000.0,1500.0,10500.0
77,2009,2122,13000.0,2000.0,15000.0
78,2009,2130,3000.0,1000.0,4000.0
79,2009,2150,2500.0,500.0,3000.0
80,2009,2164,0.0,0.0,0.0
81,2009,2170,,3000.0,
82,2009,2180,1000.0,0.0,1000.0
83,2009,2185,1000.0,0.0,1000.0
84,2009,2188,,,1000.0
85,2009,2201,0.0,0.0,500.0
86,2009,2220,,0.0,
87,2009,2232,500.0,0.0,1000.0
88,2009,2240,1000.0,0.0,1000.0
89,2009,2261,2000.0,0.0,3000.0
90,2009,2270,0.0,,0.0
91,2009,2280,1000.0,0.0,1500.0
92,2009,2282,,,0.0
93,2009,2290,0.0,0.0,1000.0
94,2009,4001,8500.0,1000.0,9500.0
95,2009,4003,29000.0,2000.0,31000.0
96,2009,4005,37000.0,3000.0,40000.0
97,2009,4007,12500.0,1000.0,13500.0
98,2009,4009,5000.0,0.0,6000.0
99,2009,4011,2000.0,0.0,2000.0
100,2009,4012,3500.0,500.0,3500.0
101,2009,4013,960500.0,72000.0,1032000.0
102,2009,4015,60000.0,4500.0,65000.0
103,2009,4017,19500.0,2000.0,21500.0
104,2009,4019,245000.0,16000.0,261000.0
105,2009,4021,63500.0,3000.0,66500.0
106,2009,4023,7500.0,1000.0,8500.0
107,2009,4025,58500.0,4000.0,62500.0
108,2009,4027,33000.0,2500.0,36000.0
109,2009,5001,3000.0,1000.0,4000.0
110,2009,5003,3000.0,500.0,4000.0
111,2009,5005,11000.0,1000.0,12000.0
112,2009,5007,50500.0,5000.0,55500.0
113,2009,5009,8000.0,1000.0,9000.0
114,2009,5011,1000.0,0.0,2000.0
115,2009,5013,1000.0,0.0,1000.0
116,2009,5015,4000.0,1000.0,5000.0
117,2009,5017,1000.0,0.0,2000.0
118,2009,5019,3500.0,0.0,4000.0
119,2009,5021,2500.0,0.0,3000.0
120,2009,5023,4000.0,1000.0,5000.0
121,2009,5025,1000.0,,
122,2009,5027,3500.0,1000.0,4000.0
123,2009,5029,2000.0,0.0,2500.0
124,2009,5031,19000.0,2000.0,21500.0
125,2009,5033,10000.0,1000.0,11000.0
126,2009,5035,8500.0,1000.0,9500.0
127,2009,5037,2000.0,0.0,3000.0
128,2009,5039,1000.0,0.0,2000.0
129,2009,5041,1500.0,0.0,2000.0
130,2009,5043,1500.0,0.0,2000.0
131,2009,5045,24500.0,2500.0,27000.0
132,2009,5047,2500.0,0.0,3000.0
133,2009,5049,,,
134,2009,5051,20500.0,2000.0,22500.0
135,2009,5053,4000.0,500.0,5000.0
136,2009,5055,8500.0,500.0,9000.0
137,2009,5057,3500.0,500.0,3500.0
138,2009,5059,3500.0,500.0,4500.0
139,2009,5061,1000.0,0.0,2000.0
140,2009,5063,5000.0,1000.0,5500.0
141,2009,5065,2000.0,0.0,2000.0
142,2009,5067,2000.0,0.0,3000.0
143,2009,5069,11000.0,1000.0,12500.0
144,2009,5071,3500.0,500.0,4000.0
145,2009,5073,1000.0,0.0,1000.0
146,2009,5075,2000.0,0.0,2000.0
147,2009,5077,1000.0,0.0,1000.0
148,2009,5079,1000.0,0.0,1000.0
149,2009,5081,2000.0,0.0,2000.0
150,2009,5083,3000.0,0.0,4000.0
151,2009,5085,14500.0,1000.0,15500.0
152,2009,5087,2000.0,0.0,2000.0
153,2009,5089,3000.0,0.0,4000.0
154,2009,5091,4500.0,0.0,5000.0
155,2009,5093,7500.0,1000.0,8500.0
156,2009,5095,1000.0,0.0,1000.0
157,2009,5097,1000.0,0.0,1500.0
158,2009,5099,1000.0,0.0,1000.0
159,2009,5101,1000.0,0.0,1000.0
160,2009,5103,4000.0,0.0,4000.0
161,2009,5105,2000.0,0.0,2000.0
162,2009,5107,3000.0,0.0,3000.0
163,2009,5109,,0.0,
164,2009,5111,3000.0,500.0,4000.0
165,2009,5113,3000.0,500.0,3000.0
166,2009,5115,11500.0,1000.0,12500.0
167,2009,5117,1000.0,0.0,1000.0
168,2009,5119,93500.0,11000.0,104000.0
169,2009,5121,3000.0,0.0,3500.0
170,2009,5123,2500.0,0.0,3000.0
171,2009,5125,19500.0,1500.0,21000.0
172,2009,5127,1000.0,0.0,1000.0
173,2009,5129,1000.0,0.0,1000.0
174,2009,5131,25500.0,3000.0,29500.0
175,2009,5133,2500.0,0.0,3000.0
176,2009,5135,3500.0,0.0,4000.0
177,2009,5137,,0.0,2000.0
178,2009,5139,7500.0,1000.0,8500.0
179,2009,5141,3000.0,0.0,3000.0
180,2009,5143,43500.0,5000.0,48000.0
181,2009,5145,11500.0,1500.0,12500.0
182,2009,5147,1000.0,0.0,1000.0
183,2009,5149,3000.0,0.0,3500.0
184,2009,6001,395000.0,39000.0,434000.0
185,2009,6003,0.0,0.0,0.0
186,2009,6005,9000.0,1000.0,10000.0
187,2009,6007,52000.0,4500.0,56500.0
188,2009,6009,11500.0,1000.0,12500.0
189,2009,6011,3000.0,0.0,3500.0
190,2009,6013,286500.0,22000.0,308000.0
191,2009,6015,,,
192,2009,6017,46000.0,4000.0,50500.0
193,2009,6019,158000.0,14000.0,172000.0
194,2009,6021,4000.0,500.0,4000.0
195,2009,6023,31000.0,3000.0,34000.0
196,2009,6025,24500.0,3000.0,27500.0
197,2009,6027,3000.0,0.0,3000.0
198,2009,6029,140000.0,12000.0,152000.0
199,2009,6031,22000.0,1500.0,23500.0
200,2009,6033,14500.0,1000.0,15500.0
201,2009,6035,6000.0,1000.0,6500.0
202,2009,6037,2278000.0,232500.0,2510000.0
203,2009,6039,22000.0,2000.0,24000.0
204,2009,6041,81500.0,9000.0,90500.0
205,2009,6043,4000.0,1000.0,5000.0
206,2009,6045,14000.0,2000.0,16000.0
207,2009,6047,33000.0,2500.0,36000.0
208,2009,6049,1500.0,0.0,2000.0
209,2009,6051,2000.0,0.0,2000.0
210,2009,6053,71500.0,7500.0,79000.0
211,2009,6055,33000.0,4000.0,37000.0
212,2009,6057,28500.0,3000.0,31500.0
213,2009,6059,778000.0,82000.0,860000.0
214,2009,6061,96000.0,8500.0,104500.0
215,2009,6063,5500.0,1000.0,6500.0
216,2009,6065,477500.0,31500.0,509000.0
217,2009,6067,347000.0,26000.0,373000.0
218,2009,6069,10500.0,1000.0,11500.0
219,2009,6071,393000.0,27000.0,420000.0
220,2009,6073,841500.0,72500.0,914000.0
221,2009,6075,245000.0,33500.0,278500.0
222,2009,6077,123500.0,9000.0,132500.0
223,2009,6079,74000.0,7000.0,81000.0
224,2009,6081,195500.0,22500.0,218000.0
225,2009,6083,74500.0,8000.0,82000.0
226,2009,6085,459500.0,44000.0,504000.0
227,2009,6087,59500.0,5500.0,65000.0
228,2009,6089,40000.0,4000.0,44000.0
229,2009,6091,1000.0,0.0,1000.0
230,2009,6093,8000.0,2000.0,9500.0
231,2009,6095,98500.0,7000.0,106000.0
232,2009,6097,122000.0,12000.0,134500.0
233,2009,6099,94000.0,8500.0,102500.0
234,2009,6101,18000.0,1500.0,20000.0
235,2009,6103,9500.0,1000.0,10500.0
236,2009,6105,500.0,0.0,500.0
237,2009,6107,56000.0,6000.0,62000.0
238,2009,6109,9000.0,1000.0,10500.0
239,2009,6111,205000.0,17000.0,222000.0
240,2009,6113,46000.0,4000.0,49500.0
241,2009,6115,12500.0,1000.0,13000.0
242,2009,8001,100000.0,7500.0,108000.0
243,2009,8003,3000.0,1000.0,3000.0
244,2009,8005,160000.0,14500.0,174500.0
245,2009,8007,3000.0,1000.0,4000.0
246,2009,8009,1000.0,0.0,1000.0
247,2009,8011,0.0,,
248,2009,8013,90000.0,9000.0,98000.0
249,2009,8014,16500.0,1000.0,18000.0
250,2009,8015,4000.0,1000.0,5000.0
251,2009,8017,0.0,0.0,0.0
252,2009,8019,2500.0,0.0,3000.0
253,2009,8021,1000.0,0.0,1000.0
254,2009,8023,500.0,0.0,500.0
255,2009,8025,0.0,0.0,1000.0
256,2009,8027,1000.0,0.0,1500.0
257,2009,8029,6500.0,1000.0,7500.0
258,2009,8031,158000.0,20500.0,179000.0
259,2009,8033,0.0,0.0,0.0
260,2009,8035,88000.0,5000.0,93000.0
261,2009,8037,16500.0,3000.0,19500.0
262,2009,8039,5000.0,0.0,5000.0
263,2009,8041,167500.0,12000.0,180000.0
264,2009,8043,9500.0,1000.0,10500.0
265,2009,8045,14000.0,2000.0,16000.0
266,2009,8047,1000.0,0.0,1000.0
267,2009,8049,4000.0,1000.0,5000.0
268,2009,8051,5000.0,1000.0,6000.0
269,2009,8053,500.0,0.0,1000.0
270,2009,8055,1000.0,0.0,1500.0
271,2009,8057,0.0,0.0,0.0
272,2009,8059,161000.0,12500.0,173000.0
273,2009,8061,0.0,0.0,0.0
274,2009,8063,1000.0,0.0,2000.0
275,2009,8065,1500.0,0.0,2000.0
276,2009,8067,11000.0,1000.0,12500.0
277,2009,8069,84500.0,7500.0,92000.0
278,2009,8071,3000.0,0.0,3000.0
279,2009,8073,1000.0,0.0,1000.0
280,2009,8075,5000.0,1000.0,5500.0
281,2009,8077,37000.0,4000.0,40500.0
282,2009,8079,0.0,0.0,1000.0
283,2009,8081,3000.0,0.0,3500.0
284,2009,8083,5000.0,1000.0,5500.0
285,2009,8085,9500.0,1000.0,10500.0
286,2009,8087,5000.0,1000.0,6000.0
287,2009,8089,3000.0,0.0,4000.0
288,2009,8091,1000.0,0.0,1000.0
289,2009,8093,4000.0,0.0,4500.0
290,2009,8095,1000.0,0.0,1000.0
291,2009,8097,8000.0,1000.0,9000.0
292,2009,8099,2000.0,0.0,2500.0
293,2009,8101,33500.0,3000.0,37000.0
294,2009,8103,1000.0,0.0,2000.0
295,2009,8105,2000.0,0.0,2000.0
296,2009,8107,5500.0,1000.0,6500.0
297,2009,8109,1000.0,0.0,1000.0
298,2009,8111,,,
299,2009,8113,3000.0,1000.0,4000.0
300,2009,8115,0.0,0.0,500.0
301,2009,8117,11500.0,1500.0,13500.0
302,2009,8119,6000.0,1000.0,6500.0
303,2009,8121,1000.0,0.0,1000.0
304,2009,8123,52500.0,4000.0,57000.0
305,2009,8125,2000.0,0.0,2000.0
306,2009,9001,269500.0,25500.0,295000.0
307,2009,9003,244500.0,19500.0,264500.0
308,2009,9005,60500.0,5000.0,65500.0
309,2009,9007,,4000.0,
310,2009,9009,232000.0,18000.0,250000.0
311,2009,9011,78500.0,5000.0,83500.0
312,2009,9013,42000.0,2000.0,44000.0
313,2009,9015,29500.0,2000.0,31500.0
314,2009,10001,38500.0,3000.0,41000.0
315,2009,10003,142000.0,10000.0,151500.0
316,2009,10005,60500.0,4000.0,65000.0
317,2009,11001,175000.0,22000.0,196500.0
318,2009,12001,71500.0,6000.0,77500.0
319,2009,12003,4500.0,0.0,5000.0
320,2009,12005,47000.0,5000.0,52500.0
321,2009,12007,5000.0,0.0,5000.0
322,2009,12009,,,176500.0
323,2009,12011,445500.0,47000.0,493000.0
324,2009,12013,,0.0,2000.0
325,2009,12015,47000.0,3500.0,51000.0
326,2009,12017,40500.0,3000.0,43500.0
327,2009,12019,45000.0,3000.0,48000.0
328,2009,12021,94000.0,10000.0,103500.0
329,2009,12023,9000.0,1000.0,11000.0
330,2009,12027,4000.0,1000.0,4500.0
331,2009,12029,1500.0,0.0,2000.0
332,2009,12031,200500.0,23000.0,223000.0
333,2009,12033,76500.0,7000.0,84000.0
334,2009,12035,,2000.0,32000.0
335,2009,12037,3000.0,0.0,3000.0
336,2009,12039,8000.0,1000.0,8500.0
337,2009,12041,2000.0,0.0,3000.0
338,2009,12043,1000.0,0.0,1000.0
339,2009,12045,3500.0,0.0,4000.0
340,2009,12047,,0.0,2000.0
341,2009,12049,2500.0,0.0,3000.0
342,2009,12051,5000.0,1000.0,5500.0
343,2009,12053,47500.0,3000.0,50000.0
344,2009,12055,19500.0,2000.0,22000.0
345,2009,12057,336000.0,29500.0,365500.0
346,2009,12059,2500.0,0.0,3000.0
347,2009,12061,,,44000.0
348,2009,12063,6000.0,1000.0,7000.0
349,2009,12065,2000.0,0.0,2000.0
350,2009,12067,,,
351,2009,12069,76000.0,6000.0,82000.0
352,2009,12071,,,185500.0
353,2009,12073,72500.0,8000.0,80500.0
354,2009,12075,6500.0,1000.0,7000.0
355,2009,12077,,,1000.0
356,2009,12079,2000.0,0.0,2500.0
357,2009,12081,94500.0,6500.0,100500.0
358,2009,12083,83500.0,7000.0,90000.0
359,2009,12085,43000.0,4000.0,47000.0
360,2009,12086,486000.0,69000.0,555500.0
361,2009,12087,26500.0,4000.0,30500.0
362,2009,12089,19500.0,2000.0,21500.0
363,2009,12091,56500.0,6000.0,62500.0
364,2009,12093,6000.0,1000.0,7000.0
365,2009,12095,297500.0,31500.0,329500.0
366,2009,12097,66000.0,5000.0,71000.0
367,2009,12099,364000.0,34500.0,398500.0
368,2009,12101,141000.0,8000.0,149000.0
369,2009,12103,298000.0,26000.0,324000.0
370,2009,12105,152000.0,9500.0,161500.0
