,FIPS_2010
0,6037
1,6037
2,6037
3,6037
4,6037
5,6037
6,6037
7,6037
8,6037
9,6037
10,6037
11,6073
12,6037
13,6065
14,6037
15,6037
16,6037
17,6037
18,6037
19,6037
20,6037
21,6071
22,6111
23,6065
24,6001
25,6065
26,6067
27,6037
28,6037
29,6037
30,6037
31,6037
32,6037
33,6075
34,6067
35,6075
36,6075
37,6075
38,6037
39,6037
40,6037
41,6037
42,6037
43,6037
44,6037
45,6037
46,6037
47,6037
48,6037
49,6037
50,6059
51,6111
52,6059
53,6111
54,6111
55,6037
56,6037
57,6111
58,6111
59,6111
60,6037
61,6037
62,6037
63,6113
64,6079
65,6037
66,6067
67,6067
68,6067
69,6067
70,6067
71,6067
72,6017
73,6095
74,6095
75,6095
76,6095
77,6095
78,6095
79,6067
80,6095
81,6017
82,6017
83,6067
84,6061
85,6067
86,50007
87,6095
88,6095
89,6095
90,6095
91,6037
92,6095
93,6067
94,50007
95,6037
96,6037
97,6037
98,6037
99,6037
100,6037
101,53067
102,41051
103,6045
104,6095
105,6113
106,6113
107,6113
108,6113
109,6113
110,6037
111,6041
112,6001
113,53033
114,17019
115,16001
116,41047
117,41067
118,6095
119,6075
120,41041
121,36059
122,12095
123,55025
124,41043
125,41051
126,6079
127,6079
128,36001
129,36091
130,53063
131,53063
132,19153
133,19153
134,4019
135,24003
136,34021
137,41039
138,48201
139,36091
140,6083
141,17031
142,45083
143,45083
144,45087
145,9001
146,9009
147,9011
148,9001
149,9003
150,55059
151,55025
152,45079
153,39035
154,54011
155,12095
156,12095
157,12095
158,12095
159,12095
160,29189
161,41067
162,41067
163,53033
164,41051
165,49035
166,9003
167,9003
168,20091
169,25015
170,12099
171,53033
172,53033
173,9003
174,25025
175,45079
176,45079
177,45079
178,45079
179,45045
180,45045
181,45045
182,45045
183,45079
184,45045
185,45045
186,45045
187,45091
188,45087
189,45087
190,6037
191,6075
192,6075
193,6037
194,8001
195,8013
196,25017
197,18089
198,26081
199,17113
200,17113
201,17167
202,18063
203,22019
204,27123
205,53033
206,53033
207,53033
208,53033
209,55025
210,55025
211,37183
212,37183
213,29161
214,48453
215,33011
216,6045
217,45045
218,51063
219,51760
220,51760
221,47001
222,47003
223,48441
224,48381
225,48439
226,48453
227,48201
228,48245
229,48439
230,48041
231,48355
232,48113
233,48181
234,48141
235,48141
236,48439
237,48439
238,48061
239,48201
240,48201
241,48201
242,48201
243,48201
244,48201
245,48113
246,48157
247,48027
248,48273
249,48479
250,48167
251,48121
252,48183
253,48303
254,48085
255,48113
256,48329
257,48245
258,48113
259,48157
260,48491
261,48451
262,48029
263,48029
264,48029
265,48029
266,48491
267,48199
268,48157
269,48027
270,48423
271,48469
272,48309
273,48367
274,48485
275,51510
276,51059
277,51003
278,51600
279,51650
280,51683
281,51730
282,51760
283,51161
284,51107
285,51059
286,51069
287,53033
288,53073
289,53035
290,53033
291,53061
292,53067
293,53021
294,53009
295,53053
296,53033
297,53063
298,53063
299,53053
300,53011
301,53071
302,47065
303,47125
304,47141
305,47043
306,47045
307,47187
308,47165
309,47179
310,47163
311,47093
312,47093
313,47037
314,47031
315,47183
316,47157
317,47157
318,47063
319,47149
320,47037
321,47037
322,41067
323,41017
324,41003
325,41039
326,41005
327,41071
328,41029
329,41051
330,41047
331,41065
332,41005
333,45063
334,45063
335,47009
336,47157
337,47163
338,47065
339,1073
340,1003
341,1103
342,1101
343,4013
344,4013
345,4015
346,4013
347,4013
348,4013
349,4013
350,4013
351,4013
352,4013
353,4013
354,4019
355,4019
356,6013
357,6029
358,6059
359,6037
360,6065
361,6037
362,6007
363,6037
364,6019
365,6081
366,6013
367,6065
368,6059
369,6113
370,6037
371,6037
372,6073
373,6037
374,6067
375,6073
376,6023
377,6067
378,6071
379,6001
380,6019
381,6059
382,6037
383,6085
384,6037
385,6083
386,6001
387,6065
388,6059
389,6059
390,6065
391,6037
392,6037
393,6047
394,6037
395,6099
396,6071
397,6071
398,6055
399,6073
400,6073
401,6059
402,6111
403,6037
404,6097
405,6073
406,6089
407,6081
408,6013
409,6065
410,6065
411,6061
412,6067
413,6053
414,6071
415,6073
416,6073
417,6085
418,6085
419,6059
420,6001
421,6079
422,6085
423,6097
424,6053
425,6037
426,6111
427,6077
428,6065
429,6077
430,6059
431,6095
432,6037
433,6095
434,6071
435,6107
436,6037
437,12081
438,12017
439,12127
440,12099
441,12011
442,12031
443,12031
444,12023
445,12086
446,12086
447,12086
448,12086
449,12011
450,12055
451,12085
452,12057
453,12057
454,12061
455,12099
456,12105
457,13135
458,13089
459,13135
460,13297
461,13097
462,13067
463,13063
464,13121
465,13121
466,13153
467,15003
468,15009
469,15003
470,15003
471,24510
472,24025
473,24005
474,24021
475,24031
476,24033
477,24031
478,24031
479,27123
480,27123
481,27053
482,27123
483,27123
484,27123
485,37025
486,37051
487,37081
488,37155
489,6073
490,51087
491,32031
492,48453
493,48113
494,51121
495,51041
496,53033
497,53033
498,55025
499,55025
500,6073
501,26139
502,45045
503,45045
504,51059
505,45045
506,45045
507,11001
508,12099
509,26125
510,26163
511,26125
512,26161
513,39035
514,26019
515,24003
516,42011
517,51760
518,26125
519,37183
520,37183
521,37183
522,41029
523,41005
524,41067
525,41005
526,13089
527,17031
528,17031
529,37063
530,45063
531,5007
532,12095
533,12095
534,12095
535,19153
536,19101
537,19153
538,24017
539,24017
540,29183
541,42003
542,41029
543,12086
544,12099
545,12099
546,12099
547,12086
548,12086
549,51085
550,45045
551,45091
552,24003
553,32003
554,36005
555,45083
556,45083
557,48453
558,48453
559,48453
560,48453
561,6085
562,51660
563,27171
564,47163
565,55025
566,55025
567,55025
568,6079
569,37183
570,53033
571,51061
572,41067
573,51013
574,51153
575,53033
576,53053
577,12071
578,12095
579,12095
580,12057
581,34021
582,48029
583,15003
584,15003
585,15003
586,49035
587,44007
588,13117
589,9001
590,53053
591,12081
592,12095
593,12095
594,12095
595,12103
596,25021
597,26081
598,26125
599,39061
600,48201
601,53033
602,53033
603,12081
604,15003
605,15003
606,37183
607,37183
608,37183
609,37183
610,37183
611,37183
612,37183
613,37183
614,42003
615,55097
616,44007
617,17113
618,17113
619,17113
620,22071
621,22071
622,17113
623,8069
624,8013
625,8013
626,39049
627,39049
628,55127
629,55079
630,9011
631,12095
632,15009
633,17113
634,26081
635,26081
636,26081
637,47119
638,44003
639,34039
640,37119
641,47149
642,42003
643,8069
644,40109
645,50025
646,25027
647,25017
648,25027
649,24510
650,24510
651,24510
652,24510
653,26163
654,26163
655,27037
656,34007
657,48491
658,51013
659,51013
660,53033
661,53033
662,53033
663,55025
664,37183
665,17031
666,37105
667,51153
668,12103
669,12095
670,12097
671,12097
672,24510
673,24005
674,27003
675,27123
676,45079
677,45079
678,6037
679,12057
680,12086
681,44003
682,47187
683,47187
684,47189
685,47149
686,53033
687,53033
688,53053
689,53053
690,8031
691,9003
692,11001
693,13139
694,13067
695,25025
696,25009
697,25021
698,37001
699,37001
700,37183
701,12099
702,50001
703,6001
704,53061
705,53061
706,53067
707,53021
708,53053
709,53033
710,53033
711,53033
712,53033
713,53033
714,53033
715,53033
716,53033
717,53053
718,36071
719,36071
720,36077
721,36077
722,36029
723,36029
724,36103
725,36103
726,36019
727,36019
728,36119
729,36119
730,36103
731,36103
732,36055
733,36055
734,36103
735,36103
736,36001
737,36001
738,36059
739,36059
740,36059
