ST,PUMA,YEAR,TMS
,54,2000,0.01202786945
,2,2002,0.01338626356
,11000,2004,0.33609165886
,13000,2004,0.02090498836
51,1400,2006,0.00394437926
51,3200,2006,0.00481927711
51,1700,2006,0.00699476968
53,2002,2006,0.06324017054
53,2101,2006,0.02404674895
53,2200,2006,0.04098841572
53,1005,2006,0.01605001934
17,1800,2006,0.00238959523
17,3510,2006,0.22412675303
18,3000,2006,0.00289258663
18,300,2006,0.02441139709
18,2100,2006,0.02613337430
19,400,2006,0.00263567368
19,900,2006,0.00326008460
19,800,2007,0.01724299855
39,703,2010,0.00371463763
39,3400,2010,0.00215266120
39,3103,2010,0.01004923903
12,2604,2010,0.03117591013
12,2603,2010,0.03692815722
12,2703,2010,0.01208372706
12,1902,2010,0.02548648183
12,4010,2010,0.11561984607
36,3501,2007,0.13480037524
36,1604,2007,0.01754600228
36,300,2007,0.01065542107
36,4101,2007,0.65816958553
9,1100,2008,0.02320830979
9,1900,2008,0.03480006059
39,300,2012,0.00191959337
25,4700,2013,0.01379704592
25,1901,2013,0.01333353513
25,4000,2013,0.08250038054
25,3304,2013,0.37817663624
6,8702,2014,0.03089937523
6,3708,2014,0.08222014098
6,11106,2014,0.01311475410
6,7114,2014,0.01687110314
6,6513,2014,0.01317879893
34,2302,2014,0.12706689346
34,307,2014,0.14898381570
34,906,2014,0.08368680846
36,1500,2014,0.00414085760
36,3212,2014,0.18248813390
36,3710,2014,0.71086584797
20,1400,2015,0.02340386081
21,1901,2015,0.04207365478
48,2515,2017,0.01146895059
48,502,2017,0.00114227694
48,3602,2017,0.01537616694
48,2303,2017,0.00000000000
22,300,2013,0.00168174174
36,4007,2013,0.68223677964
36,4018,2013,0.55105748021
42,3203,2015,0.18992024043
39,610,2005,0.07274011299
39,4403,2005,0.02108020649
29,901,2006,0.00227608513
34,305,2010,0.11247952158
6,7505,2012,0.32360279876
51,2500,2006,0.00122518990
17,2200,2006,0.00455567974
18,600,2006,0.00404734733
19,1200,2006,0.00378488495
19,200,2007,0.00641055636
39,1300,2010,0.00366983303
12,3505,2010,0.01169487163
36,2602,2007,0.03072296261
36,901,2007,0.09338874197
36,402,2007,0.01391499376
36,1300,2007,0.00102408834
8,101,2008,0.04419087461
8,822,2008,0.01730023601
39,5600,2012,0.00732785234
39,3700,2012,0.01000448544
39,5506,2012,0.01231522193
25,502,2013,0.05082701233
26,2907,2013,0.01267534223
26,1802,2013,0.02141004764
6,3300,2014,0.00146492039
6,5917,2014,0.05815723194
6,8501,2014,0.06534938063
6,8104,2014,0.05246536110
6,9501,2014,0.03448962401
6,6708,2014,0.02203918077
6,3743,2014,0.10997336490
6,11104,2014,0.02396613371
34,2103,2014,0.02644492526
34,904,2014,0.13534330157
34,1204,2014,0.01745695250
36,600,2014,0.00830539470
36,4113,2014,0.41558571476
36,3902,2014,0.29859329382
36,3207,2014,0.08313760645
22,1804,2011,0.10160245482
22,1000,2011,0.01847232522
34,1205,2015,0.01384443476
34,1501,2015,0.02254398827
34,1902,2015,0.16820725134
34,902,2015,0.07905717005
20,900,2015,0.00785882544
21,1200,2015,0.00744060025
21,1300,2015,0.00485695836
22,1400,2015,0.00000000000
22,1300,2015,0.00194861528
12,1103,2016,0.02297916212
12,12703,2016,0.00545583197
12,1111,2016,0.00319313095
48,4702,2017,0.01558223599
48,5308,2017,0.00435496087
48,5307,2017,0.03571860268
48,2506,2017,0.00150158108
48,5204,2017,0.00852156057
48,3100,2017,0.00460009896
48,4902,2017,0.02120543864
48,6807,2017,0.00000000000
22,600,2013,0.00512033978
22,1501,2013,0.05224922821
34,1503,2013,0.02476262408
34,1201,2013,0.00560666482
36,1206,2013,0.07167403941
36,3312,2013,0.06202156556
36,3901,2013,0.27692729767
36,3003,2013,0.14334649603
42,1801,2015,0.06120258315
42,3301,2015,0.07066381156
12,12701,2015,0.00280048783
12,1701,2015,0.00810282202
36,803,2006,0.01173500129
36,3902,2006,0.32699762411
36,3400,2006,0.24798752966
6,2002,2007,0.00075853350
6,2206,2007,0.31794972506
6,6121,2007,0.00886368048
6,6102,2007,0.04651873853
6,5702,2007,0.13203517422
39,3900,2005,0.00422803959
39,800,2005,0.00887849406
40,1200,2005,0.00407596109
29,1602,2006,0.00216606498
28,600,2008,0.00000000000
34,1903,2008,0.11386251672
53,10800,2016,0.00000000000
53,11501,2016,0.05929838861
18,1800,2010,0.03135899352
18,202,2010,0.02394311065
25,3800,2011,0.21259366888
39,4602,2009,0.00689093316
39,202,2009,0.00000000000
6,3740,2012,0.03704555473
6,6510,2012,0.02925240327
6,5914,2012,0.01314424075
55,1000,2012,0.00078146623
32,402,2013,0.01038717352
33,300,2013,0.02355053332
12,9509,2014,0.01135051630
48,2800,2012,0.00000000000
48,6803,2012,0.00000000000
48,6701,2012,0.00466583718
6,1301,2013,0.14471052069
6,3762,2013,0.02360668405
8,904,2008,0.00180993291
26,3003,2013,0.00793959153
22,2001,2011,0.00000000000
23,100,2011,0.00053803711
21,1902,2015,0.00518347547
12,5704,2016,0.00555237349
12,5702,2016,0.01936637314
12,9701,2016,0.00366109406
12,8623,2016,0.04244478958
12,7104,2016,0.01541586728
48,2309,2017,0.01182828267
48,4603,2017,0.08726385248
48,3301,2017,0.00067731011
48,4100,2017,0.00310715708
48,5907,2017,0.00045968070
48,2315,2017,0.02665371963
22,100,2013,0.01146302283
22,2400,2013,0.07095675860
22,1600,2013,0.00000000000
34,102,2013,0.02938647214
34,1102,2013,0.06258116263
34,101,2013,0.13451985880
34,1203,2013,0.01839382859
36,800,2013,0.00126516866
36,2100,2013,0.02588061590
42,2702,2015,0.04482430838
42,2500,2015,0.01885109978
42,101,2015,0.02309502795
42,3601,2015,0.01393929618
12,2300,2015,0.00120393794
12,3500,2015,0.00884694780
12,9902,2015,0.03852006219
12,11102,2015,0.00232913019
12,12100,2015,0.00000000000
12,9910,2015,0.01146982301
12,9502,2015,0.01079096828
12,12702,2015,0.03009180209
12,904,2015,0.00349719046
36,4311,2006,0.11322954810
36,4302,2006,0.05282970597
36,1502,2006,0.02220029600
36,4206,2006,0.17074118447
36,1501,2006,0.00835444507
6,7603,2007,0.01455688577
6,8004,2007,0.01559705074
6,6124,2007,0.09486675794
6,6500,2007,0.00000000000
39,1101,2005,0.00580638350
39,4301,2005,0.00684668051
39,3105,2005,0.05997552020
39,602,2005,0.05838176407
39,609,2005,0.05977125602
39,501,2005,0.01067627000
41,1306,2005,0.08347172023
42,400,2005,0.00740909609
42,3702,2005,0.00211268835
42,2501,2005,0.00667865891
42,3802,2005,0.00630696508
29,1400,2006,0.00077080771
28,700,2008,0.00000000000
33,1100,2008,0.01094718900
34,1301,2008,0.28262505002
34,1302,2008,0.27957187248
34,1502,2008,0.01581973629
34,2201,2008,0.01865444356
18,2305,2010,0.02984533130
18,3400,2010,0.00761393313
24,300,2011,0.03013465651
24,1105,2011,0.14697313816
39,1300,2009,0.00601165407
34,502,2010,0.04085305592
34,903,2010,0.08512817635
34,1700,2010,0.01940188540
6,5915,2012,0.00752621309
6,6103,2012,0.00985241404
6,7316,2012,0.06368508478
6,6505,2012,0.00718049008
6,6504,2012,0.00310283688
6,3735,2012,0.10009791279
6,1901,2012,0.00834522251
6,8103,2012,0.10308469073
6,7106,2012,0.01206693259
32,102,2013,0.00525167220
33,600,2013,0.00228072696
12,1105,2014,0.03711003874
12,11300,2014,0.00284421651
12,7301,2014,0.05409086040
12,6902,2014,0.00241061755
12,9506,2014,0.09122652439
12,9505,2014,0.03477769462
12,9701,2014,0.02668164584
48,4626,2012,0.04318355927
48,4000,2012,0.00048281833
48,4200,2012,0.00000000000
48,6301,2012,0.01198874612
48,5700,2012,0.00102103635
48,2600,2012,0.00497714301
48,5915,2012,0.01215554700
48,4620,2012,0.01202462356
6,3723,2013,0.11473791428
6,6711,2013,0.01206312878
6,7317,2013,0.07056678240
6,7107,2013,0.00911682254
6,3730,2013,0.07699048979
6,3712,2013,0.02019710032
6,8509,2013,0.08267892393
6,6514,2013,0.02086970449
6,6512,2013,0.01480586501
6,8505,2013,0.03056092843
1,1301,2015,0.03968335036
4,125,2015,0.05782898775
4,105,2015,0.00925355528
28,100,2015,0.00066277339
48,200,2017,0.00287741427
22,1502,2013,0.01504041472
36,1400,2013,0.00715739916
6,3001,2007,0.04569468478
6,6123,2007,0.03490962665
41,1311,2005,0.06144665141
29,300,2006,0.00273321700
25,4600,2011,0.02606380319
32,506,2010,0.01544757854
6,6706,2012,0.00304006534
6,3733,2012,0.28679428492
48,1200,2012,0.00243177520
48,3602,2012,0.02676734540
6,8508,2013,0.02957742325
6,2902,2013,0.00480101217
6,6701,2013,0.03653531208
6,3702,2013,0.03960195421
6,3757,2013,0.05690578257
1,2703,2015,0.00125596584
48,3302,2016,0.00628737495
48,6000,2012,0.00000000000
34,905,2006,0.09258152850
34,306,2006,0.09846619690
34,502,2006,0.03336066721
48,5610,2009,0.00539744110
48,4603,2009,0.03841861012
48,2308,2009,0.04655937642
48,4902,2009,0.00370158413
48,3100,2009,0.00114653614
48,4611,2009,0.02525515309
48,2511,2009,0.00372171926
48,2505,2009,0.00807108766
48,3702,2009,0.00180788597
48,6500,2009,0.00000000000
4,106,2009,0.03434141181
5,1400,2009,0.00000000000
5,1500,2009,0.00034433645
6,8103,2009,0.00698246449
6,6110,2009,0.03826816019
6,5000,2009,0.05813645980
6,5900,2009,0.02502755235
6,5500,2009,0.08600424052
6,7802,2009,0.01789366805
6,4700,2009,0.03748383743
6,2703,2009,0.02610303387
6,5421,2009,0.11341841412
6,1504,2009,0.05347361343
25,400,2006,0.00817910987
25,700,2006,0.02685668111
25,1200,2006,0.09794071475
26,1900,2006,0.02651552489
26,3801,2006,0.01715622563
26,3200,2006,0.07116704805
26,3900,2006,0.00738738739
26,300,2006,0.02247719786
1,1100,2007,0.00638850070
1,300,2007,0.00171652771
12,2207,2009,0.00740859123
12,3505,2009,0.00684886724
48,1900,2010,0.00220340526
48,700,2010,0.00000000000
48,2507,2010,0.00403982485
48,600,2010,0.00212838678
48,5800,2010,0.00000000000
48,5607,2010,0.02409214644
48,4614,2010,0.00354564484
48,2315,2010,0.02501546983
48,4702,2010,0.02551989678
48,4623,2010,0.03421749431
48,2508,2010,0.00000000000
48,2306,2010,0.04441598299
49,507,2010,0.02061272746
51,1400,2010,0.00646802611
39,3300,2008,0.00390170540
39,1103,2008,0.00589199908
27,2500,2007,0.00066901106
27,1406,2007,0.03485683490
27,300,2007,0.00133839910
27,1502,2007,0.10037572679
28,1000,2007,0.00332217798
41,702,2007,0.04474538759
41,1301,2007,0.10000000000
41,200,2007,0.00187127288
42,1801,2007,0.01052762123
42,3302,2007,0.00382599912
42,2300,2007,0.01056134513
42,1803,2007,0.05699669285
42,2900,2007,0.01178615831
42,3201,2007,0.00507985836
12,9901,2013,0.00000000000
12,10306,2013,0.03181975595
12,8900,2013,0.00000000000
12,1110,2013,0.01127097928
12,3102,2013,0.09300156936
12,7102,2013,0.00247224088
12,11701,2013,0.00000000000
12,8616,2013,0.04324622383
12,7104,2013,0.03332020868
53,11101,2013,0.03812498615
53,11200,2013,0.00358055237
53,10501,2013,0.03761317028
53,11607,2013,0.08191244240
42,3203,2011,0.01328465673
42,4004,2011,0.03022066913
42,1702,2011,0.20410201617
42,4302,2011,0.02851918770
42,3201,2011,0.00218391339
42,2802,2011,0.00000000000
45,202,2011,0.00310551836
17,3102,2012,0.02287833315
17,3528,2012,0.27034189148
17,600,2012,0.00465064282
17,3532,2012,0.18198351115
17,3409,2012,0.08904838617
36,3206,2016,0.15871874865
36,4014,2016,0.45663153272
36,1802,2016,0.00144380089
36,3101,2016,0.07391845956
36,3210,2016,0.20694320878
36,3701,2016,0.58075459674
36,3702,2016,0.47550239815
36,1206,2016,0.09893327327
1,1304,2016,0.00346318278
4,120,2016,0.01387319966
4,205,2016,0.00005789494
4,122,2016,0.06379237855
4,807,2016,0.00367626581
20,900,2016,0.00784999514
45,502,2017,0.00248626771
45,604,2017,0.01645090475
45,101,2017,0.00529664660
47,2002,2017,0.00152798001
47,200,2017,0.00000000000
28,400,2018,0.00263157895
9,901,2018,0.04278711343
9,1500,2018,0.00613528474
9,306,2018,0.01173585567
12,10501,2018,0.00490001633
12,10102,2018,0.00494260951
12,8618,2018,0.00483284947
12,10103,2018,0.01051582260
12,8612,2018,0.07928081596
12,8606,2018,0.08268707621
12,7101,2018,0.00066800267
12,9908,2018,0.00316210250
12,11502,2018,0.00405872052
12,3104,2018,0.00093605641
12,2103,2018,0.00952498327
12,1102,2018,0.00659753382
12,5301,2018,0.00051485205
53,10504,2015,0.01451236279
53,11104,2015,0.01279049849
53,10200,2015,0.01413076533
53,10902,2015,0.00486709841
53,10901,2015,0.02075081289
53,10701,2015,0.00881711717
54,600,2015,0.00325330374
24,1005,2018,0.15979509213
24,601,2018,0.00527009223
25,4700,2018,0.01158737923
25,303,2018,0.01875310669
25,1400,2018,0.05031498812
42,1100,2018,0.00016394664
42,3301,2018,0.09081903804
42,3105,2018,0.01971818697
42,3208,2018,0.28870668380
22,2401,2018,0.09027430498
22,2300,2018,0.01175891153
6,6101,2005,0.02010407934
6,6124,2005,0.04649428145
6,3100,2005,0.01148876099
6,8109,2005,0.03415190769
6,5500,2005,0.05183763554
6,7606,2005,0.03189535266
6,4500,2005,0.02095253284
6,4100,2005,0.01533848614
6,6114,2005,0.14518176369
6,4800,2005,0.02437036263
6,3701,2005,0.00696509626
8,300,2005,0.00300810419
