YEAR,STATE_CODE,COUNTY_CODE,VMT_TOTAL
2000,1,1,274449272.4
2000,1,3,1196020480
2000,1,5,127607254.2
2000,1,7,90609229.2
2000,1,9,218101413
2000,1,13,312020636.4
2000,1,15,509056041
2000,1,17,145215477.6
2000,1,19,33912901.2
2000,1,21,366653566.2
2000,1,23,13936840.8
2000,1,25,185289513
2000,1,29,260653524.6
2000,1,31,103415386.2
2000,1,33,333352529.2
2000,1,35,305330229.6
2000,1,37,90820008.6
2000,1,39,125744643.6
2000,1,41,68978409.6
2000,1,43,503092986
2000,1,45,243352741.2
2000,1,47,130728209.4
2000,1,49,306258369
2000,1,51,190555850.4
2000,1,53,287707805.4
2000,1,55,626257915.2
2000,1,57,16045074
2000,1,59,123633811.8
2000,1,63,257142340.2
2000,1,65,10888426.8
2000,1,67,109815994.2
2000,1,69,496140413.4
2000,1,71,245788690.8
2000,1,73,4270106115
2000,1,77,308771105.4
2000,1,79,231080980.8
2000,1,81,584078501.4
2000,1,83,649561647.6
2000,1,85,249092353.2
2000,1,87,303388855.8
2000,1,89,1033129809
2000,1,91,117786376.2
2000,1,93,124626257.4
2000,1,95,273994590.6
2000,1,97,1970983994
2000,1,99,38993200.8
2000,1,101,1318800363
2000,1,103,689686410.6
2000,1,105,32137874.4
2000,1,107,62870821.2
2000,1,109,202135138.8
2000,1,111,59443524
2000,1,113,286968412.2
2000,1,115,573398072.4
2000,1,117,796622058
2000,1,119,228240674.4
2000,1,121,469593811.2
2000,1,123,146226589.2
2000,1,125,1211786252
2000,1,127,254249952
2000,1,129,121338369.6
2000,1,131,31630561.8
2000,1,133,63715000.2
2000,2,1,1461735790
2000,2,2,572442809.5
2000,2,3,102440001
2000,4,1,455824363.4
2000,4,3,918569187.7
2000,4,5,1520766723
2000,4,7,250564411.4
2000,4,9,36172456
2000,4,12,575604252
2000,4,13,11675490905
2000,4,15,1527592590
2000,4,17,683092157.9
2000,4,19,3590981282
2000,4,21,1103913551
2000,4,23,154749506
2000,4,25,1291064461
2000,4,27,664090987.5
2000,5,1,110281524.2
2000,5,3,87758557.68
2000,5,5,102527583.7
2000,5,7,507017790.7
2000,5,9,172157550.1
2000,5,11,13938231.6
2000,5,13,57741763.08
2000,5,15,21211046.88
2000,5,17,106902601.3
2000,5,19,255878190.8
2000,5,21,48790947.6
2000,5,25,36468174.12
2000,5,27,84975065.46
2000,5,29,245739390.6
2000,5,31,291511196.9
2000,5,33,403620843.5
2000,5,35,574899927.8
2000,5,37,52417597.68
