State_Cd,COUNTY_CD,fsystem_cd,VMT,VMT_Total,Year
1,1,1,557754.63,203580440,2011
1,1,3,332592.33,121396200.5,2011
1,1,4,317734.96,115973260.4,2011
1,1,5,206459.72,75357797.8,2011
1,3,1,1795404.98,655322817.7,2011
1,3,3,1877003.45,685106259.3,2011
1,3,4,941942.83,343809133,2011
1,3,5,1012099.66,369416375.9,2011
1,3,6,19.2,7008,2011
1,5,3,394804.61,144103682.7,2011
1,5,4,220838.46,80606037.9,2011
1,5,5,176837.21,64545581.65,2011
1,7,3,261777.25,95548696.25,2011
1,7,4,110162.97,40209484.05,2011
1,7,5,131219.25,47895026.25,2011
1,9,1,275901.29,100703970.9,2011
1,9,3,310777.14,113433656.1,2011
1,9,4,532184.59,194247375.4,2011
1,9,5,170991.59,62411930.35,2011
1,11,4,218890.8,79895142,2011
1,11,5,103358.01,37725673.65,2011
1,13,1,887810.05,324050668.3,2011
1,13,4,213049.53,77763078.45,2011
1,13,5,209429.37,76441720.05,2011
1,13,6,0.4,146,2011
1,15,1,420902.35,153629357.8,2011
1,15,3,998300.83,364379803,2011
1,15,4,905021.1,330332701.5,2011
1,15,5,349924.96,127722610.4,2011
1,17,1,327214.39,119433252.4,2011
1,17,3,132105.88,48218646.2,2011
1,17,4,226363.68,82622743.2,2011
1,17,5,222272.5,81129462.5,2011
1,19,3,85362.77,31157411.05,2011
1,19,4,352497.75,128661678.8,2011
1,19,5,157829.35,57607712.75,2011
1,21,1,1018980.84,371928006.6,2011
1,21,3,48767.92,17800290.8,2011
1,21,4,412938.29,150722475.9,2011
1,21,5,252144.68,92032808.2,2011
1,23,3,43681.52,15943754.8,2011
1,23,4,253672.48,92590455.2,2011
1,23,5,94569.4,34517831,2011
1,25,3,463643.55,169229895.8,2011
1,25,4,60112.53,21941073.45,2011
1,25,5,119233.34,43520169.1,2011
1,27,4,215488.44,78653280.6,2011
1,27,5,64139.34,23410859.1,2011
1,29,1,709551.85,258986425.3,2011
1,29,3,68674.25,25066101.25,2011
1,29,4,147421.91,53808997.15,2011
1,29,5,78421.44,28623825.6,2011
1,31,3,297202.71,108478989.2,2011
1,31,4,471779.96,172199685.4,2011
1,31,5,286778.39,104674112.4,2011
1,33,3,911185.8,332582817,2011
1,33,4,362842.7,132437585.5,2011
1,33,5,232023,84688395,2011
1,35,1,636358.25,232270761.3,2011
1,35,3,176003.4,64241241,2011
1,35,4,56335.24,20562362.6,2011
1,35,5,131914.19,48148679.35,2011
1,37,3,262931.36,95969946.4,2011
1,37,4,108602.95,39640076.75,2011
1,37,5,59458.17,21702232.05,2011
1,39,3,284437.01,103819508.7,2011
1,39,4,376271.03,137338926,2011
1,39,5,195454.81,71341005.65,2011
1,41,3,217007.01,79207558.65,2011
1,41,4,101148.29,36919125.85,2011
1,41,5,108555.22,39622655.3,2011
1,43,1,970806.17,354344252.1,2011
1,43,3,519831.75,189738588.8,2011
1,43,4,463289,169100485,2011
1,43,5,528148.9,192774348.5,2011
1,43,6,16.2,5913,2011
