State_Cd,COUNTY_CD,Year,VMT_Total
1,1,2011,324976640.5
1,1,2012,343772629.7
1,1,2013,353803938.9
1,1,2014,311821704.6
1,1,2015,330914821.8
1,3,2011,1340429077.0
1,3,2012,1368200067.3000002
1,3,2013,1430029120.0
1,3,2014,1490173736.1
1,3,2015,1554644693.5
1,5,2011,144103682.7
1,5,2012,144532463.0
1,5,2013,152282660.0
1,5,2014,136939243.7
1,5,2015,133624602.0
1,7,2011,95548696.25
1,7,2012,100579292.5
1,7,2013,104719657.1
1,7,2014,99245668.1
1,7,2015,107919097.4
1,9,2011,214137627.0
1,9,2012,216968178.2
1,9,2013,269189573.3
1,9,2014,271448795.1
1,9,2015,290020929.9
1,13,2011,324050668.3
1,13,2012,331863930.3
1,13,2013,335354773.0
1,13,2014,340855560.3
1,13,2015,351708656.4
1,15,2011,518009160.8
1,15,2012,515114491.7
1,15,2013,507048094.3
1,15,2014,512653917.29999995
1,15,2015,521440941.4
1,17,2011,167651898.60000002
1,17,2013,162394310.85
1,17,2014,164106084.15
1,17,2015,188800560.7
1,19,2011,31157411.05
1,19,2012,30937412.7
1,19,2013,31215581.1
1,19,2014,29890605.55
1,19,2015,30157581.15
1,21,2011,389728297.40000004
1,21,2012,393170668.76
1,21,2013,388868482.95
1,21,2014,406905420.1
1,21,2015,405946875.3
1,23,2011,15943754.8
1,23,2012,15872728.26
1,23,2013,14542366.5
1,23,2014,17293714.6
1,23,2015,17733346.15
1,25,2011,169229895.8
1,25,2012,172545202.7
1,25,2013,165616511.8
1,25,2014,180698677.6
1,25,2015,178770123.4
1,29,2011,284052526.55
1,29,2012,266445650.32
1,29,2013,21185410.3
1,29,2014,276078240.15
1,29,2015,308201977.7
1,31,2011,108478989.2
1,31,2012,110177558.3
1,31,2013,110059023.1
1,31,2014,120333112.4
1,31,2015,117640616.9
1,33,2011,332582817.0
1,33,2012,339022820.8
1,33,2013,345197392.2
1,33,2014,332178781.0
1,33,2015,346210654.1
1,35,2011,296512002.3
1,35,2012,301585507.94
1,35,2013,302914266.5
1,35,2014,307299431.3
1,35,2015,321905015.75
1,37,2011,95969946.4
1,37,2012,95820717.84
1,37,2013,95021993.95
1,37,2014,92762957.85
1,37,2015,102071436.1
1,39,2011,103819508.7
1,39,2012,135532896.4
1,39,2013,138687887.5
1,39,2014,130229656.7
1,39,2015,146147325.0
1,41,2011,79207558.65
1,41,2012,78262380.24
1,41,2013,85274944.16
1,41,2014,93221277.4
1,41,2015,77070772.0
1,43,2011,544082840.9000001
1,43,2012,538485186.0
1,43,2013,554935447.9
1,43,2014,558389753.2
1,43,2015,596466648.0
1,45,2011,233908187.8
1,45,2012,226924785.8
1,45,2013,228737353.2
1,45,2014,227382721.4
