ST,CO,RINT,ROFE,ROPA,RmART,RMCOLL,RmCOLL,RLOC,RTOT,UINT,UOFE,UOPA,UmART,UMCOLL,UmCOLL,ULOC,UTOT,YEAR
1.00,1.00,542253.47,0.00,81363.17,179803.30,144347.90,RmCOLL,RLOC,RTOT,78954.19,0.00,252979.47,147280.79,96769.33,0.00,ULOC,UTOT,2016.00
1.00,3.00,1555496.62,0.00,500149.43,633085.03,439257.73,RmCOLL,RLOC,RTOT,536207.40,0.00,1721101.11,1335508.96,758756.15,5241.63,ULOC,UTOT,2016.00
1.00,5.00,0.00,0.00,125438.60,126057.30,127182.33,RmCOLL,RLOC,RTOT,0.00,0.00,247580.40,38071.48,60032.75,0.00,ULOC,UTOT,2016.00
1.00,7.00,0.00,0.00,248494.80,114772.45,103297.69,RmCOLL,RLOC,RTOT,0.00,0.00,66264.57,5349.06,38714.51,0.00,ULOC,UTOT,2016.00
1.00,9.00,343590.44,0.00,395921.70,348380.49,172222.58,RmCOLL,RLOC,RTOT,0.00,0.00,66989.40,77084.63,4626.53,1548.12,ULOC,UTOT,2016.00
1.00,11.00,0.00,0.00,10666.05,153171.73,62065.71,RmCOLL,RLOC,RTOT,0.00,0.00,0.00,37496.51,16596.31,1374.78,ULOC,UTOT,2016.00
1.00,13.00,846511.90,0.00,0.00,125867.05,138851.05,RmCOLL,RLOC,RTOT,168245.45,0.00,0.00,118821.15,40838.42,1434.66,ULOC,UTOT,2016.00
1.00,15.00,68162.70,0.00,333405.54,249221.74,121074.95,RmCOLL,RLOC,RTOT,365113.39,0.00,794015.27,767208.79,221850.75,1800.26,ULOC,UTOT,2016.00
1.00,17.00,193058.21,0.00,137179.23,86470.19,139536.24,RmCOLL,RLOC,RTOT,219017.34,0.00,0.00,167083.12,130427.06,0.00,ULOC,UTOT,2016.00
1.00,19.00,0.00,0.00,88466.81,362414.85,172055.93,RmCOLL,RLOC,RTOT,0.00,0.00,0.00,0.00,0.00,0.00,ULOC,UTOT,2016.00
1.00,21.00,840021.30,0.00,60435.98,299715.83,176775.38,RmCOLL,RLOC,RTOT,273039.43,0.00,0.00,169096.10,29947.27,27001.97,ULOC,UTOT,2016.00
1.00,23.00,0.00,0.00,42843.91,223409.30,103662.59,RmCOLL,RLOC,RTOT,0.00,0.00,0.00,0.00,0.00,0.00,ULOC,UTOT,2016.00
1.00,25.00,0.00,0.00,498718.08,61712.51,111893.25,RmCOLL,RLOC,RTOT,0.00,0.00,0.00,0.00,197.20,0.00,ULOC,UTOT,2016.00
1.00,27.00,0.00,0.00,0.00,222417.55,66658.89,RmCOLL,RLOC,RTOT,0.00,0.00,0.00,0.00,0.00,0.00,ULOC,UTOT,2016.00
1.00,29.00,821901.02,0.00,71101.63,146355.82,75853.61,RmCOLL,RLOC,RTOT,0.00,0.00,0.00,0.00,0.00,0.00,ULOC,UTOT,2016.00
1.00,31.00,0.00,0.00,101831.76,324104.23,193620.46,RmCOLL,RLOC,RTOT,0.00,0.00,238783.96,181542.07,81887.18,421.39,ULOC,UTOT,2016.00
1.00,33.00,0.00,0.00,559261.56,96529.15,178072.97,RmCOLL,RLOC,RTOT,0.00,0.00,413020.73,267129.55,50449.19,688.12,ULOC,UTOT,2016.00
1.00,35.00,750965.20,0.00,166036.01,58600.60,113013.11,RmCOLL,RLOC,RTOT,0.00,0.00,0.00,0.00,0.00,0.00,ULOC,UTOT,2016.00
1.00,37.00,0.00,0.00,281027.73,108073.69,67070.35,RmCOLL,RLOC,RTOT,0.00,0.00,2062.96,2285.52,1180.53,0.00,ULOC,UTOT,2016.00
1.00,39.00,0.00,0.00,264945.22,287436.15,213150.16,RmCOLL,RLOC,RTOT,0.00,0.00,110475.43,94119.54,43965.50,1130.88,ULOC,UTOT,2016.00
1.00,41.00,0.00,0.00,211682.38,101752.42,97176.25,RmCOLL,RLOC,RTOT,0.00,0.00,0.00,0.00,0.00,0.00,ULOC,UTOT,2016.00
1.00,43.00,627554.44,0.00,314971.29,351973.89,271343.98,RmCOLL,RLOC,RTOT,508585.71,0.00,221339.50,243445.24,179803.27,2817.10,ULOC,UTOT,2016.00
1.00,45.00,0.00,0.00,175159.91,148764.97,127178.11,RmCOLL,RLOC,RTOT,0.00,0.00,484971.15,307573.04,134209.90,2367.28,ULOC,UTOT,2016.00
1.00,47.00,0.00,0.00,199070.20,182390.42,107363.69,RmCOLL,RLOC,RTOT,0.00,0.00,170480.50,159212.67,109895.56,750.35,ULOC,UTOT,2016.00
1.00,49.00,521623.66,0.00,150175.90,525740.51,263920.84,RmCOLL,RLOC,RTOT,212204.83,0.00,169272.58,38297.46,75386.95,0.00,ULOC,UTOT,2016.00
1.00,51.00,0.00,0.00,61440.08,466482.22,285962.84,RmCOLL,RLOC,RTOT,310923.85,0.00,447591.55,339329.47,173259.48,2955.30,ULOC,UTOT,2016.00
1.00,53.00,504638.38,0.00,182459.22,172068.69,121943.58,RmCOLL,RLOC,RTOT,125111.68,0.00,83083.32,179548.61,120419.65,9361.95,ULOC,UTOT,2016.00
1.00,55.00,215161.24,0.00,180175.22,115121.61,107376.01,RmCOLL,RLOC,RTOT,312835.97,0.00,1085827.10,369486.78,214323.76,4321.99,ULOC,UTOT,2016.00
1.00,57.00,0.00,0.00,46339.05,163658.21,151179.42,RmCOLL,RLOC,RTOT,0.00,0.00,0.00,0.00,0.00,0.00,ULOC,UTOT,2016.00
1.00,59.00,0.00,0.00,221945.86,50696.41,188119.58,RmCOLL,RLOC,RTOT,0.00,0.00,167928.18,26041.12,43618.99,0.00,ULOC,UTOT,2016.00
1.00,61.00,0.00,0.00,0.00,391595.76,223932.55,RmCOLL,RLOC,RTOT,0.00,0.00,0.00,6844.80,1139.04,0.00,ULOC,UTOT,2016.00
1.00,63.00,702934.25,0.00,87725.92,31706.01,128643.72,RmCOLL,RLOC,RTOT,0.00,0.00,174.42,0.00,0.00,0.00,ULOC,UTOT,2016.00
1.00,65.00,0.00,0.00,37418.21,228862.28,116731.67,RmCOLL,RLOC,RTOT,0.00,0.00,0.00,0.00,0.00,0.00,ULOC,UTOT,2016.00
1.00,67.00,0.00,0.00,338788.83,83808.73,193513.16,RmCOLL,RLOC,RTOT,0.00,0.00,0.00,0.00,0.00,0.00,ULOC,UTOT,2016.00
1.00,69.00,0.00,0.00,465392.02,159255.85,169014.13,RmCOLL,RLOC,RTOT,0.00,0.00,1188094.53,538971.02,144485.54,2069.63,ULOC,UTOT,2016.00
