ST,CO,YEAR,VMT_Total
1.0,1.0,2016.0,349731409.8
1.0,3.0,2016.0,1578541368.9600003
1.0,5.0,2016.0,136524954.0
1.0,7.0,2016.0,115201929.42
1.0,9.0,2016.0,295179563.64
1.0,11.0,2016.0,3903774.3
1.0,13.0,2016.0,371401190.1
1.0,15.0,2016.0,571215065.4
1.0,17.0,2016.0,201027249.48000002
1.0,19.0,2016.0,32378852.46
1.0,21.0,2016.0,429499795.86
1.0,23.0,2016.0,15680871.06
1.0,25.0,2016.0,182530817.28
1.0,27.0,2016.0,0.0
1.0,29.0,2016.0,326838969.90000004
1.0,31.0,2016.0,124665353.52
1.0,33.0,2016.0,355855318.14
1.0,35.0,2016.0,335622442.86
1.0,37.0,2016.0,103611192.54
1.0,39.0,2016.0,137403957.89999998
1.0,41.0,2016.0,77475751.08
1.0,43.0,2016.0,612117044.04
1.0,45.0,2016.0,241607967.96
1.0,47.0,2016.0,135255556.20000002
1.0,49.0,2016.0,385499371.02
1.0,51.0,2016.0,300103705.68
1.0,53.0,2016.0,327677091.6
1.0,55.0,2016.0,656603827.98
1.0,57.0,2016.0,16960092.3
1.0,59.0,2016.0,142693898.64
1.0,61.0,2016.0,0.0
1.0,63.0,2016.0,289445459.94000006
1.0,65.0,2016.0,13695064.86
1.0,67.0,2016.0,123996711.78
1.0,69.0,2016.0,605176077.3000001
1.0,71.0,2016.0,329137442.58
1.0,73.0,2016.0,5061628117.320001
1.0,75.0,2016.0,0.0
1.0,77.0,2016.0,381863182.98
1.0,79.0,2016.0,249676108.56
1.0,81.0,2016.0,765223865.9399999
1.0,83.0,2016.0,809811230.34
1.0,85.0,2016.0,285094382.40000004
1.0,87.0,2016.0,415688837.09999996
1.0,89.0,2016.0,1313804451.8999999
1.0,91.0,2016.0,135619495.62
1.0,93.0,2016.0,246362004.18
1.0,95.0,2016.0,305332052.28
1.0,97.0,2016.0,2511839154.6600003
1.0,99.0,2016.0,33207190.98
1.0,101.0,2016.0,1831455567.36
1.0,103.0,2016.0,754949942.1600001
1.0,105.0,2016.0,34096453.86
1.0,107.0,2016.0,78754086.60000001
1.0,109.0,2016.0,202546010.39999998
1.0,111.0,2016.0,71914307.88
1.0,113.0,2016.0,303065147.09999996
1.0,115.0,2016.0,657205897.98
1.0,117.0,2016.0,1134976665.2399998
1.0,119.0,2016.0,244976610.0
1.0,121.0,2016.0,612889962.84
1.0,123.0,2016.0,170080035.3
1.0,125.0,2016.0,1505594285.94
1.0,127.0,2016.0,398997740.16
1.0,129.0,2016.0,134702325.24
1.0,131.0,2016.0,27088150.439999998
1.0,133.0,2016.0,59925970.56
2.0,13.0,2016.0,0.0
2.0,16.0,2016.0,0.0
2.0,20.0,2016.0,1354612244.1000001
2.0,50.0,2016.0,0.0
2.0,68.0,2016.0,48306758.879999995
2.0,70.0,2016.0,0.0
2.0,90.0,2016.0,343630735.14
2.0,100.0,2016.0,5596612.140000001
2.0,105.0,2016.0,322109.28
2.0,110.0,2016.0,93806736.96
2.0,122.0,2016.0,410821651.9799999
2.0,130.0,2016.0,0.0
2.0,150.0,2016.0,0.0
2.0,170.0,2016.0,501744678.59999996
2.0,180.0,2016.0,0.0
2.0,185.0,2016.0,14065691.1
2.0,188.0,2016.0,0.0
2.0,195.0,2016.0,0.0
2.0,198.0,2016.0,0.0
2.0,220.0,2016.0,0.0
2.0,230.0,2016.0,3043945.14
2.0,240.0,2016.0,54360087.779999994
2.0,261.0,2016.0,81402568.74000001
2.0,275.0,2016.0,0.0
2.0,282.0,2016.0,0.0
2.0,290.0,2016.0,49087169.7
4.0,1.0,2016.0,445401295.38
4.0,3.0,2016.0,759525871.8000001
4.0,5.0,2016.0,1596291432.0
4.0,7.0,2016.0,301911760.32
4.0,9.0,2016.0,0.0
4.0,11.0,2016.0,0.0
4.0,12.0,2016.0,637568577.9
4.0,13.0,2016.0,10590603384.12
