YEAR,STATE_CODE,COUNTY_CODE,VMT_TOTAL,Full_FIPS_Code
2000,1,1,274449272.4,1001
2000,1,3,1196020480,1003
2000,1,5,127607254.2,1005
2000,1,7,90609229.2,1007
2000,1,9,218101413,1009
2000,1,13,312020636.4,1013
2000,1,15,509056041,1015
2000,1,17,145215477.6,1017
2000,1,19,33912901.2,1019
2000,1,21,366653566.2,1021
2000,1,23,13936840.8,1023
2000,1,25,185289513,1025
2000,1,29,260653524.6,1029
2000,1,31,103415386.2,1031
2000,1,33,333352529.2,1033
2000,1,35,305330229.6,1035
2000,1,37,90820008.6,1037
2000,1,39,125744643.6,1039
2000,1,41,68978409.6,1041
2000,1,43,503092986,1043
2000,1,45,243352741.2,1045
2000,1,47,130728209.4,1047
2000,1,49,306258369,1049
2000,1,51,190555850.4,1051
2000,1,53,287707805.4,1053
2000,1,55,626257915.2,1055
2000,1,57,16045074,1057
2000,1,59,123633811.8,1059
2000,1,63,257142340.2,1063
2000,1,65,10888426.8,1065
2000,1,67,109815994.2,1067
2000,1,69,496140413.4,1069
2000,1,71,245788690.8,1071
2000,1,73,4270106115,1073
2000,1,77,308771105.4,1077
2000,1,79,231080980.8,1079
2000,1,81,584078501.4,1081
2000,1,83,649561647.6,1083
2000,1,85,249092353.2,1085
2000,1,87,303388855.8,1087
2000,1,89,1033129809,1089
2000,1,91,117786376.2,1091
2000,1,93,124626257.4,1093
2000,1,95,273994590.6,1095
2000,1,97,1970983994,1097
2000,1,99,38993200.8,1099
2000,1,101,1318800363,1101
2000,1,103,689686410.6,1103
2000,1,105,32137874.4,1105
2000,1,107,62870821.2,1107
2000,1,109,202135138.8,1109
2000,1,111,59443524,1111
2000,1,113,286968412.2,1113
2000,1,115,573398072.4,1115
2000,1,117,796622058,1117
2000,1,119,228240674.4,1119
2000,1,121,469593811.2,1121
2000,1,123,146226589.2,1123
2000,1,125,1211786252,1125
2000,1,127,254249952,1127
2000,1,129,121338369.6,1129
2000,1,131,31630561.8,1131
2000,1,133,63715000.2,1133
2001,1,1,294383486.5,1001
2001,1,3,1167018442,1003
2001,1,5,126154986.5,1005
2001,1,7,89260129.5,1007
2001,1,9,216606841,1009
2001,1,13,311932869,1013
2001,1,15,497508505,1015
2001,1,17,142952980,1017
