YEAR,STATE_CODE,COUNTY_CODE,VMT_TOTAL,Full_FIPS_Code
2000,1,1,274449272.4,01001
2000,1,3,1196020480,01003
2000,1,5,127607254.2,01005
2000,1,7,90609229.2,01007
2000,1,9,218101413,01009
2000,1,13,312020636.4,01013
2000,1,15,509056041,01015
2000,1,17,145215477.6,01017
2000,1,19,33912901.2,01019
2000,1,21,366653566.2,01021
2000,1,23,13936840.8,01023
2000,1,25,185289513,01025
2000,1,29,260653524.6,01029
2000,1,31,103415386.2,01031
2000,1,33,333352529.2,01033
2000,1,35,305330229.6,01035
2000,1,37,90820008.6,01037
2000,1,39,125744643.6,01039
2000,1,41,68978409.6,01041
2000,1,43,503092986,01043
2000,1,45,243352741.2,01045
2000,1,47,130728209.4,01047
2000,1,49,306258369,01049
2000,1,51,190555850.4,01051
2000,1,53,287707805.4,01053
2000,1,55,626257915.2,01055
2000,1,57,16045074,01057
2000,1,59,123633811.8,01059
2000,1,63,257142340.2,01063
2000,1,65,10888426.8,01065
2000,1,67,109815994.2,01067
2000,1,69,496140413.4,01069
2000,1,71,245788690.8,01071
2000,1,73,4352589047,01073
2000,1,77,308771105.4,01077
2000,1,79,231080980.8,01079
2000,1,81,584078501.4,01081
2000,1,83,649561647.6,01083
2000,1,85,249092353.2,01085
2000,1,87,303388855.8,01087
2000,1,89,1226777298,01089
2000,1,91,117786376.2,01091
2000,1,93,124626257.4,01093
2000,1,95,273994590.6,01095
2000,1,97,1970983994,01097
2000,1,99,38993200.8,01099
2000,1,101,1447333085,01101
2000,1,103,689686410.6,01103
2000,1,105,32137874.4,01105
2000,1,107,62870821.2,01107
2000,1,109,202135138.8,01109
2000,1,111,59443524,01111
2000,1,113,286968412.2,01113
2000,1,115,573398072.4,01115
2000,1,117,796622058,01117
2000,1,119,228240674.4,01119
2000,1,121,469593811.2,01121
2000,1,123,146226589.2,01123
2000,1,125,1211786252,01125
2000,1,127,254249952,01127
2000,1,129,121338369.6,01129
2000,1,131,31630561.8,01131
2000,1,133,63715000.2,01133
2000,2,1,1461735790,02001
2000,2,2,572442809.5,02002
2000,2,3,102440001,02003
2000,4,1,455824363.4,04001
2000,4,3,918569187.7,04003
2000,4,5,1520766723,04005
2000,4,7,250564411.4,04007
2000,4,9,36172456,04009
2000,4,12,575604252,04012
2000,4,13,15561462659,04013
2000,4,15,1527592590,04015
2000,4,17,683092157.9,04017
2000,4,19,3781811646,04019
2000,4,21,1138676095,04021
2000,4,23,154749506,04023
2000,4,25,1291064461,04025
2000,4,27,664090987.5,04027
2000,5,1,110281524.2,05001
2000,5,3,87758557.68,05003
2000,5,5,102527583.7,05005
2000,5,7,558426282.4,05007
2000,5,9,172157550.1,05009
2000,5,11,13938231.6,05011
2000,5,13,57741763.08,05013
2000,5,15,21211046.88,05015
2000,5,17,106902601.3,05017
2000,5,19,255878190.8,05019
2000,5,21,48790947.6,05021
2000,5,25,36468174.12,05025
2000,5,27,84975065.46,05027
2000,5,29,245739390.6,05029
2000,5,31,367225214.3,05031
2000,5,33,403620843.5,05033
2000,5,35,578779235,05035
2000,5,37,52417597.68,05037
2000,5,39,41174692.56,05039
2000,5,41,83954346.36,05041
2000,5,43,84973107.36,05043
2000,5,45,585704672.4,05045
2000,5,47,152526840,05047
2000,5,49,75752634.06,05049
2000,5,51,385018399.5,05051
2000,5,53,125391717.1,05053
2000,5,55,140375995,05055
2000,5,57,188617763.3,05057
2000,5,59,312731346.2,05059
2000,5,63,128914093.8,05063
2000,5,67,93366900.12,05067
2000,5,69,448580437.2,05069
2000,5,71,235663015.3,05071
2000,5,73,33818949,05073
2000,5,75,141247711.9,05075
2000,5,77,59644586.1,05077
2000,5,79,71255076,05079
2000,5,81,73311637.32,05081
2000,5,83,2008608,05083
2000,5,85,456942948,05085
2000,5,87,38671168.38,05087
2000,5,89,59754393.42,05089
2000,5,91,323340976.1,05091
2000,5,93,380593474.1,05093
2000,5,95,191179697.4,05095
2000,5,97,38537325.84,05097
2000,5,99,89662680,05099
2000,5,101,7736142,05101
2000,5,103,117461456,05103
2000,5,105,7644407.76,05105
2000,5,107,89490960.12,05107
2000,5,111,149578226.9,05111
2000,5,113,102829789.9,05113
2000,5,115,308578428.4,05115
2000,5,117,223031250,05117
2000,5,119,2638682179,05119
2000,5,121,49488455.76,05121
2000,5,123,600996840.4,05123
2000,5,125,442370142,05125
2000,5,127,76433159.82,05127
2000,5,129,68783624.4,05129
2000,5,131,508729817.8,05131
2000,5,133,88700389.14,05133
2000,5,135,98661192.6,05135
2000,5,139,221958386.9,05139
2000,5,141,100261820.4,05141
2000,5,143,738369900.6,05143
2000,5,145,331380499.2,05145
2000,5,149,36348543.36,05149
2000,6,1,9705490403,06001
2000,6,3,27203438.61,06003
2000,6,5,164258922.4,06005
2000,6,7,718663835.9,06007
2000,6,11,384420475.1,06011
2000,6,13,5398297068,06013
2000,6,15,148182394.4,06015
2000,6,17,713704800.5,06017
