Year,ST,CO,VMT
2016,1,1,349731409.8
2016,1,3,1578541369
2016,1,5,136524954
2016,1,7,115201929.4
2016,1,9,295179563.6
2016,1,11,3903774.3
2016,1,13,371401190.1
2016,1,15,571215065.4
2016,1,17,201027249.5
2016,1,19,32378852.46
2016,1,21,429499795.9
2016,1,23,15680871.06
2016,1,25,182530817.3
2016,1,27,0
2016,1,29,326838969.9
2016,1,31,124665353.5
2016,1,33,355855318.1
2016,1,35,335622442.9
2016,1,37,103611192.5
2016,1,39,137403957.9
2016,1,41,77475751.08
2016,1,43,612117044
2016,1,45,241607968
2016,1,47,135255556.2
2016,1,49,385499371
2016,1,51,300103705.7
2016,1,53,327677091.6
2016,1,55,656603828
2016,1,57,16960092.3
2016,1,59,142693898.6
2016,1,61,0
2016,1,63,289445459.9
2016,1,65,13695064.86
2016,1,67,123996711.8
2016,1,69,605176077.3
2016,1,71,329137442.6
2016,1,73,5166582706
2016,1,75,0
2016,1,77,381863183
2016,1,79,249676108.6
2016,1,81,765223865.9
2016,1,83,809811230.3
2016,1,85,285094382.4
2016,1,87,415688837.1
2016,1,89,1644942443
2016,1,91,135619495.6
2016,1,93,246362004.2
2016,1,95,305332052.3
2016,1,97,2511839155
2016,1,99,33207190.98
2016,1,101,1902217969
2016,1,103,754949942.2
2016,1,105,34096453.86
2016,1,107,78754086.6
2016,1,109,202546010.4
2016,1,111,71914307.88
2016,1,113,346861534.3
2016,1,115,657205898
2016,1,117,1134976665
2016,1,119,244976610
2016,1,121,612889962.8
2016,1,123,170080035.3
2016,1,125,1505594284
2016,1,127,398997740.2
2016,1,129,134702325.2
2016,1,131,27088150.44
2016,1,133,59925970.56
2016,2,13,0
2016,2,16,0
2016,2,20,1354612244
2016,2,50,0
2016,2,68,48306759.98
2016,2,70,0
2016,2,90,343630734.4
2016,2,100,5596611.042
2016,2,105,322107.816
2016,2,110,93806737.33
2016,2,122,410821656
2016,2,130,0
2016,2,150,0
2016,2,170,501744675.7
2016,2,180,0
2016,2,185,14065692.56
2016,2,188,0
2016,2,195,0
2016,2,198,0
2016,2,220,0
2016,2,230,3043944.774
2016,2,240,54360088.51
2016,2,261,81402568.01
2016,2,275,0
2016,2,282,0
2016,2,290,49087168.6
2016,4,1,445401296.8
2016,4,3,759525873.6
