,Full_FIPS_Code,YEAR,VMT
167,19001,2011,
493,40001,2009,
494,40001,2010,
966,19003,2011,
1697,19005,2011,
2000,40005,2009,
2002,40005,2010,
2483,19007,2011,
2558,25007,2000,
2559,25007,2001,
2561,25007,2002,
2821,40007,2010,
2822,40007,2009,
3080,6009,2010,
3081,6009,2000,
3082,6009,2009,
3084,6009,2001,
3085,6009,2002,
3086,6009,2003,
3087,6009,2007,
3088,6009,2004,
3089,6009,2005,
3090,6009,2006,
3091,6009,2008,
3197,19009,2011,
3544,40009,2009,
3546,40009,2010,
3919,19011,2011,
4291,40011,2009,
4292,40011,2010,
4964,40013,2010,
4966,40013,2009,
5233,8014,2000,
5698,40015,2009,
5699,40015,2010,
5945,19015,2011,
5974,1017,2012,
6143,19017,2011,
6421,37017,2000,
6422,37017,2001,
6423,37017,2002,
6424,37017,2003,
6425,37017,2004,
6426,37017,2005,
6427,37017,2007,
6428,37017,2008,
6429,37017,2006,
6434,37017,2009,
6440,37017,2010,
6471,40017,2009,
6472,40017,2010,
6586,51017,2000,
6587,51017,2001,
6588,51017,2002,
6589,51017,2003,
6590,51017,2004,
6591,51017,2005,
6596,51017,2010,
6598,51017,2008,
6599,51017,2009,
6603,51017,2006,
6604,51017,2007,
6864,19019,2011,
7131,40019,2009,
7132,40019,2010,
7210,48019,2005,
7211,48019,2004,
7212,48019,2003,
7213,48019,2006,
7222,48019,2007,
7224,48019,2001,
7225,48019,2002,
7226,48019,2000,
7579,19021,2011,
7862,40021,2009,
7866,40021,2010,
8289,19023,2011,
8592,40023,2009,
8595,40023,2010,
8988,19025,2011,
9520,40025,2010,
9523,40025,2009,
9657,19027,2011,
10140,40027,2009,
10141,40027,2010,
10328,19029,2011,
10673,40029,2009,
10677,40029,2010,
10974,19031,2011,
11285,40031,2010,
11288,40031,2009,
11677,19033,2011,
11970,40033,2009,
11972,40033,2010,
12339,19035,2011,
12570,40035,2009,
12575,40035,2010,
12936,19037,2011,
13222,40037,2009,
13223,40037,2010,
13598,19039,2011,
13909,40039,2009,
13910,40039,2010,
14240,19041,2011,
14483,36041,2005,
14484,36041,2006,
14485,36041,2000,
14486,36041,2001,
14487,36041,2007,
14488,36041,2008,
14489,36041,2009,
14494,36041,2003,
14495,36041,2004,
14496,36041,2002,
14497,36041,2010,
14564,40041,2009,
14565,40041,2010,
14888,19043,2011,
15140,40043,2009,
15141,40043,2010,
15177,46043,2010,
15178,46043,2009,
15179,46043,2006,
15180,46043,2004,
15181,46043,2005,
15182,46043,2007,
15184,46043,2008,
15193,46043,2000,
15194,46043,2001,
15195,46043,2002,
15196,46043,2003,
15470,16045,2000,
15532,19045,2011,
15815,40045,2009,
15818,40045,2010,
16130,19047,2011,
16388,40047,2009,
16391,40047,2010,
16773,19049,2011,
16884,30049,2011,
16996,40049,2009,
16997,40049,2010,
17348,19051,2011,
17613,40051,2009,
17614,40051,2010,
17950,19053,2011,
18560,19055,2011,
19073,19057,2011,
19331,40057,2009,
19332,40057,2010,
19652,19059,2011,
19910,40059,2009,
19911,40059,2010,
20611,19061,2011,
20777,19063,2011,
21006,40063,2009,
21007,40063,2010,
21009,40063,2000,
21010,40063,2001,
21011,40063,2002,
21106,51063,2000,
21107,51063,2010,
21108,51063,2008,
21109,51063,2009,
21110,51063,2001,
21111,51063,2002,
21112,51063,2003,
21113,51063,2004,
21114,51063,2005,
21115,51063,2006,
21116,51063,2007,
21277,19065,2011,
21478,40065,2009,
21479,40065,2010,
21770,19067,2011,
21989,40067,2009,
21990,40067,2010,
22321,19069,2011,
22923,19071,2011,
23150,40071,2009,
23151,40071,2010,
23423,19073,2011,
23640,40073,2009,
23646,40073,2010,
23677,46073,2010,
23678,46073,2009,
23679,46073,2008,
23680,46073,2007,
23690,46073,2003,
23691,46073,2004,
23692,46073,2005,
23693,46073,2006,
23694,46073,2002,
23695,46073,2000,
23696,46073,2001,
23959,19075,2011,
24165,37075,2000,
24219,40075,2009,
24220,40075,2010,
24499,19077,2011,
24819,51077,2000,
24825,51077,2010,
24827,51077,2001,
24828,51077,2002,
24829,51077,2003,
24830,51077,2004,
24831,51077,2005,
24835,51077,2006,
24836,51077,2007,
24838,51077,2008,
24839,51077,2009,
25044,19079,2011,
25301,40079,2010,
25426,40079,2009,
25561,19081,2011,
25801,40081,2009,
25802,40081,2010,
26140,19083,2011,
26357,40083,2009,
26358,40083,2010,
26642,19085,2011,
26897,40085,2009,
26899,40085,2010,
27049,12086,2000,
27050,12086,2001,
27228,19087,2011,
27460,40087,2010,
27461,40087,2009,
27680,19089,2011,
27874,40089,2009,
27875,40089,2010,
28154,19091,2011,
28378,40091,2010,
28380,40091,2009,
28449,51091,2008,
28450,51091,2009,
28451,51091,2010,
28452,51091,2004,
28453,51091,2005,
28454,51091,2006,
28458,51091,2000,
28459,51091,2001,
28460,51091,2002,
28461,51091,2003,
28462,51091,2007,
28636,19093,2011,
28858,40093,2009,
28859,40093,2010,
29125,19095,2011,
29362,40095,2009,
29364,40095,2010,
29598,19097,2011,
29811,40097,2009,
29812,40097,2010,
30110,19099,2011,
30375,40099,2009,
30376,40099,2010,
30874,40101,2009,
30876,40101,2010,
30905,47101,2000,
30906,47101,2001,
30907,47101,2002,
30908,47101,2003,
30909,47101,2004,
30911,47101,2005,
31034,8103,2010,
31035,8103,2007,
31036,8103,2009,
31037,8103,2008,
31038,8103,2003,
31039,8103,2004,
31040,8103,2002,
31041,8103,2005,
31042,8103,2006,
31048,8103,2001,
31049,8103,2000,
31339,40103,2009,
31340,40103,2010,
31588,19105,2011,
31857,40105,2009,
31858,40105,2010,
32124,19107,2011,
32337,40107,2009,
