County_FIPS,ST,CO,Year ,Total_daily_VMT, Total_Annual_VMT ,,
01001,1,1,2016 ," 955,550 ",349731409.8,,
01003,1,3,2016 ," 4,312,955 ",1578541369,,
01005,1,5,2016 ," 373,019 ",136524954,,
01007,1,7,2016 ," 314,759 ",115201929.4,,
01009,1,9,2016 ," 806,502 ",295179563.6,,
01011,1,11,2016 ," 10,666 ",3903774.3,,
01013,1,13,2016 ," 1,014,757 ",371401190.1,,
01015,1,15,2016 ," 1,560,697 ",571215065.4,,
01017,1,17,2016 ," 549,255 ",201027249.5,,
01019,1,19,2016 ," 88,467 ",32378852.46,,
01021,1,21,2016 ," 1,173,497 ",429499795.9,,
01023,1,23,2016 ," 42,844 ",15680871.06,,
01025,1,25,2016 ," 498,718 ",182530817.3,,
01027,1,27,2016 , -   ,0,,
01029,1,29,2016 ," 893,003 ",326838969.9,,
01031,1,31,2016 ," 340,616 ",124665353.5,,
01033,1,33,2016 ," 972,282 ",355855318.1,,
01035,1,35,2016 ," 917,001 ",335622442.9,,
01037,1,37,2016 ," 283,091 ",103611192.5,,
01039,1,39,2016 ," 375,421 ",137403957.9,,
01041,1,41,2016 ," 211,682 ",77475751.08,,
01043,1,43,2016 ," 1,672,451 ",612117044,,
01045,1,45,2016 ," 660,131 ",241607968,,
01047,1,47,2016 ," 369,551 ",135255556.2,,
01049,1,49,2016 ," 1,053,277 ",385499371,,
01051,1,51,2016 ," 819,955 ",300103705.7,,
01053,1,53,2016 ," 895,293 ",327677091.6,,
01055,1,55,2016 ," 1,794,000 ",656603828,,
01057,1,57,2016 ," 46,339 ",16960092.3,,
01059,1,59,2016 ," 389,874 ",142693898.6,,
01061,1,61,2016 , -   ,0,,
01063,1,63,2016 ," 790,835 ",289445459.9,,
01065,1,65,2016 ," 37,418 ",13695064.86,,
01067,1,67,2016 ," 338,789 ",123996711.8,,
01069,1,69,2016 ," 1,653,487 ",605176077.3,,
01071,1,71,2016 ," 899,283 ",329137442.6,,
01073,1,73,2016 ," 14,116,346 ",5166582706,,
01075,1,75,2016 , -   ,0,,
01077,1,77,2016 ," 1,043,342 ",381863183,,
01079,1,79,2016 ," 682,175 ",249676108.6,,
01081,1,81,2016 ," 2,090,776 ",765223865.9,,
01083,1,83,2016 ," 2,212,599 ",809811230.3,,
01085,1,85,2016 ," 778,946 ",285094382.4,,
01087,1,87,2016 ," 1,135,762 ",415688837.1,,
01089,1,89,2016 ," 4,494,378 ",1644942443,,
01091,1,91,2016 ," 370,545 ",135619495.6,,
01093,1,93,2016 ," 673,120 ",246362004.2,,
01095,1,95,2016 ," 834,241 ",305332052.3,,
01097,1,97,2016 ," 6,862,949 ",2511839155,,
01099,1,99,2016 ," 90,730 ",33207190.98,,
01101,1,101,2016 ," 5,197,317 ",1902217969,,
01103,1,103,2016 ," 2,062,705 ",754949942.2,,
01105,1,105,2016 ," 93,160 ",34096453.86,,
01107,1,107,2016 ," 215,175 ",78754086.6,,
01109,1,109,2016 ," 553,404 ",202546010.4,,
01111,1,111,2016 ," 196,487 ",71914307.88,,
