,STATE_CODE,COUNTY_CODE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,1,1,274449272.4,294383486.5,302790677.5,308238612.8,321675555.3,322993597.2,335091920.5,336932626.8,308231608.3,,,330989920,336027104,332091936,337157984,338428096,349731409.8,368891429.3,383707575,385798225.2,372532589.8
1,1,3,1196020480,1167018442,1231052217,1258745059,1331049002,1340591766,1418404516,1405448820,1345075624,,,1176513792,1227558528,1333338240,1418520192,1496820224,1578541369,1644975759,1629884472,1662899558,1555626538
2,1,5,127607254.2,126154986.5,133499042,139484531,133740213.7,137144983.2,140864497.5,145555441,135688980.7,,,147807024,146634400,141194432,136105888,132080792,136524954,135248268,136752307.4,135891692.6,131890254.6
3,1,7,90609229.2,89260129.5,84898197,84503365.55,90024408.78,107760794.7,105090394.5,98943346.27,95308566.35,,,98198464,102738592,103956376,102489464,108032184,115201929.4,113928785.9,110095052.6,110558143.8,109310606.8
4,1,9,218101413,216606841,221505323.5,218780379.5,220325181.4,219522447.2,220089100.1,219892463.7,212682997.5,,,279743808,279461664,280861088,283105632,302239040,295179563.6,291214202.5,283650888.5,329043110.5,307554387.1
6,1,13,312020636.4,311932869,320452918,325275955,335318410.3,338467912.8,331328903.3,331104574.3,315556201.6,,,342830144,345373824,356493472,351857056,359908992,371401190.1,425276979.7,386956374.6,384894326.5,383468769.7
7,1,15,509056041,497508505,500517565,514954672.9,590395482.1,560476204.1,540756387.8,525678991.8,490890931.1,,,526008640,537771456,519741344,537161216,552842688,571215065.4,579835368.3,573861138.4,582233427.7,550638168.8
8,1,17,145215477.6,142952980,151171502.5,160186290.8,160491680.8,160153405.4,161595688.6,161698670.4,160345431.6,,,169533904,,169011664,172361408,191900000,201027249.5,201226430.9,203917532.4,206245231.6,172023472.2
9,1,19,33912901.2,32682173,32694327.5,31908938.75,32301655.74,32884247.95,33621865.5,33447474.34,31606349.44,,,31527252,32117418,32461198,32514358,32447400,32378852.46,30945185.45,31711029.18,34202978.72,34261949.91
10,1,21,366653566.2,377395035,389137815,406737994.6,382744770.8,380472079.9,390879793.6,394118348.4,372559180.8,,,403035136,388568480,410819968,410540448,420490976,429499795.9,457926284.4,469181357.6,467812858.4,434173525.1
11,1,23,13936840.8,13380498.5,15220755.5,15395116,15936317.1,15955920.25,16933211.4,16148990.65,15313165.5,,,16882044,16004512,15523754,15392394,15974063,15680871.06,16972441.6,16395193.01,16268958.12,15710472.77
12,1,25,185289513,182729293,181862053,182551136.5,188446186.1,181411722.9,186462829.1,184717795.8,170971100.7,,,176141632,178019264,175054624,180282656,180328624,182530817.3,190668521.2,186704976.3,184740786.8,179914085.3
14,1,29,260653524.6,267370347.5,255895441,263480214,300531431.5,290455024.4,290684103.9,292812237.1,277282115,,,293747136,275693952,78721936,282136256,309677632,326838969.9,349041637.9,309886366.2,347602232.7,295076120
