County_FIPS,ST,CO,Year,Total,Filtered_total,Percentage
01001,1,1,2016 ," 1,523,752 "," 955,550 ",0.627103714
01003,1,3,2016 ," 7,484,804 "," 4,312,955 ",0.576228118
01005,1,5,2016 ," 724,363 "," 373,019 ",0.514961521
01007,1,7,2016 ," 576,893 "," 314,759 ",0.545611277
01009,1,9,2016 ," 1,410,364 "," 806,502 ",0.571839329
01011,1,11,2016 ," 281,371 "," 10,666 ",0.037907413
01013,1,13,2016 ," 1,440,570 "," 1,014,757 ",0.70441393
01015,1,15,2016 ," 2,921,853 "," 1,560,697 ",0.534146205
01017,1,17,2016 ," 1,072,771 "," 549,255 ",0.511996111
01019,1,19,2016 ," 622,938 "," 88,467 ",0.142015526
01021,1,21,2016 ," 1,876,033 "," 1,173,497 ",0.625520205
01023,1,23,2016 ," 369,916 "," 42,844 ",0.115820708
01025,1,25,2016 ," 672,521 "," 498,718 ",0.741565022
01027,1,27,2016 ," 289,076 ", -   ,0
01029,1,29,2016 ," 1,115,212 "," 893,003 ",0.800746931
01031,1,31,2016 ," 1,122,191 "," 340,616 ",0.30352739
01033,1,33,2016 ," 1,565,151 "," 972,282 ",0.621206594
01035,1,35,2016 ," 1,088,615 "," 917,001 ",0.842355909
01037,1,37,2016 ," 461,701 "," 283,091 ",0.613147524
01039,1,39,2016 ," 1,015,223 "," 375,421 ",0.36979136
01041,1,41,2016 ," 410,611 "," 211,682 ",0.515530159
01043,1,43,2016 ," 2,721,834 "," 1,672,451 ",0.614457267
01045,1,45,2016 ," 1,380,224 "," 660,131 ",0.478278082
01047,1,47,2016 ," 929,163 "," 369,551 ",0.397724129
01049,1,49,2016 ," 1,956,623 "," 1,053,277 ",0.538313776
01051,1,51,2016 ," 2,087,945 "," 819,955 ",0.392709369
01053,1,53,2016 ," 1,498,635 "," 895,293 ",0.59740534
01055,1,55,2016 ," 2,604,630 "," 1,794,000 ",0.688773357
01057,1,57,2016 ," 361,177 "," 46,339 ",0.128300227
01059,1,59,2016 ," 698,350 "," 389,874 ",0.558278745
01061,1,61,2016 ," 623,512 ", -   ,0
01063,1,63,2016 ," 951,184 "," 790,835 ",0.83142097
01065,1,65,2016 ," 383,012 "," 37,418 ",0.097694574
01067,1,67,2016 ," 616,111 "," 338,789 ",0.549883031
01069,1,69,2016 ," 2,667,283 "," 1,653,487 ",0.619914244
01071,1,71,2016 ," 1,470,325 "," 899,283 ",0.611621519
01073,1,73,2016 ," 19,940,144 "," 14,116,346 ",0.707936027
01075,1,75,2016 ," 293,472 ", -   ,0
01077,1,77,2016 ," 1,784,559 "," 1,043,342 ",0.584649883
01079,1,79,2016 ," 1,010,457 "," 682,175 ",0.675115812
01081,1,81,2016 ," 3,659,419 "," 2,090,776 ",0.571340884
01083,1,83,2016 ," 3,057,097 "," 2,212,599 ",0.723758085
01085,1,85,2016 ," 980,422 "," 778,946 ",0.794501103
01087,1,87,2016 ," 1,520,229 "," 1,135,762 ",0.747099059
01089,1,89,2016 ," 8,978,899 "," 4,494,378 ",0.500548946
01091,1,91,2016 ," 682,349 "," 370,545 ",0.543043063
01093,1,93,2016 ," 1,127,818 "," 673,120 ",0.596834133
01095,1,95,2016 ," 1,940,196 "," 834,241 ",0.42997756
01097,1,97,2016 ," 10,588,561 "," 6,862,949 ",0.64814745
01099,1,99,2016 ," 501,932 "," 90,730 ",0.180761727
01101,1,101,2016 ," 7,057,264 "," 5,197,317 ",0.736449241
01103,1,103,2016 ," 3,165,069 "," 2,062,705 ",0.651709187
01105,1,105,2016 ," 214,967 "," 93,160 ",0.43336707
01107,1,107,2016 ," 515,993 "," 215,175 ",0.417011859
01109,1,109,2016 ," 1,084,376 "," 553,404 ",0.510343414
01111,1,111,2016 ," 466,347 "," 196,487 ",0.421332236
01113,1,113,2016 ," 1,529,461 "," 947,709 ",0.619636208
01115,1,115,2016 ," 3,046,006 "," 1,795,645 ",0.589507876
01117,1,117,2016 ," 5,304,773 "," 3,101,029 ",0.584573375
01119,1,119,2016 ," 953,610 "," 669,335 ",0.701896299
01121,1,121,2016 ," 2,488,976 "," 1,674,563 ",0.672791935
01123,1,123,2016 ," 1,123,294 "," 464,700 ",0.413693566
01125,1,125,2016 ," 6,004,892 "," 4,113,646 ",0.685049029
01127,1,127,2016 ," 1,936,956 "," 1,090,158 ",0.562820147
01129,1,129,2016 ," 577,588 "," 368,039 ",0.637200291
01131,1,131,2016 ," 332,816 "," 74,011 ",0.222378992
01133,1,133,2016 ," 461,045 "," 163,732 ",0.355132632
02013,2,13,2016 ," 1,150 ", -   ,0
02016,2,16,2016 ," 12,889 ", -   ,0
02020,2,20,2016 ," 4,704,014 "," 3,701,126 ",0.786801778
02050,2,50,2016 ," 29,953 ", -   ,0
02068,2,68,2016 ," 154,223 "," 131,986 ",0.855810298
02070,2,70,2016 ," 19,080 ", -   ,0
02090,2,90,2016 ," 1,680,551 "," 938,882 ",0.558675064
02100,2,100,2016 ," 18,404 "," 15,291 ",0.830860044
02105,2,105,2016 ," 6,424 ", 880 ,0.137002461
02110,2,110,2016 ," 456,834 "," 256,303 ",0.561040307
02122,2,122,2016 ," 1,437,382 "," 1,122,464 ",0.780908544
02130,2,130,2016 ," 154,503 ", -   ,0
02150,2,150,2016 ," 114,897 ", -   ,0
02170,2,170,2016 ," 2,012,839 "," 1,370,887 ",0.681071545
02180,2,180,2016 ," 40,940 ", -   ,0
02185,2,185,2016 ," 51,863 "," 38,431 ",0.741013083
02188,2,188,2016 ," 5,286 ", -   ,0
02195,2,195,2016 ," 22,218 ", -   ,0
02198,2,198,2016 ," 50,571 ", -   ,0
02220,2,220,2016 ," 68,145 ", -   ,0
02230,2,230,2016 ," 8,317 "," 8,317 ",1
02240,2,240,2016 ," 227,882 "," 148,525 ",0.65176172
02261,2,261,2016 ," 316,777 "," 222,411 ",0.702107681
02275,2,275,2016 ," 9,186 ", -   ,0
02282,2,282,2016 ," 4,112 ", -   ,0
02290,2,290,2016 ," 146,027 "," 134,118 ",0.918448798
04001,4,1,2016 ," 2,455,702 "," 1,216,943 ",0.495558211
04003,4,3,2016 ," 3,391,616 "," 2,075,207 ",0.611863888
04005,4,5,2016 ," 6,134,266 "," 4,361,452 ",0.710998209
04007,4,7,2016 ," 1,525,135 "," 824,896 ",0.540867151
04009,4,9,2016 ," 784,136 ", -   ,0
04011,4,11,2016 ," 168,134 ", -   ,0
04012,4,12,2016 ," 2,211,082 "," 1,741,991 ",0.787845355
04013,4,13,2016 ," 87,939,053 "," 49,416,904 ",0.561944914
04015,4,15,2016 ," 6,468,546 "," 5,035,806 ",0.778506675
04017,4,17,2016 ," 3,539,009 "," 2,203,398 ",0.622603296
04019,4,19,2016 ," 21,451,213 "," 12,163,995 ",0.567053924
04021,4,21,2016 ," 8,103,257 "," 4,569,693 ",0.563932897
04023,4,23,2016 ," 1,073,006 "," 762,995 ",0.711081683
04025,4,25,2016 ," 7,582,481 "," 4,969,835 ",0.655436551
04027,4,27,2016 ," 4,019,761 "," 2,314,999 ",0.575904591
05001,5,1,2016 ," 498,766 "," 274,180 ",0.549717545
05003,5,3,2016 ," 473,627 "," 203,952 ",0.43061646
05005,5,5,2016 ," 803,924 "," 357,154 ",0.44426388
05007,5,7,2016 ," 5,615,085 "," 2,577,097 ",0.458959611
05009,5,9,2016 ," 942,463 "," 559,501 ",0.593658583
05011,5,11,2016 ," 254,858 ", -   ,0
05013,5,13,2016 ," 275,996 "," 153,501 ",0.556171403
05015,5,15,2016 ," 623,533 "," 91,082 ",0.146073393
05017,5,17,2016 ," 395,943 "," 288,651 ",0.729022782
05019,5,19,2016 ," 1,190,309 "," 836,963 ",0.703147731
05021,5,21,2016 ," 333,119 "," 139,208 ",0.417894246
05023,5,23,2016 ," 579,861 ", -   ,0
05025,5,25,2016 ," 263,404 "," 91,157 ",0.346072083
