ST,CO,2016,2017,2018,2019,2020,average
1,1,0.627103714,0.63962731,0.650776292,0.646823718,0.641023986,0.641071004
1,3,0.576228118,0.583518584,0.57778903,0.573308431,0.553403036,0.57284944
1,5,0.514961521,0.508783553,0.510189119,0.511138384,0.509885318,0.510991579
1,7,0.545611277,0.541999682,0.534537206,0.521493852,0.529833567,0.534695117
1,9,0.571839329,0.571103807,0.557852067,0.636029638,0.634135508,0.59419207
1,11,0.037907413,0,0,0,0,0.007581483
1,13,0.70441393,0.73352134,0.715817698,0.715062876,0.715356891,0.716834547
1,15,0.534146205,0.539293822,0.537391073,0.54263965,0.541067752,0.5389077
1,17,0.511996111,0.516258842,0.521027164,0.523505847,0.485024307,0.511562454
1,19,0.142015526,0.141206683,0.142252635,0.148954283,0.150579292,0.145001684
1,21,0.625520205,0.641932006,0.64421243,0.643697875,0.630768708,0.637226245
1,23,0.115820708,0.122235892,0.118386217,0.11683382,0.116789869,0.118013301
1,25,0.741565022,0.757200752,0.752961042,0.751858851,0.749040661,0.750525266
1,27,0,0,0,0,0,0
1,29,0.800746931,0.812629055,0.791742666,0.813029296,0.789476857,0.801524961
1,31,0.30352739,0.306092485,0.310350643,0.307637725,0.301153296,0.305752308
1,33,0.621206594,0.619002851,0.627768201,0.627411159,0.630003818,0.625078525
1,35,0.842355909,0.838743403,0.846495547,0.846082282,0.839576979,0.842650824
1,37,0.613147524,0.617686331,0.609643383,0.625047022,0.615816021,0.616268056
1,39,0.36979136,0.371084357,0.379984485,0.371090257,0.373396761,0.373069444
1,41,0.515530159,0.516242181,0.530008854,0.520518172,0.524340405,0.521327954
1,43,0.614457267,0.61407198,0.624330887,0.62414627,0.605020381,0.616405357
1,45,0.478278082,0.483765097,0.485636846,0.487679923,0.472141216,0.481500233
1,47,0.397724129,0.396564125,0.394411095,0.393802101,0.397103095,0.395920909
1,49,0.538313776,0.541704205,0.53662759,0.536358052,0.522674281,0.535135581
1,51,0.392709369,0.405366481,0.403680221,0.364146357,0.348978715,0.382976229
1,53,0.59740534,0.61228589,0.600408617,0.601012591,0.591240351,0.600470558
1,55,0.688773357,0.692963318,0.705432293,0.707902039,0.70196344,0.699406889
1,57,0.128300227,0.128651042,0.133028856,0.135598,0.137408967,0.132597418
1,59,0.558278745,0.578052318,0.582036034,0.583872173,0.575499264,0.575547707
1,61,0,0,0,0,0,0
1,63,0.83142097,0.826324305,0.825460617,0.826745726,0.823685474,0.826727418
1,65,0.097694574,0.093513832,0.094945217,0.099049042,0.093865695,0.095813672
1,67,0.549883031,0.562639377,0.559979968,0.565316605,0.56602408,0.560768612
1,69,0.619914244,0.625482808,0.622659959,0.617611462,0.609986379,0.61913097
1,71,0.611621519,0.616531253,0.600137329,0.596761723,0.59072595,0.603155555
1,73,0.707936027,0.709381917,0.708002513,0.707106851,0.6976565,0.706016762
1,75,0,0,0,0,0,0
1,77,0.584649883,0.60282804,0.592351648,0.590766962,0.595827057,0.593284718
1,79,0.675115812,0.683658527,0.682430674,0.689749559,0.695394985,0.685269911
1,81,0.571340884,0.569154308,0.565092369,0.570267074,0.550444734,0.565259874
1,83,0.723758085,0.718894618,0.721397968,0.727259092,0.709434456,0.720148844
1,85,0.794501103,0.80605639,0.810100671,0.811493062,0.800086453,0.804447536
1,87,0.747099059,0.741780204,0.746577656,0.741564927,0.729937665,0.741391902
1,89,0.500548946,0.50178668,0.505060181,0.506982198,0.498463792,0.502568359
1,91,0.543043063,0.56334475,0.566074772,0.563869773,0.561630115,0.559592495
1,93,0.596834133,0.582069336,0.56783961,0.572966382,0.601323057,0.584206504
1,95,0.42997756,0.424384689,0.426902386,0.436633969,0.422207059,0.428021133
1,97,0.64814745,0.656725345,0.654807706,0.655095231,0.648552718,0.65266569
1,99,0.180761727,0.176816204,0.179506684,0.191571486,0.188942465,0.183519713
1,101,0.736449241,0.731227989,0.736918829,0.737301848,0.731501571,0.734679896
1,103,0.651709187,0.680515007,0.681765742,0.684142352,0.684836104,0.676593678
1,105,0.43336707,0.431980695,0.43303728,0.429105582,0.431823383,0.431862802
1,107,0.417011859,0.42310759,0.427068828,0.42935294,0.416985601,0.422705364
1,109,0.510343414,0.500255466,0.5038436,0.501747777,0.479205378,0.499079127
1,111,0.421332236,0.424826096,0.423380855,0.42643698,0.400301965,0.419255626
1,113,0.619636208,0.622499949,0.62096711,0.620735633,0.613201443,0.619408069
1,115,0.589507876,0.599166261,0.605487433,0.62246744,0.611163766,0.605558555
1,117,0.584573375,0.590993332,0.585800665,0.58780341,0.58093597,0.58602135
1,119,0.701896299,0.716984635,0.717983715,0.725755068,0.716416598,0.715807263
1,121,0.672791935,0.681682877,0.687561943,0.676593068,0.669658966,0.677657758
1,123,0.413693566,0.425918364,0.428549603,0.443598655,0.441293628,0.430610763
1,125,0.685049029,0.693757463,0.69725242,0.696824608,0.679359702,0.690448644
1,127,0.562820147,0.57135845,0.569885586,0.576458531,0.58051374,0.572207291
1,129,0.637200291,0.623318225,0.624020944,0.61561844,0.617971917,0.623625963
1,131,0.222378992,0.236402371,0.230330629,0.23158304,0.228046853,0.229748377
1,133,0.355132632,0.345765837,0.348000583,0.359142572,0.344441892,0.350496703
