YEAR,STATE_CODE,COUNTY_CODE,F_SYSTEM,"AVMT (1,000)",VMT_TOTAL
2000,1,1,1,"182,238",182238280.8
2000,1,1,2,"29,226",29225575.8
2000,1,1,14,"62,985",62985415.8
2000,1,3,1,"612,965",612965497.9
2000,1,3,2,"469,023",469022778
2000,1,3,14,"114,032",114032204.4
2000,1,5,2,"34,569",34568883
2000,1,5,14,"93,038",93038371.2
2000,1,7,2,"90,609",90609229.2
2000,1,9,1,"98,359",98358876.6
2000,1,9,2,"119,743",119742536.4
2000,1,13,1,"265,021",265021112.4
2000,1,13,11,"47,000",46999524
2000,1,15,1,"33,260",33259957.2
2000,1,15,2,"92,625",92625010.8
2000,1,15,11,"111,325",111324682.8
2000,1,15,14,"271,846",271846390.2
2000,1,17,1,"47,023",47022948
2000,1,17,2,"50,785",50784513
2000,1,17,11,"47,408",47408016.6
2000,1,19,2,"33,913",33912901.2
2000,1,21,1,"292,039",292038573.6
2000,1,21,2,"18,532",18531604.8
2000,1,21,11,"23,133",23133396
2000,1,21,14,"32,950",32949991.8
2000,1,23,2,"13,937",13936840.8
2000,1,25,2,"164,264",164263764.6
2000,1,25,14,"21,026",21025748.4
2000,1,29,1,"236,107",236107149
2000,1,29,2,"24,546",24546375.6
2000,1,31,2,"38,711",38710575.6
2000,1,31,14,"64,705",64704810.6
2000,1,33,2,"189,781",189780845.4
2000,1,33,14,"143,572",143571683.8
2000,1,35,1,"237,133",237133120.2
2000,1,35,2,"68,197",68197109.4
2000,1,37,2,"90,820",90820008.6
2000,1,39,2,"65,375",65374700.4
2000,1,39,14,"60,370",60369943.2
2000,1,41,2,"68,978",68978409.6
2000,1,43,1,"324,807",324806992.8
2000,1,43,2,"119,107",119106648
2000,1,43,11,"14,064",14064282
2000,1,43,14,"45,115",45115063.2
2000,1,45,2,"132,464",132464403.6
2000,1,45,14,"110,888",110888337.6
2000,1,47,2,"106,966",106965805.8
2000,1,47,14,"23,762",23762403.6
2000,1,49,1,"147,892",147892474.8
2000,1,49,2,"51,890",51889796.4
2000,1,49,11,"53,974",53974386
2000,1,49,14,"52,502",52501711.8
2000,1,51,1,"71,039",71038513.8
