ST_code,ST_name,COUNTY,DVMT,Total_VMT,
1,Alabama,1,"1,414,542",516307698.6,2011
1,Alabama,3,"5,626,828",2053792271,2011
1,Alabama,5,"792,480",289255302.2,2011
1,Alabama,7,"503,159",183653206.6,2011
1,Alabama,9,"1,289,855",470796932.7,2011
1,Alabama,11,"322,249",117620815.7,2011
1,Alabama,13,"1,310,289",478255612.8,2011
1,Alabama,15,"2,674,149",976064472.6,2011
1,Alabama,17,"907,956",331404104.3,2011
1,Alabama,19,"595,690",217426802.6,2011
1,Alabama,21,"1,732,832",632483581.5,2011
1,Alabama,23,"391,923",143052041,2011
1,Alabama,25,"642,989",234691138.3,2011
1,Alabama,27,"279,628",102064139.7,2011
1,Alabama,29,"1,004,069",366485349.3,2011
1,Alabama,31,"1,055,761",385352786.9,2011
1,Alabama,33,"1,506,052",549708797.5,2011
1,Alabama,35,"1,000,611",365223044.2,2011
1,Alabama,37,"430,992",157312255.2,2011
1,Alabama,39,"856,163",312499440.3,2011
1,Alabama,41,"426,711",155749339.8,2011
1,Alabama,43,"2,482,092",905963587.3,2011
1,Alabama,45,"1,376,434",502398351.6,2011
1,Alabama,47,"974,819",355808854.7,2011
1,Alabama,49,"1,742,935",636171348,2011
1,Alabama,51,"1,969,416",718836719.6,2011
1,Alabama,53,"1,368,874",499639028.3,2011
1,Alabama,55,"2,539,183",926801718.4,2011
1,Alabama,57,"397,665",145147648.4,2011
1,Alabama,59,"610,605",222870817.7,2011
1,Alabama,61,"615,957",224824221.1,2011
1,Alabama,63,"900,612",328723325.3,2011
1,Alabama,65,"430,931",157289972,2011
1,Alabama,67,"598,423",218424398.7,2011
1,Alabama,69,"2,581,526",942257077.6,2011
1,Alabama,71,"1,450,356",529379994.8,2011
1,Alabama,73,"19,121,640",6979398764,2011
1,Alabama,75,"286,045",104406425,2011
1,Alabama,77,"1,698,030",619780990.2,2011
1,Alabama,79,"1,037,053",378524235.5,2011
1,Alabama,81,"3,135,697",1144529478,2011
1,Alabama,83,"2,667,937",973797158.3,2011
1,Alabama,85,"934,540",341107184,2011
1,Alabama,87,"1,411,595",515232127.6,2011
1,Alabama,89,"7,763,746",2833767458,2011
1,Alabama,91,"656,744",239711709.7,2011
1,Alabama,93,"1,058,694",386423185.9,2011
1,Alabama,95,"1,810,882",660971802.3,2011
1,Alabama,97,"10,222,120",3731073847,2011
1,Alabama,99,"566,149",206644414.2,2011
1,Alabama,101,"6,944,577",2534770455,2011
1,Alabama,103,"2,730,787",996737426.6,2011
1,Alabama,105,"231,090",84347893.8,2011
1,Alabama,107,"509,016",185791018.9,2011
1,Alabama,109,"1,027,901",375183781.1,2011
1,Alabama,111,"404,023",147468351.2,2011
1,Alabama,113,"1,508,151",550475012.1,2011
1,Alabama,115,"2,870,440",1047710717,2011
1,Alabama,117,"4,828,988",1762580452,2011
1,Alabama,119,"943,435",344353694.7,2011
1,Alabama,121,"2,239,537",817430859,2011
1,Alabama,123,"942,524",344021219.9,2011
1,Alabama,125,"5,631,566",2055521608,2011
1,Alabama,127,"1,855,977",677431736.4,2011
1,Alabama,129,"549,953",200732691.7,2011
1,Alabama,131,"364,934",133201048.7,2011
1,Alabama,133,"516,170",188402057.3,2011
2,Alaska,1,"347,330",126775570.8,2011
2,Alaska,2,"14,268",5207917.455,2011
2,Alaska,3,"125,180",45690817.9,2011
2,Alaska,4,"4,198,382",1532409462,2011
2,Alaska,5,"47,219",17235031.73,2011
2,Alaska,6,"1,101,507",402050233.9,2011
2,Alaska,7,"84,465",30829695.8,2011
2,Alaska,8,"1,784,602",651379553,2011
2,Alaska,9,"1,485,479",542199942.7,2011
2,Alaska,10,"25,522",9315365.385,2011
2,Alaska,11,"36,374",13276604.9,2011
2,Alaska,12,"5,353",1953669.8,2011
2,Alaska,13,"1,211",441916.45,2011
2,Alaska,14,"167,913",61288346.11,2011
2,Alaska,15,"4,516",1648354.6,2011
2,Alaska,16,"3,835",1399613.67,2011
2,Alaska,17,"7,738",2824483.515,2011
2,Alaska,18,"9,633",3515904.11,2011
2,Alaska,99,"772,279",281881913.5,2011
4,Arizona,1,"2,222,928",811368603.6,2011
4,Arizona,3,"3,452,165",1260040339,2011
4,Arizona,5,"5,499,299",2007244311,2011
4,Arizona,7,"1,463,554",534197045,2011
4,Arizona,9,"632,769",230960791.6,2011
4,Arizona,11,"184,015",67165392.51,2011
4,Arizona,12,"2,178,176",795034175.4,2011
4,Arizona,13,"78,267,857",28567767789,2011
4,Arizona,15,"5,913,015",2158250567,2011
4,Arizona,17,"3,089,433",1127643175,2011
4,Arizona,19,"19,435,190",7093844442,2011
4,Arizona,21,"7,736,769",2823920621,2011
4,Arizona,23,"1,067,991",389816864.7,2011
4,Arizona,25,"6,212,306",2267491726,2011
4,Arizona,27,"3,607,355",1316684519,2011
5,Arkansas,1,"456,126",166486103.2,2011
5,Arkansas,3,"489,110",178525252.2,2011
5,Arkansas,5,"720,390",262942437.6,2011
5,Arkansas,7,"4,545,486",1659102405,2011
5,Arkansas,9,"866,907",316421190.1,2011
5,Arkansas,11,"251,773",91897072,2011
5,Arkansas,13,"261,174",95328495.4,2011
5,Arkansas,15,"587,085",214286010.4,2011
5,Arkansas,17,"385,775",140807929.8,2011
5,Arkansas,19,"1,132,694",413433423.2,2011
5,Arkansas,21,"285,157",104082264.9,2011
5,Arkansas,23,"645,311",235538431.1,2011
5,Arkansas,25,"259,045",94551326.45,2011
5,Arkansas,27,"519,478",189609491.9,2011
5,Arkansas,29,"1,146,538",418486275.1,2011
5,Arkansas,31,"2,131,944",778159395.8,2011
5,Arkansas,33,"1,909,272",696884192.4,2011
5,Arkansas,35,"2,137,914",780338774.3,2011
5,Arkansas,37,"413,390",150887291.6,2011
5,Arkansas,39,"231,618",84540624.75,2011
5,Arkansas,41,"357,972",130659765.4,2011
5,Arkansas,43,"549,308",200497474.8,2011
5,Arkansas,45,"2,837,647",1035741206,2011
5,Arkansas,47,"771,455",281580936.3,2011
5,Arkansas,49,"314,048",114627410.5,2011
5,Arkansas,51,"1,955,035",713587932,2011
5,Arkansas,53,"493,230",180029055.9,2011
5,Arkansas,55,"793,619",289670975.2,2011
5,Arkansas,57,"1,090,845",398158592.9,2011
5,Arkansas,59,"1,372,464",500949451.3,2011
5,Arkansas,61,"274,534",100204997.6,2011
5,Arkansas,63,"870,007",317552569.6,2011
5,Arkansas,65,"219,755",80210418.05,2011
5,Arkansas,67,"566,799",206881667.9,2011
5,Arkansas,69,"1,944,437",709719362.7,2011
5,Arkansas,71,"1,006,006",367192317.8,2011
5,Arkansas,73,"230,429",84106592.3,2011
5,Arkansas,75,"543,484",198371824.3,2011
5,Arkansas,77,"212,382",77519437.3,2011
5,Arkansas,79,"299,277",109235944.4,2011
5,Arkansas,81,"374,326",136629030.2,2011
5,Arkansas,83,"413,037",150758340.8,2011
5,Arkansas,85,"2,070,308",755662376.2,2011
5,Arkansas,87,"390,896",142677197,2011
5,Arkansas,89,"308,468",112590841.9,2011
5,Arkansas,91,"1,414,189",516178893.8,2011
5,Arkansas,93,"1,559,150",569089844.9,2011
5,Arkansas,95,"630,066",229974075.4,2011
5,Arkansas,97,"246,599",90008799.25,2011
5,Arkansas,99,"485,437",177184457.6,2011
5,Arkansas,101,"168,733",61587636.25,2011
5,Arkansas,103,"582,947",212775494.4,2011
5,Arkansas,105,"213,927",78083267.4,2011
5,Arkansas,107,"441,914",161298485.9,2011
5,Arkansas,109,"230,250",84041330.3,2011
