County_FIPS,ST,CO,Year ,Total_daily_VMT,Total_Annual_VMT
1001,1,1,2016,1523751.62,557693092.9
1003,1,3,2016,7484804.064,2739438287
1005,1,5,2016,724362.86,265116806.8
1007,1,7,2016,576893.08,211142867.3
1009,1,9,2016,1410363.89,516193183.7
1011,1,11,2016,281371.09,102981818.9
1013,1,13,2016,1440569.68,527248502.9
1015,1,15,2016,2921853.39,1069398341
1017,1,17,2016,1072771.39,392634328.7
1019,1,19,2016,622937.594,227995159.4
1021,1,21,2016,1876033.26,686628173.2
1023,1,23,2016,369915.8,135389182.8
1025,1,25,2016,672521.04,246142700.6
1027,1,27,2016,289076.44,105801977
1029,1,29,2016,1115212.08,408167621.3
1031,1,31,2016,1122191.05,410721924.3
1033,1,33,2016,1565151.27,572845364.8
1035,1,35,2016,1088614.92,398433060.7
1037,1,37,2016,461700.78,168982485.5
1039,1,39,2016,1015222.88,371571574.1
1041,1,41,2016,410611.05,150283644.3
1043,1,43,2016,2721834.42,996191397.7
1045,1,45,2016,1380224.36,505162115.8
1047,1,47,2016,929163.39,340073800.7
1049,1,49,2016,1956622.73,716123919.2
1051,1,51,2016,2087944.79,764187793.1
1053,1,53,2016,1498635.08,548500439.3
1055,1,55,2016,2604629.683,953294464
1057,1,57,2016,361176.68,132190664.9
1059,1,59,2016,698350.14,255596151.2
1061,1,61,2016,623512.15,228205446.9
1063,1,63,2016,951184.32,348133461.1
1065,1,65,2016,383012.161,140182450.9
1067,1,67,2016,616110.72,225496523.5
1069,1,69,2016,2667282.72,976225475.5
1071,1,71,2016,1470325.36,538139081.8
1073,1,73,2016,19940143.82,7298092638
1075,1,75,2016,293472.25,107410843.5
1077,1,77,2016,1784558.69,653148480.5
1079,1,79,2016,1010456.5,369827079
1081,1,81,2016,3659418.83,1339347292
1083,1,83,2016,3057097.44,1118897663
1085,1,85,2016,980422.05,358834470.3
1087,1,87,2016,1520229.26,556403909.2
1089,1,89,2016,8978898.66,3286276910
1091,1,91,2016,682349.33,249739854.8
1093,1,93,2016,1127817.92,412781358.7
1095,1,95,2016,1940195.625,710111598.8
1097,1,97,2016,10588560.53,3875413155
1099,1,99,2016,501931.64,183706980.2
1101,1,101,2016,7057264.191,2582958694
1103,1,103,2016,3165069.33,1158415375
1105,1,105,2016,214967.21,78677998.86
1107,1,107,2016,515992.76,188853350.2
1109,1,109,2016,1084376.49,396881795.3
1111,1,111,2016,466347.37,170683137.4
1113,1,113,2016,1529460.51,559782546.7
1115,1,115,2016,3046006.006,1114838198
1117,1,117,2016,5304773.14,1941546969
1119,1,119,2016,953609.53,349021088
1121,1,121,2016,2488975.646,910965086.4
1123,1,123,2016,1123294.12,411125647.9
1125,1,125,2016,6004892.221,2197790553
1127,1,127,2016,1936955.82,708925830.1
1129,1,129,2016,577587.84,211397149.4
1131,1,131,2016,332816.24,121810743.8
1133,1,133,2016,461045.1,168742506.6
2013,2,13,2016,1149.813,420831.558
2016,2,16,2016,12888.568,4717215.888
2020,2,20,2016,4704013.712,1721669019
2050,2,50,2016,29953.288,10962903.41
2068,2,68,2016,154223.06,56445639.96
2070,2,70,2016,19080.284,6983383.944
2090,2,90,2016,1680550.732,615081567.9
2100,2,100,2016,18404.167,6735925.122
2105,2,105,2016,6423.797,2351109.702
2110,2,110,2016,456834.487,167201422.2
2122,2,122,2016,1437381.559,526081650.6
2130,2,130,2016,154502.706,56547990.4
2150,2,150,2016,114897.216,42052381.06
2170,2,170,2016,2012838.595,736698925.8
2180,2,180,2016,40940.341,14984164.81
2185,2,185,2016,51862.585,18981706.11
2188,2,188,2016,5286.413,1934827.158
2195,2,195,2016,22218.484,8131965.144
2198,2,198,2016,50570.947,18508966.6
2220,2,220,2016,68145.014,24941075.12
2230,2,230,2016,8316.789,3043944.774
2240,2,240,2016,227882.104,83404850.06
2261,2,261,2016,316776.748,115940289.8
2275,2,275,2016,9185.902,3362040.132
2282,2,282,2016,4111.939,1504969.674
2290,2,290,2016,146026.591,53445732.31
4001,4,1,2016,2455702.292,898787038.9
4003,4,3,2016,3391615.923,1241331428
4005,4,5,2016,6134265.793,2245141280
4007,4,7,2016,1525135.172,558199473
4009,4,9,2016,784136.359,286993907.4
4011,4,11,2016,168133.738,61536948.11
4012,4,12,2016,2211081.954,809255995.2
4013,4,13,2016,87939053.48,32185693573
4015,4,15,2016,6468546.078,2367487865
4017,4,17,2016,3539008.618,1295277154
4019,4,19,2016,21451213.19,7851144026
4021,4,21,2016,8103256.504,2965791880
4023,4,23,2016,1073005.799,392720122.4
4025,4,25,2016,7582480.792,2775187970
4027,4,27,2016,4019761.11,1471232566
5001,5,1,2016,498766.033,182548368.1
5003,5,3,2016,473627.151,173347537.3
5005,5,5,2016,803924.038,294236197.9
5007,5,7,2016,5615085.289,2055121216
5009,5,9,2016,942463.174,344941521.7
5011,5,11,2016,254857.859,93277976.39
5013,5,13,2016,275996.028,101014546.2
5015,5,15,2016,623532.953,228213060.8
5017,5,17,2016,395942.836,144915078
5019,5,19,2016,1190309.123,435653139
5021,5,21,2016,333118.772,121921470.6
5023,5,23,2016,579861.202,212229199.9
5025,5,25,2016,263403.506,96405683.2
5027,5,27,2016,550762.662,201579134.3
5029,5,29,2016,1107773.998,405445283.3
5031,5,31,2016,2514222.527,920205444.9
5033,5,33,2016,2020842.405,739628320.2
5035,5,35,2016,2255836.617,825636201.8
5037,5,37,2016,427958.79,156632917.1
5039,5,39,2016,250586.726,91714741.72
5041,5,41,2016,352800.396,129124944.9
5043,5,43,2016,598706.715,219126657.7
5045,5,45,2016,3123266.406,1143115505
5047,5,47,2016,707632.657,258993552.5
5049,5,49,2016,329192.064,120484295.4
5051,5,51,2016,2155028.903,788740578.5
5053,5,53,2016,552670.8,202277512.8
5055,5,55,2016,868282.15,317791266.9
5057,5,57,2016,1131074.626,413973313.1
5059,5,59,2016,1490304.721,545451527.9
5061,5,61,2016,284011.972,103948381.8
5063,5,63,2016,902244.557,330221507.9
5065,5,65,2016,220981.715,80879307.69
5067,5,67,2016,638782.952,233794560.4
