,ST,CTY,FULL_FIPS,YEAR,ESTAB_F,ESTAB,RCPTOT_F,RCPTOT
161,01,001,01001,2000,D,0,D,0
544,01,003,01003,2000,,49,,849000
1168,01,007,01007,2000,D,0,D,0
1464,01,009,01009,2000,D,0,D,0
1734,01,011,01011,2000,D,0,D,0
1986,01,013,01013,2000,D,0,D,0
2324,01,015,01015,2000,,25,,648000
2968,01,019,01019,2000,D,0,D,0
3280,01,021,01021,2000,D,0,D,0
3564,01,023,01023,2000,D,0,D,0
3839,01,025,01025,2000,D,0,D,0
4111,01,027,01027,2000,D,0,D,0
4358,01,029,01029,2000,D,0,D,0
4632,01,031,01031,2000,,11,,66000
4970,01,033,01033,2000,D,0,D,0
5261,01,035,01035,2000,D,0,D,0
5478,01,037,01037,2000,D,0,D,0
5751,01,039,01039,2000,,11,,230000
6344,01,043,01043,2000,,34,,438000
6690,01,045,01045,2000,,12,,229000
7014,01,047,01047,2000,D,0,D,0
7376,01,049,01049,2000,D,0,D,0
7742,01,051,01051,2000,D,0,D,0
8070,01,053,01053,2000,D,0,D,0
8432,01,055,01055,2000,D,0,D,0
8756,01,057,01057,2000,D,0,D,0
9054,01,059,01059,2000,,12,,72000
9359,01,061,01061,2000,D,0,D,0
10065,01,067,01067,2000,D,0,D,0
10387,01,069,01069,2000,,33,,770000
10768,01,071,01071,2000,,24,,394000
11177,01,073,01073,2000,,233,,5051000
11520,01,075,01075,2000,D,0,D,0
11835,01,077,01077,2000,D,0,D,0
12193,01,079,01079,2000,D,0,D,0
12519,01,081,01081,2000,,11,,86000
12882,01,083,01083,2000,,10,,225000
13148,01,085,01085,2000,D,0,D,0
13354,01,087,01087,2000,D,0,D,0
13700,01,089,01089,2000,,69,,1219000
14029,01,091,01091,2000,D,0,D,0
14333,01,093,01093,2000,D,0,D,0
14685,01,095,01095,2000,D,0,D,0
15117,01,097,01097,2000,,128,,2108000
15469,01,099,01099,2000,D,0,D,0
15830,01,101,01101,2000,D,0,D,0
16237,01,103,01103,2000,D,0,D,0
16756,01,107,01107,2000,D,0,D,0
17041,01,109,01109,2000,D,0,D,0
17327,01,111,01111,2000,D,0,D,0
17618,01,113,01113,2000,D,0,D,0
17961,01,115,01115,2000,D,0,D,0
18355,01,117,01117,2000,,45,,583000
18963,01,121,01121,2000,,26,,638000
19299,01,123,01123,2000,,15,,146000
19665,01,125,01125,2000,,26,,453000
20060,01,127,01127,2000,,19,,307000
20378,01,129,01129,2000,D,0,D,0
20851,01,133,01133,2000,D,0,D,0
21462,02,020,02020,2000,D,0,D,0
21750,02,050,02050,2000,D,0,D,0
22257,02,070,02070,2000,D,0,D,0
22555,02,090,02090,2000,,21,,432000
22839,02,100,02100,2000,D,0,D,0
23102,02,110,02110,2000,D,0,D,0
23483,02,122,02122,2000,,18,,359000
23791,02,130,02130,2000,D,0,D,0
24086,02,150,02150,2000,D,0,D,0
24272,02,164,02164,2000,D,0,D,0
24551,02,170,02170,2000,,25,,505000
24999,02,185,02185,2000,D,0,D,0
25319,02,201,02201,2000,D,0,D,0
25527,02,220,02220,2000,D,0,D,0
25743,02,232,02232,2000,D,0,D,0
25977,02,240,02240,2000,D,0,D,0
26227,02,261,02261,2000,D,0,D,0
26399,02,270,02270,2000,D,0,D,0
26765,02,282,02282,2000,D,0,D,0
26903,02,290,02290,2000,D,0,D,0
27184,04,001,04001,2000,,12,,258000
27562,04,003,04003,2000,,33,,312000
27951,04,005,04005,2000,D,0,D,0
28339,04,007,04007,2000,,19,,318000
28654,04,009,04009,2000,D,0,D,0
28905,04,011,04011,2000,D,0,D,0
29142,04,012,04012,2000,,10,,76000
29538,04,013,04013,2000,,1925,,35619000
29961,04,015,04015,2000,,76,,1100000
30359,04,017,04017,2000,,52,,860000
30792,04,019,04019,2000,,398,,5834000
31208,04,021,04021,2000,,83,,1114000
31584,04,023,04023,2000,,12,,239000
31978,04,025,04025,2000,,105,,2091000
32380,04,027,04027,2000,D,0,D,0
32715,05,001,05001,2000,,10,,66000
33330,05,005,05005,2000,,11,,136000
33716,05,007,05007,2000,D,0,D,0
34085,05,009,05009,2000,,19,,223000
34382,05,011,05011,2000,D,0,D,0
34834,05,015,05015,2000,D,0,D,0
35109,05,017,05017,2000,D,0,D,0
35366,05,019,05019,2000,D,0,D,0
35645,05,021,05021,2000,D,0,D,0
35943,05,023,05023,2000,D,0,D,0
36198,05,025,05025,2000,D,0,D,0
36456,05,027,05027,2000,D,0,D,0
36760,05,029,05029,2000,,12,,143000
37090,05,031,05031,2000,,28,,349000
