,STATE_CODE,YEAR,NAICS,ESTAB_F,ESTAB,RCPTOT_F,RCPTOT,RCPTOT_N_F,LFO
261,01,2000,492,,1130,,19162000,,
716,02,2000,492,D,0,D,0,,
1180,04,2000,492,,2790,,49580000,,
1646,05,2000,492,,832,,12886000,,
2113,06,2000,492,,13581,,264257000,,
2580,08,2000,492,,2202,,34104000,,
3045,09,2000,492,,1994,,39773000,,
3493,10,2000,492,,239,,5058000,,
3923,11,2000,492,,378,,5699000,,
4389,12,2000,492,,12555,,211287000,,
4853,13,2000,492,,3647,,76862000,,
5310,15,2000,492,,172,,4029000,,
5765,16,2000,492,,438,,6022000,,
6232,17,2000,492,,5969,,110077000,,
6699,18,2000,492,,3141,,51465000,,
7155,19,2000,492,,1018,,14100000,,
7617,20,2000,492,,903,,14526000,,
8084,21,2000,492,,1622,,29504000,,
8549,22,2000,492,,1292,,22264000,,
9007,23,2000,492,,515,,8263000,,
9473,24,2000,492,,4399,,90455000,,
9937,25,2000,492,,3731,,76039000,,
10404,26,2000,492,,3065,,52320000,,
10871,27,2000,492,,3606,,65112000,,
11337,28,2000,492,,689,,12676000,,
11804,29,2000,492,,3182,,65601000,,
12266,30,2000,492,D,0,D,0,,
12731,31,2000,492,,814,,12216000,,
13197,32,2000,492,,704,,11456000,,
13650,33,2000,492,,518,,9669000,,
14114,34,2000,492,,5012,,112283000,,
14580,35,2000,492,,374,,6213000,,
15047,36,2000,492,,11228,,245791000,,
15514,37,2000,492,,2637,,50486000,,
15970,38,2000,492,D,0,D,0,,
16435,39,2000,492,,6192,,114034000,,
16902,40,2000,492,,1055,,20792000,,
17369,41,2000,492,,1065,,17610000,,
17836,42,2000,492,,4590,,88590000,,
18286,44,2000,492,D,0,D,0,,
18745,45,2000,492,,1009,,16449000,,
19201,46,2000,492,,271,,4014000,,
19664,47,2000,492,,2296,,43961000,,
20131,48,2000,492,,11208,,230965000,,
20597,49,2000,492,,597,,12282000,,
21049,50,2000,492,D,0,D,0,,
21514,51,2000,492,,3508,,65898000,,
21978,53,2000,492,,1673,,24838000,,
22441,54,2000,492,,622,,9135000,,
22903,55,2000,492,,1617,,26527000,,
23364,56,2000,492,D,0,D,0,,
261,01,2001,492,,1183,,20224000,,
717,02,2001,492,D,0,D,0,,
1182,04,2001,492,,2768,,51110000,,
1648,05,2001,492,,868,,16068000,,
2115,06,2001,492,,14147,,286733000,,
2581,08,2001,492,,2293,,39038000,,
3040,09,2001,492,,2068,,40474000,,
3488,10,2001,492,,261,,6009000,,
3917,11,2001,492,,385,,6361000,,
