GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "02000","Alaska",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",40958700,42979048,42355306,44055010,45657067,49190165,51720973,51252097,56215136,54601512,55280318,58283630,55354302,54188237,54740850,54246627,54278667,53326985,53433791,50705178,50869390
 "02000","Alaska",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",70.275,73.741,72.671,75.587,78.336,84.398,88.740,87.936,96.451,93.682,94.847,100.000,94.974,92.973,93.921,93.074,93.128,91.496,91.679,86.997,87.279
 "02000","Alaska",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",28494061,29756850,32037922,35302447,40356604,45094111,49583742,55122478,49957770,53331622,56896350,58283630,57247714,56484937,51490883,50727653,53301510,54899608,54728232,50475190,57349378
 "02013","Aleutians East Borough, AK",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",184075,140035,164578,202213,195631,190463,207402,219869,217522,133768,123780,121554,136629,135618,197359,214427,225648,196027,204322,185383,196383
 "02013","Aleutians East Borough, AK",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",151.434,115.204,135.395,166.356,160.941,156.689,170.625,180.881,178.950,110.048,101.831,100.000,112.401,111.570,162.363,176.404,185.635,161.267,168.091,152.511,161.560
 "02013","Aleutians East Borough, AK",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",132714,105460,125247,156910,159621,159428,178024,195497,208973,129394,118016,121554,139795,143856,218567,245124,253278,217045,232217,220610,233494
 "02016","Aleutians West Census Area, AK",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",295845,299802,353347,372753,467781,415723,394439,359928,334994,316035,346086,362491,377993,383341,383818,394695,385812,372246,366189,365220,355398
 "02016","Aleutians West Census Area, AK",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",81.614,82.706,97.477,102.831,129.046,114.685,108.814,99.293,92.414,87.184,95.474,100.000,104.277,105.752,105.883,108.884,106.433,102.691,101.020,100.753,98.043
 "02016","Aleutians West Census Area, AK",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",226174,238469,284485,303394,394670,359935,348011,328866,322970,310481,336631,362491,384944,403860,422657,441268,436969,426608,432106,428703,444798
 "02020","Anchorage Municipality, AK",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",16387147,16581666,16918879,17309769,18001772,18118760,18401120,19197658,20084613,20772956,21069593,21046969,20447024,20431850,21414472,21484194,21119274,21282912,21137635,20186405,20410885
