GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "05000","Arkansas",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",89789042,92950465,96944478,101733599,105979954,108460550,107606076,106536501,102996613,105662030,107932548,108492083,110752406,111734533,112350970,112798120,113850246,115885234,117126184,117268163,123347316
 "05000","Arkansas",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",82.761,85.675,89.356,93.771,97.685,99.971,99.183,98.197,94.935,97.391,99.484,100.000,102.083,102.989,103.557,103.969,104.939,106.814,107.958,108.089,113.692
 "05000","Arkansas",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",70616704,74113917,78695083,85199618,90887740,95875115,98381637,99706792,97508148,101486535,105768088,108492083,113227341,116139444,117786782,119152389,122466721,127535660,131578279,133969089,148676113
 "05001","Arkansas, AR",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",720546,760498,836814,881251,839047,877891,825971,857555,929894,903409,896295,902291,991485,942168,967377,1001794,940606,971280,974042,1016959,1052969
 "05001","Arkansas, AR",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",79.857,84.285,92.743,97.668,92.991,97.296,91.541,95.042,103.059,100.124,99.335,100.000,109.885,104.419,107.213,111.028,104.246,107.646,107.952,112.708,116.699
 "05001","Arkansas, AR",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",563225,604662,676970,733935,705207,749512,737720,782266,852332,846706,863978,902291,1017703,975722,1011488,1043812,993948,1034287,1066438,1141870,1248957
 "05003","Ashley, AR",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",778763,800095,773168,791548,835457,908398,899744,889009,839784,861797,898014,859936,847795,806306,768127,777666,692088,681181,681384,646149,638769
 "05003","Ashley, AR",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",90.561,93.041,89.910,92.047,97.153,105.636,104.629,103.381,97.657,100.216,104.428,100.000,98.588,93.764,89.324,90.433,80.481,79.213,79.237,75.139,74.281
 "05003","Ashley, AR",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",621870,639494,622516,657327,699112,781854,800952,808336,803242,840563,880237,859936,886325,860702,840508,856730,785239,790334,802834,764548,821835
 "05005","Baxter, AR",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",979393,1008238,1004353,1022827,1094730,1140782,1153591,1184285,1088022,1124397,1142651,1091372,1110937,1153267,1148635,1166983,1269211,1295133,1299372,1288693,1364252
 "05005","Baxter, AR",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",89.740,92.383,92.027,93.719,100.308,104.527,105.701,108.513,99.693,103.026,104.699,100.000,101.793,105.671,105.247,106.928,116.295,118.670,119.059,118.080,125.003
 "05005","Baxter, AR",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",783907,823530,834329,866566,948391,1016651,1059215,1102110,1042627,1082783,1111035,1091372,1133470,1197993,1224132,1266323,1394156,1449885,1494579,1520449,1647490
 "05007","Benton, AR",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",6742365,7443128,7859797,8473456,9161349,9389886,9385348,9302164,8949510,9455393,9802254,10281522,10983054,11582241,12199019,12331775,13141719,13627346,14119284,14751414,16062651
 "05007","Benton, AR",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",65.578,72.393,76.446,82.414,89.105,91.328,91.284,90.475,87.045,91.965,95.339,100.000,106.823,112.651,118.650,119.941,127.819,132.542,137.327,143.475,156.228
 "05007","Benton, AR",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",5182214,5817658,6229333,6983724,7767696,8247227,8523069,8649107,8628563,9132323,9553987,10281522,11184748,11890692,12787110,13048246,14033148,14762975,15600417,16488437,18538651
 "05009","Boone, AR",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1017403,1055264,1037448,1089822,1140247,1185656,1166164,1164806,1080765,1132024,1144700,1123407,1101563,1128570,1093033,1131645,1171049,1176790,1166481,1170452,1217234
 "05009","Boone, AR",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",90.564,93.934,92.348,97.010,101.499,105.541,103.806,103.685,96.204,100.767,101.895,100.000,98.056,100.460,97.296,100.733,104.241,104.752,103.834,104.188,108.352
 "05009","Boone, AR",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",806766,848017,849718,928886,993260,1070588,1085346,1105863,1031250,1091297,1122459,1123407,1124749,1179141,1165629,1219636,1288751,1338492,1348961,1370242,1539051
