GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "04000","Arizona",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",213166188,220696674,234065873,244317323,262325950,274179439,283250740,280810073,257498454,260307115,266101521,271440034,273481866,276948931,282576987,291275204,303606061,314827462,325395289,327178028,347656001
 "04000","Arizona",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",78.532,81.306,86.231,90.008,96.642,101.009,104.351,103.452,94.864,95.899,98.033,100.000,100.752,102.030,104.103,107.307,111.850,115.984,119.877,120.534,128.078
 "04000","Arizona",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",171909621,180522314,193634894,206541070,227915919,245956952,261391980,262926047,246424330,251153035,260915729,271440034,278591604,287666630,299393263,313081381,332001755,351879482,372393504,382072265,420026672
 "04001","Apache, AZ",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1991108,1932663,1994086,1962899,2000348,2095628,2115167,2380841,2400707,2640317,2722509,2595354,2580422,2351123,2312790,2338314,2342785,2380702,2134116,2150183,2166490
 "04001","Apache, AZ",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",76.718,74.466,76.833,75.631,77.074,80.745,81.498,91.735,92.500,101.732,104.899,100.000,99.425,90.590,89.113,90.096,90.268,91.729,82.228,82.847,83.476
 "04001","Apache, AZ",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1498436,1475433,1575664,1599363,1694003,1860741,1933894,2230222,2348298,2591078,2711434,2595354,2655471,2516042,2500579,2516087,2572772,2686383,2473905,2537509,2720216
 "04003","Cochise, AZ",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",3382184,3421990,3663492,3788897,3981115,4050303,4318732,4411343,4422389,4579776,4611396,4429315,4287516,4147943,4223038,4287830,4224501,4256763,4309976,4519163,4488149
 "04003","Cochise, AZ",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",76.359,77.258,82.710,85.541,89.881,91.443,97.503,99.594,99.844,103.397,104.111,100.000,96.799,93.648,95.343,96.806,95.376,96.104,97.306,102.028,101.328
 "04003","Cochise, AZ",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2583520,2683847,2964124,3157336,3422724,3611237,3972767,4137227,4244811,4443445,4545185,4429315,4364219,4310996,4473708,4585504,4584017,4732027,4890752,5256425,5399087
 "04005","Coconino, AZ",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",4907688,4986423,5050734,5266064,5518909,5707732,6224412,6113771,5803360,6124241,6540368,6303405,6541366,6416167,6509245,6528220,7151723,7094440,6937843,6540762,6855346
 "04005","Coconino, AZ",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",77.858,79.107,80.127,83.543,87.554,90.550,98.747,96.992,92.067,97.158,103.759,100.000,103.775,101.789,103.266,103.567,113.458,112.549,110.065,103.766,108.756
 "04005","Coconino, AZ",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",3781120,3901362,4057816,4345026,4718129,5079699,5722122,5723614,5645816,5971070,6445661,6303405,6702733,6759578,7030822,7136884,7940675,8044079,8080994,7811505,8444850
 "04007","Gila, AZ",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1466599,1471916,1502879,1545671,1627381,1784506,2010863,1988726,1986265,2096738,2257401,1895612,2050459,1906484,1721379,1597812,1695155,1721087,1695165,1761052,1879863
 "04007","Gila, AZ",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",77.368,77.649,79.282,81.539,85.850,94.139,106.080,104.912,104.782,110.610,119.086,100.000,108.169,100.574,90.809,84.290,89.425,90.793,89.426,92.901,99.169
 "04007","Gila, AZ",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",960573,993612,1039322,1133870,1272290,1495208,1764066,1824181,1826462,2013000,2271135,1895612,1995140,1867455,1653004,1530383,1704627,1796025,1785699,1858810,2147803
 "04009","Graham, AZ",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",543831,571438,606599,613623,656423,708502,841636,765761,698974,750057,807301,865458,711709,736869,715397,791203,870757,903027,940198,1041227,1206104
 "04009","Graham, AZ",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",62.837,66.027,70.090,70.902,75.847,81.864,97.248,88.480,80.764,86.666,93.280,100.000,82.235,85.142,82.661,91.420,100.612,104.341,108.636,120.309,139.360
 "04009","Graham, AZ",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",395789,426521,465404,490855,532753,594492,743882,699800,652848,712189,789249,865458,728335,769949,767140,859064,984247,1053712,1114362,1255689,1546301
 "04011","Greenlee, AZ",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1205430,1108471,1216406,1349631,1710870,1972205,1996236,2141187,1493460,1592549,1709021,1520807,1622245,1833144,1484704,1334767,1632669,1567892,1531228,1657239,2110512
 "04011","Greenlee, AZ",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",79.263,72.887,79.984,88.744,112.497,129.681,131.262,140.793,98.202,104.717,112.376,100.000,106.670,120.538,97.626,87.767,107.355,103.096,100.685,108.971,138.776
 "04011","Greenlee, AZ",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",423595,409185,469086,603359,938174,1258570,1388590,1695421,1258886,1472866,1731038,1520807,1502220,1654654,1254180,1109596,1494707,1499069,1465298,1578748,2172860
