GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "06000","California",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1692324096,1722522394,1789998529,1850904494,1926842091,2002437419,2041192189,2061638773,1995439659,2036015045,2063827510,2113096440,2179228960,2256054739,2357452911,2427894598,2538204041,2644061178,2729225812,2667220931,2874730813
 "06000","California",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",80.087,81.517,84.710,87.592,91.186,94.763,96.597,97.565,94.432,96.352,97.668,100.000,103.130,106.765,111.564,114.897,120.118,125.127,129.158,126.223,136.044
 "06000","California",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1375761291,1418429562,1497918657,1588177383,1698560406,1812209985,1898902003,1944695344,1890165874,1954092678,2023500032,2113096440,2220389868,2335286492,2473555865,2569634021,2728743053,2897200661,3042694071,3020173358,3373240664
 "06001","Alameda, CA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",81799434,82586379,85770014,86759897,88531458,91123342,92343105,92642910,88331445,91371069,93209610,95749481,98669945,102333785,109421599,112943702,118974478,123724768,125985355,122539116,130465391
 "06001","Alameda, CA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",85.431,86.253,89.578,90.611,92.462,95.168,96.442,96.756,92.253,95.427,97.347,100.000,103.050,106.877,114.279,117.958,124.256,129.217,131.578,127.979,136.257
 "06001","Alameda, CA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",67417419,69148785,72558587,74962982,78323178,82698824,85877056,87239620,85090729,88407850,91283763,95749481,100521444,105936777,115791781,121053460,128977406,136322853,141817737,140614132,152982207
 "06003","Alpine, CA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",77007,79634,81083,78131,79197,80164,87598,84430,81534,85967,96195,95294,91773,98299,100790,99622,102569,103668,117056,95453,94933
 "06003","Alpine, CA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",80.809,83.567,85.086,81.989,83.108,84.123,91.924,88.600,85.560,90.212,100.945,100.000,96.305,103.153,105.767,104.542,107.633,108.787,122.836,100.167,99.621
 "06003","Alpine, CA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",58668,62172,64541,63844,67562,71016,80894,79975,78545,82770,93872,95294,93927,102705,108503,109263,114285,118452,137147,114734,116410
 "06005","Amador, CA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1256091,1448926,1586696,1636165,1615188,1595595,1561085,1538746,1485666,1460247,1441492,1365613,1406048,1419857,1445500,1489618,1570456,1589216,1626507,1581043,1612883
