GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "08000","Colorado",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",234979399,235417320,237782339,240747623,251558436,257430160,266887455,270981399,264966258,267858879,271700641,276823143,286259075,298655252,312409667,318953352,329913262,342733182,358438482,353345183,373763332
 "08000","Colorado",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",84.884,85.042,85.897,86.968,90.873,92.994,96.411,97.890,95.717,96.762,98.150,100.000,103.409,107.887,112.855,115.219,119.178,123.809,129.483,127.643,135.019
 "08000","Colorado",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",186695847,190019026,196126466,204167170,220783734,232646742,248446527,258871699,251227663,258300244,267516056,276823143,292140470,309542568,320721054,329911743,349156537,372212054,394534731,391263272,436359473
 "08001","Adams, CO*",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",14268820,14584573,15088930,15738976,16220770,16667063,17170059,19261437,18566607,18553044,18580702,18767510,19500317,21116345,21933789,22858520,23753188,24704265,25786729,25890313,27509311
 "08001","Adams, CO*",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",76.029,77.712,80.399,83.863,86.430,88.808,91.488,102.632,98.930,98.857,99.005,100.000,103.905,112.515,116.871,121.798,126.565,131.633,137.401,137.953,146.579
 "08001","Adams, CO*",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",10852573,11262206,11863975,12749290,13752168,14675019,15513362,17609064,17171135,17466284,18092200,18767510,19814266,21824898,23052775,24040282,25589552,27472800,29272882,29720285,33769461
 "08003","Alamosa, CO",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",531784,644640,525877,545063,569784,570779,561722,584224,598149,573380,589492,566340,569312,580904,625659,613919,614992,639302,643739,618666,646072
 "08003","Alamosa, CO",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",93.898,113.826,92.855,96.243,100.608,100.784,99.184,103.158,105.617,101.243,104.088,100.000,100.525,102.572,110.474,108.401,108.591,112.883,113.667,109.239,114.078
 "08003","Alamosa, CO",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",400609,490141,413586,444478,474695,490451,510603,542841,555043,543779,576210,566340,583589,605491,659036,650480,663830,706471,727182,717393,794161
 "08005","Arapahoe, CO",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",34652710,34194555,33790398,32730652,33397520,34500424,35083369,33120410,31727553,32868521,34198349,34975321,37168965,38877176,40410367,41262441,42018823,43870713,44431647,43812838,45899101
 "08005","Arapahoe, CO",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",99.078,97.768,96.612,93.582,95.489,98.642,100.309,94.697,90.714,93.976,97.779,100.000,106.272,111.156,115.540,117.976,120.138,125.433,127.037,125.268,131.233
 "08005","Arapahoe, CO",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",28508726,28531651,28635211,28377997,29601466,31403152,32719552,31278541,30394826,31759539,33441948,34975321,37753987,40077982,42294516,43820504,45270546,48252539,49904684,50121944,53961953
 "08007","Archuleta, CO",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",364892,374689,372599,355862,387844,403212,409509,423962,432584,433938,440376,449065,435225,461273,481160,499013,493925,505532,516880,510759,525978
 "08007","Archuleta, CO",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",81.256,83.438,82.972,79.245,86.367,89.789,91.191,94.410,96.330,96.631,98.065,100.000,96.918,102.718,107.147,111.123,109.990,112.574,115.101,113.738,117.127
 "08007","Archuleta, CO",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",280261,295770,302111,299815,341468,368829,387711,415965,409644,420895,436209,449065,447142,481792,485093,508109,520851,551835,569603,563795,631103
 "08009","Baca, CO",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",181068,126005,178692,169437,188472,138104,166627,158326,245269,201713,183282,114630,159167,124872,100620,94168,164370,127599,127590,149419,166520
 "08009","Baca, CO",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",157.959,109.923,155.885,147.812,164.418,120.478,145.361,138.119,213.966,175.968,159.890,100.000,138.853,108.935,87.778,82.149,143.392,111.314,111.306,130.349,145.267
 "08009","Baca, CO",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",124450,85312,129871,135915,144013,105853,144369,141989,189525,170968,179898,114630,164332,126663,99150,93741,170011,133197,134925,159908,201745
 "08011","Bent, CO",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",156982,127497,149648,147924,146097,140499,148678,158250,169977,161131,189504,164401,173691,159551,155479,151203,136776,136360,131992,138653,131862
 "08011","Bent, CO",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",95.487,77.553,91.026,89.977,88.866,85.461,90.436,96.258,103.391,98.011,115.269,100.000,105.651,97.050,94.573,91.972,83.197,82.944,80.286,84.338,80.208
 "08011","Bent, CO",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",113291,92856,114720,122453,117080,113623,134136,145641,147689,146412,186459,164401,178152,161823,153352,146264,135673,137215,134936,143994,153562
 "08013","Boulder, CO*",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",18076532,16864232,17119892,17608890,17995277,18492771,19667979,20593306,20212834,20673368,20817116,20898736,21534323,22180386,23061774,23746927,25116663,25875121,27671842,27024647,29154660
 "08013","Boulder, CO*",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",86.496,80.695,81.918,84.258,86.107,88.488,94.111,98.539,96.718,98.922,99.609,100.000,103.041,106.133,110.350,113.629,120.183,123.812,132.409,129.312,139.504
 "08013","Boulder, CO*",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",16055560,15130602,15369784,15920482,16507952,17226803,18582385,19644166,19660108,20102522,20460572,20898736,21897977,22843756,24123058,25053753,26750786,27907249,30381525,30218937,33182418
 "08014","Broomfield, CO*",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",(NA),2999184,3338527,3605821,3891365,4152156,4616586,4684937,5214178,6052594,6618398,7249095,6821357,6255940,6496076,6465869,6918971,6546475,6975473,7271956,7526018
 "08014","Broomfield, CO*",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",(NA),41.373,46.054,49.742,53.681,57.278,63.685,64.628,71.929,83.494,91.300,100.000,94.099,86.300,89.612,89.196,95.446,90.307,96.225,100.315,103.820
 "08014","Broomfield, CO*",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",(NA),2420816,2753667,3057934,3415311,3752418,4297597,4475575,4943821,5836605,6516465,7249095,6961507,6483997,6668899,6688019,7322543,7109545,7677932,8052322,8786441
 "08015","Chaffee, CO",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",494468,510181,505031,492465,501096,522541,531277,562012,559959,561762,571303,563313,574976,587342,610504,654495,681205,714029,747430,749360,801618
 "08015","Chaffee, CO",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",87.779,90.568,89.654,87.423,88.955,92.762,94.313,99.769,99.405,99.725,101.418,100.000,102.071,104.266,108.378,116.187,120.928,126.755,132.685,133.027,142.304
 "08015","Chaffee, CO",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",374910,397050,402473,404503,426024,461681,487395,526092,535573,541128,557946,563313,589265,616316,657812,718560,762077,818496,880572,910220,1013481
 "08017","Cheyenne, CO",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",189593,156728,210928,197351,210140,192276,210658,185853,258581,261090,230890,198968,235503,206807,172077,176860,184234,179695,190615,214112,337847
 "08017","Cheyenne, CO",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",95.288,78.770,106.011,99.187,105.615,96.637,105.875,93.408,129.961,131.222,116.044,100.000,118.362,103.940,86.485,88.889,92.594,90.313,95.802,107.611,169.799
 "08017","Cheyenne, CO",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",109933,85211,138811,147697,180703,168582,199575,208104,199508,237976,244188,198968,247265,210879,125429,122339,144023,154370,153185,156068,313774
 "08019","Clear Creek, CO",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",452629,484294,531793,533212,687484,606556,656786,665771,661905,650162,647028,570821,637062,619529,636827,516049,522959,465401,533727,503296,540964
 "08019","Clear Creek, CO",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",79.294,84.842,93.163,93.411,120.438,106.260,115.060,116.634,115.957,113.899,113.350,100.000,111.605,108.533,111.563,90.405,91.615,81.532,93.502,88.171,94.769
 "08019","Clear Creek, CO",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",239712,265227,299194,320965,461965,449044,517414,567505,591461,612453,643760,570821,620192,599749,605122,494518,523406,478379,558645,536992,598490
 "08021","Conejos, CO",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",136195,134314,147415,145069,144114,132848,124349,138609,166081,133379,153448,142918,156704,163187,187454,182134,195190,205040,198557,208661,196159
