GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "09000","Connecticut",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",218135261,216677688,219185995,233426494,238549538,248233846,257953029,257755981,244894746,244354749,238542385,240911922,236050641,235780926,242706532,243286679,247035886,249074784,251568222,235234916,246555860
 "09000","Connecticut",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",90.546,89.941,90.982,96.893,99.019,103.039,107.074,106.992,101.653,101.429,99.016,100.000,97.982,97.870,100.745,100.986,102.542,103.388,104.423,97.644,102.343
 "09000","Connecticut",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",171216593,173248290,178702182,195354861,205214649,219768422,234540681,238936806,233290700,234699997,233158748,240911922,241517441,246596970,259487788,263670293,271443219,279922965,288536341,276223270,298395175
 "09001","Fairfield, CT",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",76534461,76660731,76222458,80391775,82967936,86202047,89983436,91868849,86819192,85095638,80039362,82579135,80027150,79634547,80577928,80077784,80537177,81862266,82355020,75388851,79181882
 "09001","Fairfield, CT",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",92.680,92.833,92.302,97.351,100.471,104.387,108.966,111.249,105.135,103.047,96.924,100.000,96.910,96.434,97.577,96.971,97.527,99.132,99.729,91.293,95.886
 "09001","Fairfield, CT",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",59020998,60109070,60788099,66009206,70151313,75123283,80879757,84381023,81379465,80692429,77829630,82579135,82181585,84059722,87061057,87847533,90077698,93924953,96488602,90382663,98751750
 "09003","Hartford, CT",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",60782562,57637026,59185636,64013314,65220115,68621694,72802815,72448827,71418839,72745511,72327572,72202613,69494402,71099210,76076661,76667322,78625384,78259308,78828847,73240695,76805736
 "09003","Hartford, CT",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",84.183,79.827,81.972,88.658,90.329,95.040,100.831,100.341,98.914,100.752,100.173,100.000,96.249,98.472,105.366,106.184,108.895,108.388,109.177,101.438,106.375
 "09003","Hartford, CT",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",48427878,46838946,49153487,54577066,57055374,61579821,66893753,67377267,68483727,70302499,70842002,72202613,70921064,73858291,80581799,82182622,84776926,86212003,88220399,84115480,89505307
 "09005","Litchfield, CT",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",7888930,7940253,7962951,7865498,7825351,7959108,7716571,7989164,7593614,7918344,7993491,7932994,7809615,7620108,7541103,7438931,7494627,7364556,7592068,7245828,7602452
 "09005","Litchfield, CT",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",99.445,100.091,100.378,99.149,98.643,100.329,97.272,100.708,95.722,99.815,100.763,100.000,98.445,96.056,95.060,93.772,94.474,92.835,95.702,91.338,95.833
 "09005","Litchfield, CT",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",6113096,6273018,6402275,6517310,6689810,7033133,7054819,7443598,7289160,7622714,7802880,7932994,7987392,7947251,8079643,8117631,8298376,8329839,8828350,8652579,9357182
 "09007","Middlesex, CT",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",9076512,8770479,9084162,9763936,9811021,10286652,10810658,10259886,9668298,8457361,8476755,8758693,8630476,8617979,8754802,8576127,8700489,8745575,8893489,8246724,8746136
