GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "12000","Florida",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",660659487,689974003,722374499,769140539,815755752,839963780,850048620,816070211,769061120,775039456,772021285,778545046,794842148,817233544,852242411,881539238,912687386,941626696,965672478,950164387,1029575591
 "12000","Florida",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",84.858,88.624,92.785,98.792,104.780,107.889,109.184,104.820,98.782,99.550,99.162,100.000,102.093,104.969,109.466,113.229,117.230,120.947,124.036,122.044,132.244
 "12000","Florida",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",519058576,553010296,590483126,646630648,705851862,750523840,782712527,763341527,735420982,746928885,755239987,778545046,811751652,851692388,908519892,953352536,1003144009,1057255398,1111392235,1116726776,1255558339
 "12001","Alachua, FL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",9187851,9490949,9573926,10430933,10671301,10918188,11517893,11398535,11073686,10934650,10764122,10703703,10796438,11045103,11236022,11440644,11879414,12277166,12553649,12770647,13560730
 "12001","Alachua, FL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",85.838,88.670,89.445,97.452,99.697,102.004,107.607,106.492,103.457,102.158,100.564,100.000,100.866,103.190,104.973,106.885,110.984,114.700,117.283,119.311,126.692
 "12001","Alachua, FL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",6986866,7408364,7655856,8603123,9079245,9612104,10481121,10581283,10591499,10565234,10534146,10703703,11061281,11554979,12044919,12447064,13124339,13877942,14522406,15213798,16672138
 "12003","Baker, FL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",433043,450535,457358,478247,494570,497931,558549,560132,541376,512716,519514,527379,559261,555542,565437,600535,607609,594184,591888,619107,649941
 "12003","Baker, FL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",82.112,85.429,86.723,90.684,93.779,94.416,105.910,106.210,102.654,97.220,98.509,100.000,106.045,105.340,107.216,113.872,115.213,112.667,112.232,117.393,123.240
 "12003","Baker, FL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",329750,351568,365643,395025,420426,438340,510381,524113,520826,496125,509423,527379,571751,576452,598493,642816,662889,665170,678823,732127,810732
 "12005","Bay, FL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",5653724,6045675,6328302,6899592,7361916,7568644,7640023,7533899,7245038,7184672,6991787,6967431,7014045,7183446,7395975,7529526,7532301,7624825,7712710,7763534,8291985
