GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "13000","Georgia",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",394317270,399413443,411685601,428555219,447152891,453032104,455903992,445764595,428740674,433727210,441626723,447764702,454908929,470009747,489182330,506816176,523805314,538604558,557364424,537615760,575292153
 "13000","Georgia",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",88.064,89.202,91.942,95.710,99.863,101.176,101.818,99.553,95.751,96.865,98.629,100.000,101.596,104.968,109.250,113.188,116.982,120.287,124.477,120.067,128.481
 "13000","Georgia",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",317475484,327051336,342576211,364781981,389537665,406015627,419606264,416377628,409590799,418091287,431653903,447764702,464752840,490079254,521008157,547546654,573777162,602366373,637992469,625425699,691626930
 "13001","Appling, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",986772,950407,1015215,1086318,1012400,1036351,1023432,1105686,1065581,1225992,1372356,1411807,1364416,1348599,1361114,1432677,1436070,1380255,1390178,1476101,1449607
 "13001","Appling, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",69.894,67.318,71.909,76.945,71.709,73.406,72.491,78.317,75.476,86.838,97.206,100.000,96.643,95.523,96.409,101.478,101.719,97.765,98.468,104.554,102.677
 "13001","Appling, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",812358,760518,848676,935015,902570,975743,975898,1052970,1101223,1242593,1396861,1411807,1411836,1479160,1495742,1528881,1568237,1543708,1596760,1697748,1907637
 "13003","Atkinson, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",148643,149579,161522,160513,172404,175919,158813,173669,169895,170935,167609,165106,176724,174869,202043,193147,208411,210061,219526,217418,214131
 "13003","Atkinson, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",90.029,90.595,97.829,97.218,104.420,106.549,96.189,105.186,102.901,103.531,101.516,100.000,107.037,105.913,122.372,116.984,126.229,127.228,132.961,131.684,129.693
 "13003","Atkinson, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",124743,124260,139017,148151,153798,155774,147431,161301,152439,158886,161950,165106,185369,188149,218044,208788,230826,238196,250343,256412,285076
 "13005","Bacon, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",270530,244786,257106,262877,275718,268915,269843,274934,278784,275935,289349,283909,305265,297973,304530,315889,328133,321234,338975,345025,321024
 "13005","Bacon, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",95.287,86.220,90.559,92.592,97.115,94.719,95.046,96.839,98.195,97.192,101.916,100.000,107.522,104.954,107.263,111.264,115.577,113.147,119.396,121.527,113.073
 "13005","Bacon, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",217455,199427,214535,226944,238065,235094,242727,250522,254591,258335,281976,283909,312933,310249,320263,334611,353384,352132,380271,393734,386985
 "13007","Baker, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",86777,95730,100633,84062,97236,98286,93812,92878,94169,94309,96997,98562,94500,73639,73017,80889,63745,65271,73629,70281,67027
 "13007","Baker, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",88.043,97.126,102.101,85.288,98.654,99.719,95.180,94.232,95.543,95.684,98.412,100.000,95.878,74.714,74.082,82.069,64.674,66.223,74.703,71.306,68.005
 "13007","Baker, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",59588,64821,72474,66239,71922,72022,80832,81045,73282,79037,94488,98562,97165,73451,69633,73959,60746,62722,71257,68774,74630
 "13009","Baldwin, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1361841,1457755,1471575,1426264,1432306,1439891,1375162,1370193,1322696,1257643,1252642,1248264,1205232,1221386,1209651,1203653,1181237,1174537,1236074,1177931,1245149
 "13009","Baldwin, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",109.099,116.783,117.890,114.260,114.744,115.352,110.166,109.768,105.963,100.751,100.351,100.000,96.553,97.847,96.907,96.426,94.630,94.094,99.023,94.366,99.750
 "13009","Baldwin, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1049683,1149936,1186914,1179921,1220309,1267699,1250281,1266848,1260645,1211045,1222137,1248264,1239954,1288735,1311788,1330867,1328929,1355535,1462734,1437226,1575236
 "13011","Banks, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",284654,283630,289211,319962,338426,311099,333348,340764,329565,317322,279306,334974,365765,413688,419258,371112,398708,415597,398048,355935,407681
 "13011","Banks, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",84.978,84.672,86.338,95.518,101.030,92.872,99.515,101.728,98.385,94.730,83.381,100.000,109.192,123.498,125.161,110.788,119.026,124.068,118.829,106.257,121.705
 "13011","Banks, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",226230,226119,236642,275584,288623,271965,306323,318592,305165,300394,272533,334974,375290,424256,425068,372326,411620,435060,426173,391636,473319
 "13013","Barrow, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1110549,1178536,1280989,1360718,1450461,1517824,1560270,1518846,1464015,1468693,1492567,1583761,1653577,1688282,1746686,1760271,1853001,1965164,2009161,2049388,2198748
 "13013","Barrow, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",70.121,74.414,80.883,85.917,91.583,95.837,98.517,95.901,92.439,92.735,94.242,100.000,104.408,106.600,110.287,111.145,117.000,124.082,126.860,129.400,138.831
 "13013","Barrow, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",856984,929422,1028247,1120655,1230038,1333229,1415513,1406695,1384210,1401724,1449398,1583761,1695172,1771011,1883193,1938449,2078759,2259121,2376257,2481968,2789253
 "13015","Bartow, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",3702601,3846197,3903383,4033160,4094419,4230734,4493725,4584209,4307923,4392864,4177012,3843504,3931639,4286069,4080998,4370006,4450475,4498411,4514254,4443774,4751466
 "13015","Bartow, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",96.334,100.070,101.558,104.934,106.528,110.075,116.917,119.272,112.083,114.293,108.677,100.000,102.293,111.515,106.179,113.698,115.792,117.039,117.452,115.618,123.623
 "13015","Bartow, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2982970,3108976,3212008,3387881,3544702,3810858,4128088,4269852,4202180,4272496,4124689,3843504,4019531,4529867,4409870,4745880,4903905,5070087,5226185,5207467,5872590
 "13017","Ben Hill, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",644053,633805,611420,635223,632134,617927,563861,505325,458798,472519,480944,471391,469955,463752,459443,461387,458661,460670,463542,467663,468279
 "13017","Ben Hill, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",136.628,134.454,129.705,134.755,134.100,131.086,119.616,107.199,97.329,100.239,102.026,100.000,99.695,98.379,97.465,97.878,97.299,97.726,98.335,99.209,99.340
 "13017","Ben Hill, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",536578,532030,518064,546377,551135,544156,506700,459717,428288,448717,464751,471391,486789,495872,504073,516786,523716,539121,552637,573867,618613
 "13019","Berrien, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",379518,464494,592803,643891,702949,716534,621298,636275,591782,599597,497449,423365,392503,358965,341259,341489,346177,346184,374022,329821,340390
 "13019","Berrien, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",89.643,109.715,140.022,152.089,166.039,169.247,146.752,150.290,139.781,141.626,117.499,100.000,92.710,84.789,80.606,80.661,81.768,81.770,88.345,77.905,80.401
 "13019","Berrien, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",299144,371222,482222,528780,581891,607945,550137,573782,547574,563353,486093,423365,402176,375844,365998,371906,385048,392879,434178,391399,418634
 "13021","Bibb, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",8091324,8043729,7749816,7781498,7751048,7652518,7375102,7408104,7105019,6984790,7020170,7166548,7115639,7276603,7497692,7345408,7489141,7635575,7542771,7260375,7611295
 "13021","Bibb, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",112.904,112.240,108.139,108.581,108.156,106.781,102.910,103.371,99.141,97.464,97.957,100.000,99.290,101.536,104.621,102.496,104.501,106.545,105.250,101.309,106.206
 "13021","Bibb, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",6344521,6470004,6338247,6503813,6661123,6793596,6743341,6878675,6754405,6732664,6860281,7166548,7284239,7588171,7996204,7967873,8234996,8580836,8648408,8532007,9204709
 "13023","Bleckley, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",301883,335413,364111,365239,319132,321696,332176,280318,267560,268982,260926,274775,265575,223259,222933,215078,216835,212358,218063,214195,212897
 "13023","Bleckley, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",109.866,122.068,132.513,132.923,116.143,117.076,120.890,102.017,97.374,97.892,94.960,100.000,96.652,81.252,81.133,78.274,78.914,77.284,79.361,77.953,77.480
 "13023","Bleckley, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",239843,268501,292947,298246,266559,277858,301693,259678,252193,257253,253300,274775,272626,233676,239364,234793,241988,243329,255470,257031,270342
 "13025","Brantley, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",191570,197844,194791,199914,208373,204667,196607,179361,184743,184272,192912,191859,195981,205234,215442,216307,218111,224222,223269,231744,232113
 "13025","Brantley, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",99.849,103.119,101.528,104.199,108.607,106.676,102.475,93.486,96.291,96.046,100.549,100.000,102.149,106.971,112.292,112.743,113.683,116.868,116.371,120.789,120.981
 "13025","Brantley, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",148224,155509,157139,168125,181626,185127,183120,169317,177202,178420,188512,191859,202260,218349,234561,239591,246306,260924,267110,283914,300269
 "13027","Brooks, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",279565,280658,292350,271502,293425,296755,295378,317072,326569,294901,311849,263266,267161,271588,287322,305209,302820,296756,371596,452124,462472
 "13027","Brooks, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",106.191,106.606,111.047,103.128,111.455,112.721,112.197,120.438,124.045,112.016,118.454,100.000,101.479,103.161,109.137,115.932,115.024,112.721,141.148,171.736,175.667
 "13027","Brooks, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",219895,221925,240166,235647,250632,255085,270466,292853,288522,270644,303522,263266,276310,285708,302174,320414,328483,330232,425310,523183,592130
 "13029","Bryan, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",436359,436447,484803,500430,538890,578385,578127,551365,529971,566308,617807,645368,661362,713262,765015,815479,880574,907062,934029,952250,1049356
 "13029","Bryan, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",67.614,67.628,75.120,77.542,83.501,89.621,89.581,85.434,82.119,87.750,95.729,100.000,102.478,110.520,118.539,126.359,136.445,140.550,144.728,147.551,162.598
 "13029","Bryan, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",327924,336718,382956,409091,456684,510076,529751,514112,502360,542886,602199,645368,678445,748198,825644,898067,988562,1044937,1108654,1157705,1327077
 "13031","Bulloch, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1539874,1556733,1659469,1635206,1716349,1703379,1761058,1730442,1702193,1758579,1757428,1845571,1884878,1917261,1993639,2055326,2137909,2146759,2234447,2185782,2280420
 "13031","Bulloch, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",83.436,84.350,89.916,88.602,92.998,92.295,95.421,93.762,92.231,95.286,95.224,100.000,102.130,103.884,108.023,111.365,115.840,116.320,121.071,118.434,123.562
 "13031","Bulloch, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1192054,1229294,1342831,1368951,1473720,1509613,1620701,1616230,1611359,1688053,1714575,1845571,1937522,2019823,2162237,2276068,2410011,2479345,2644715,2661478,2873671
 "13033","Burke, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1253659,1122770,1236510,1315614,1228277,1260203,1220286,1292454,1401270,1524570,1747449,1909412,1948923,1892913,2018516,2285389,2480584,2503087,2770267,2879646,2736235
 "13033","Burke, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",65.657,58.802,64.759,68.902,64.328,66.000,63.909,67.689,73.388,79.845,91.518,100.000,102.069,99.136,105.714,119.691,129.914,131.092,145.085,150.813,143.303
 "13033","Burke, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1033929,899521,1030703,1123630,1085717,1177907,1163362,1231257,1456873,1550750,1783691,1909412,2009423,2057182,2208175,2441672,2704561,2800855,3209676,3354973,3506549
 "13035","Butts, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",472955,486525,494237,500340,515788,513891,531602,502904,463428,478049,478755,487790,501650,513713,511208,532731,561913,572826,604582,629693,676770
 "13035","Butts, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",96.959,99.741,101.322,102.573,105.740,105.351,108.982,103.098,95.005,98.003,98.148,100.000,102.841,105.314,104.801,109.213,115.196,117.433,123.943,129.091,138.742
 "13035","Butts, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",364767,384197,398744,413887,440754,453376,484456,467676,440918,458702,465495,487790,514641,540288,554590,589063,630085,657727,715112,765968,857150
 "13037","Calhoun, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",151968,157284,149197,134969,136222,134761,143910,143020,157042,145802,146646,133448,118806,96617,112523,112896,115705,108163,117206,122924,105246
 "13037","Calhoun, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",113.878,117.862,111.802,101.140,102.079,100.984,107.840,107.173,117.680,109.258,109.890,100.000,89.028,72.401,84.320,84.599,86.704,81.053,87.829,92.114,78.867
 "13037","Calhoun, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",111655,114995,114398,110363,108574,108584,130127,130860,130412,129380,142564,133448,122577,99639,114684,112655,120236,114160,125481,133362,132756
 "13039","Camden, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1683078,1733186,1627839,1590936,1653778,1701684,1735164,1718417,1688704,1702270,1684744,1722673,1706069,1714505,1724148,1778766,1819798,1700070,1678693,1637467,1709991
 "13039","Camden, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",97.702,100.610,94.495,92.353,96.001,98.782,100.725,99.753,98.028,98.816,97.798,100.000,99.036,99.526,100.086,103.256,105.638,98.688,97.447,95.054,99.264
 "13039","Camden, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1289500,1364194,1318546,1323116,1419246,1512213,1590811,1605215,1610788,1649123,1657486,1722673,1737372,1784844,1837690,1922553,2002265,1918643,1939100,1933049,2091947
 "13043","Candler, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",206594,213613,218128,219442,226143,230339,229957,221864,233025,239114,234002,227191,226246,222481,217919,221369,227720,230648,242624,245691,252624
 "13043","Candler, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",90.934,94.024,96.011,96.589,99.539,101.386,101.217,97.655,102.568,105.248,102.998,100.000,99.584,97.927,95.919,97.437,100.233,101.522,106.793,108.143,111.194
 "13043","Candler, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",163190,170589,179354,186977,195140,203872,214805,209394,216615,227179,228691,227191,232198,233626,233157,239924,252534,262150,282804,293489,321783
 "13045","Carroll, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",2873341,2913545,3083521,3276284,3355264,3473562,3608015,3826985,3537529,3476557,3611788,3785626,3754543,3691526,3826633,4017668,4022584,4266043,4350214,4559787,4928255
 "13045","Carroll, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",75.901,76.963,81.453,86.545,88.632,91.757,95.308,101.093,93.446,91.836,95.408,100.000,99.179,97.514,101.083,106.130,106.259,112.691,114.914,120.450,130.183
 "13045","Carroll, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2270398,2347895,2522604,2788621,2959194,3175513,3402409,3669663,3329138,3350258,3563425,3785626,3790064,3806372,3973339,4176304,4316604,4720159,4865510,5068350,5921898
 "13047","Catoosa, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1228386,1227678,1278694,1351711,1387486,1368517,1347369,1320393,1290911,1277289,1254736,1276153,1264561,1233039,1252781,1242190,1301284,1322466,1367892,1352066,1419287
 "13047","Catoosa, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",96.257,96.201,100.199,105.921,108.724,107.238,105.580,103.467,101.156,100.089,98.322,100.000,99.092,96.622,98.169,97.339,101.969,103.629,107.189,105.949,111.216
 "13047","Catoosa, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",980139,998163,1056048,1142763,1203571,1224506,1244389,1240148,1228106,1229626,1225625,1276153,1294665,1290852,1343781,1357939,1447946,1510865,1606943,1634262,1793063
 "13049","Charlton, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",170114,179631,191276,175500,177463,184080,187923,182690,186808,175766,189479,183707,186002,192335,207727,205710,182455,173294,187489,187884,187551
 "13049","Charlton, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",92.601,97.781,104.120,95.532,96.601,100.203,102.295,99.446,101.688,95.677,103.142,100.000,101.249,104.696,113.075,111.977,99.318,94.331,102.059,102.273,102.092
 "13049","Charlton, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",134447,144398,157228,149920,154509,164244,172305,169745,175426,168347,185611,183707,191728,202428,224128,225970,204620,199034,220265,224608,232244
 "13051","Chatham, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",11419024,11613672,11874673,12407709,13106231,13613343,13931584,13715050,13416064,13607377,13791853,14276278,14318929,15036601,15360260,15923895,16399274,16451335,17134732,16159802,17759786
 "13051","Chatham, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",79.986,81.349,83.178,86.911,91.804,95.356,97.586,96.069,93.975,95.315,96.607,100.000,100.299,105.326,107.593,111.541,114.871,115.235,120.022,113.193,124.401
 "13051","Chatham, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",8659288,8986852,9403787,10101315,11050329,11890430,12549471,12591481,12598724,12983365,13449071,14276278,14637495,15706952,16469549,17347132,18221068,18727540,19984717,19188211,21961700
 "13053","Chattahoochee, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1161864,1158838,1195272,1255476,1391940,1453969,1443836,1728097,1893717,1907427,1952759,1954283,1795630,1716331,1747790,1589360,1510776,1433862,1455321,1464217,1513138
 "13053","Chattahoochee, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",59.452,59.297,61.162,64.242,71.225,74.399,73.881,88.426,96.901,97.602,99.922,100.000,91.882,87.824,89.434,81.327,77.306,73.370,74.468,74.924,77.427
 "13053","Chattahoochee, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",819691,859281,934508,1016703,1175011,1277282,1316106,1610599,1802464,1854055,1933823,1954283,1816548,1776435,1847465,1695984,1639731,1601674,1659943,1700044,1812064
 "13055","Chattooga, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",560731,582417,571910,615920,640030,632387,641799,608184,556401,549964,508614,502493,531522,545034,556613,548405,569616,555944,518729,476891,482512
 "13055","Chattooga, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",111.590,115.905,113.814,122.573,127.371,125.850,127.723,121.033,110.728,109.447,101.218,100.000,105.777,108.466,110.770,109.137,113.358,110.637,103.231,94.905,96.024
