GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "15000","Hawaii",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",55678452,56990820,59978771,63318118,67123864,68759328,70080384,70460821,67927511,69628097,70646613,71905294,73063236,73512394,75869463,77303858,78947441,79845299,79213374,70109401,74547216
 "15000","Hawaii",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",77.433,79.258,83.414,88.058,93.350,95.625,97.462,97.991,94.468,96.833,98.250,100.000,101.610,102.235,105.513,107.508,109.794,111.042,110.163,97.502,103.674
 "15000","Hawaii",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",42585438,44644209,48166066,52353536,57369403,60846471,64163624,65678197,64549727,66872949,69083856,71905294,74554946,76773293,81230289,83914356,87217413,90330823,91912711,82535506,91096121
 "15001","Hawaii, HI",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",5081925,5231271,5615140,6046736,6731302,6837005,6878451,6900804,6312979,6597278,6415201,6636595,6674708,6728537,7076094,7254498,7672561,7740955,7804436,7044128,7458530
 "15001","Hawaii, HI",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",76.574,78.825,84.609,91.112,101.427,103.020,103.644,103.981,95.124,99.408,96.664,100.000,100.574,101.385,106.622,109.311,115.610,116.640,117.597,106.141,112.385
 "15001","Hawaii, HI",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",3877492,4073504,4468629,4962985,5703698,6007295,6276301,6420816,6002986,6315297,6264098,6636595,6837228,7042720,7558608,7854158,8459830,8718926,9026880,8312906,9186858
 "15003","Honolulu, HI",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",42312634,43209767,45240956,47591362,49948213,50784856,51815340,52658034,51770852,52901544,53973856,54584258,55329201,55680185,57193903,58095975,59174396,59317673,58463852,52576965,55363444
 "15003","Honolulu, HI",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",77.518,79.162,82.883,87.189,91.507,93.039,94.927,96.471,94.846,96.917,98.882,100.000,101.365,102.008,104.781,106.434,108.409,108.672,107.108,96.323,101.427
 "15003","Honolulu, HI",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",32334654,33857803,36397595,39431346,42792555,45043131,47456176,49062261,49131865,50840255,52827500,54584258,56393827,58081344,61171037,62952924,65253476,67008295,67682022,61768583,67383319
 "15007","Kauai, HI",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",2393579,2436891,2595921,2708253,2854638,3012937,3123597,3070514,2798968,2887571,2910593,3072364,3259011,3274194,3341704,3431089,3456056,3675334,3724382,3142993,3378463
 "15007","Kauai, HI",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",77.907,79.316,84.493,88.149,92.913,98.066,101.668,99.940,91.101,93.985,94.735,100.000,106.075,106.569,108.767,111.676,112.488,119.626,121.222,102.299,109.963
 "15007","Kauai, HI",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1851799,1926320,2088702,2236758,2440781,2668683,2869124,2879481,2682690,2778398,2840346,3072364,3334543,3422689,3575234,3724941,3820958,4160244,4332076,3704070,4169925
 "15901","Maui + Kalawao, HI*",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",5878213,6100388,6514571,6960658,7583071,8120956,8258742,7827998,7045222,7242277,7346348,7612076,7800068,7829304,8255858,8518874,8642183,9102935,9209126,7347821,8340310
 "15901","Maui + Kalawao, HI*",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",77.222,80.141,85.582,91.442,99.619,106.685,108.495,102.837,92.553,95.142,96.509,100.000,102.470,102.854,108.457,111.913,113.533,119.585,120.980,96.528,109.567
 "15901","Maui + Kalawao, HI*",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",4521494,4786583,5211140,5722447,6432369,7127362,7562022,7315639,6732186,6939000,7151912,7612076,7989349,8226540,8925410,9382332,9683149,10443358,10871733,8749948,10356019
"Note: See the included footnote file."
"CAGDP1: County and MSA gross domestic product (GDP) summary "
"Last updated: December 8, 2022 -- new statistics for 2021, revised statistics for 2017-2020."
"U.S. Bureau of Economic Analysis"
