GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "19000","Iowa",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",120449808,123298172,128962309,139978100,144577270,146555341,152861821,149881405,146182778,150148432,152435221,158538380,158480810,166619206,171126488,170389110,170887484,173547724,173721980,170957361,179752962
 "19000","Iowa",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",75.975,77.772,81.345,88.293,91.194,92.442,96.419,94.540,92.207,94.708,96.150,100.000,99.964,105.097,107.940,107.475,107.789,109.467,109.577,107.833,113.381
 "19000","Iowa",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",94837806,98557027,105123259,117188453,123190909,127896330,137930153,137548464,136894606,142233936,148477616,158538380,162200263,173095881,180299255,181011403,184561264,191516563,195708687,196982856,216860235
 "19001","Adair, IA",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",247488,264065,265579,314001,274214,272822,255260,291462,276172,268311,300748,291755,316625,305226,318948,309389,316646,325827,339746,406617,430503
 "19001","Adair, IA",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",84.827,90.509,91.028,107.625,93.988,93.511,87.491,99.899,94.659,91.965,103.082,100.000,108.524,104.617,109.321,106.044,108.532,111.678,116.449,139.369,147.556
 "19001","Adair, IA",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",192200,207074,213211,264365,231854,241022,238902,274102,252422,249907,293421,291755,326127,320286,340599,334776,349664,368917,394148,477822,560525
 "19003","Adams, IA",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",142166,166790,141888,164314,143506,132032,124667,164384,187005,214945,241889,161946,190463,223317,234672,243442,236241,224682,226978,205119,207934
 "19003","Adams, IA",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",87.786,102.991,87.614,101.462,88.613,81.528,76.980,101.505,115.473,132.726,149.364,100.000,117.609,137.896,144.907,150.323,145.876,138.739,140.157,126.659,128.397
 "19003","Adams, IA",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",104535,122224,108547,133267,113445,105909,106668,144128,159725,189946,233706,161946,194688,226644,235122,240144,240270,231690,237469,216414,249854
 "19005","Allamakee, IA",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",483303,480699,511126,554712,550752,548717,551087,547258,507520,542473,556448,527458,561763,597993,610362,652919,617489,600563,605620,599636,573076
 "19005","Allamakee, IA",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",91.629,91.135,96.904,105.167,104.416,104.030,104.480,103.754,96.220,102.847,105.496,100.000,106.504,113.373,115.718,123.786,117.069,113.860,114.818,113.684,108.649
 "19005","Allamakee, IA",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",370163,373426,404772,449149,451816,461311,480689,488535,473187,509434,542350,527458,576504,617226,619617,647922,631376,623012,641613,648657,679645
 "19007","Appanoose, IA",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",311883,327167,349445,377024,373422,358217,333996,367480,366119,359445,376792,355931,363321,363485,378157,369349,381205,370814,369809,370658,395869
 "19007","Appanoose, IA",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",87.625,91.919,98.178,105.926,104.914,100.642,93.837,103.245,102.862,100.987,105.861,100.000,102.076,102.122,106.244,103.770,107.101,104.181,103.899,104.138,111.221
 "19007","Appanoose, IA",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",246068,262107,283193,310364,313599,312934,299743,337399,349685,342931,367128,355931,372061,378414,404814,401151,419361,417582,428822,438908,488192
 "19009","Audubon, IA",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",178695,191762,182767,232816,225332,239667,222995,322051,284593,271894,261522,224767,239714,237105,224761,238833,268815,275637,326791,304569,290891
 "19009","Audubon, IA",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",79.503,85.316,81.314,103.581,100.251,106.629,99.212,143.282,126.617,120.967,116.353,100.000,106.650,105.489,99.997,106.258,119.597,122.632,145.391,135.505,129.419
 "19009","Audubon, IA",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",127772,137212,135884,184715,171628,183449,191531,279502,239534,236619,254119,224767,246643,238718,217131,222102,261264,268470,320065,300157,344505
 "19011","Benton, IA",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",553554,592684,572029,611340,589001,596799,630264,656976,653516,680156,709239,696222,716398,714012,729873,724597,753820,789660,814445,862429,901547
 "19011","Benton, IA",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",79.508,85.129,82.162,87.808,84.600,85.720,90.526,94.363,93.866,97.692,101.870,100.000,102.898,102.555,104.833,104.076,108.273,113.421,116.981,123.873,129.491
 "19011","Benton, IA",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",418694,450279,449822,503963,485434,501558,560707,595680,585857,624896,689400,696222,734777,738559,760444,757065,808205,864669,909596,984539,1137286
 "19013","Black Hawk, IA",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",5361350,5606185,5544477,6259728,6495073,6562418,6691609,6644358,6579892,7022940,6915472,8581517,7426603,8445349,7810199,6888962,6982579,7140398,7056978,7026356,7513102
 "19013","Black Hawk, IA",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",62.476,65.329,64.610,72.944,75.687,76.472,77.977,77.426,76.675,81.838,80.586,100.000,86.542,98.413,91.012,80.277,81.368,83.207,82.235,81.878,87.550
 "19013","Black Hawk, IA",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",4258241,4539640,4547255,5194137,5539360,5724273,6012900,6076110,6317491,6729740,6700313,8581517,7633430,8873363,8498956,7645593,7819220,8138694,8278027,8460544,9258520
 "19015","Boone, IA",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",791547,839093,884088,919364,924518,911575,936096,925376,991807,980917,982382,957337,987354,972542,935137,930600,890873,932213,951690,975705,1006742
 "19015","Boone, IA",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",82.682,87.649,92.349,96.034,96.572,95.220,97.781,96.662,103.601,102.463,102.616,100.000,103.136,101.588,97.681,97.207,93.057,97.376,99.410,101.919,105.161
 "19015","Boone, IA",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",593816,639887,688005,742093,760089,775051,834416,846396,909581,917102,959994,957337,1011629,1001698,968237,968204,946776,1014319,1059891,1109310,1229603
 "19017","Bremer, IA",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",747402,767347,776058,921756,993967,958958,1019900,916590,853750,866462,922396,998773,970612,1028640,1051721,1024412,1008628,1023103,1023743,974423,1043942
 "19017","Bremer, IA",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",74.832,76.829,77.701,92.289,99.519,96.014,102.115,91.772,85.480,86.753,92.353,100.000,97.180,102.990,105.301,102.567,100.987,102.436,102.500,97.562,104.522
 "19017","Bremer, IA",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",589252,615150,636101,773314,845832,829394,910889,828920,800789,818546,895602,998773,995245,1072184,1119197,1105987,1100069,1142532,1167073,1146312,1268341
 "19019","Buchanan, IA",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",541760,550004,539403,598991,631529,632448,642442,617036,642631,634542,714442,690011,719766,716888,679032,738619,767505,753817,767120,754161,749966
 "19019","Buchanan, IA",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",78.515,79.709,78.173,86.809,91.524,91.658,93.106,89.424,93.133,91.961,103.541,100.000,104.312,103.895,98.409,107.044,111.231,109.247,111.175,109.297,108.689
 "19019","Buchanan, IA",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",400787,412660,415136,477876,509876,525364,563788,552014,581131,583358,694181,690011,738515,737669,694964,749706,804185,803583,829647,824769,925769
 "19021","Buena Vista, IA",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",835598,854371,877217,962556,967508,979645,1046044,1163971,1194512,1225214,1203403,1225006,1380687,1597651,1827741,1340661,1202009,1270990,1218112,1230413,1311448
 "19021","Buena Vista, IA",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",68.212,69.744,71.609,78.576,78.980,79.971,85.391,95.018,97.511,100.017,98.236,100.000,112.709,130.420,149.203,109.441,98.123,103.754,99.437,100.441,107.056
 "19021","Buena Vista, IA",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",615182,637795,672190,761713,765364,784868,884418,1017315,1067334,1119371,1158963,1225006,1415973,1643988,1867841,1362666,1245539,1321631,1293135,1347623,1508644
 "19023","Butler, IA",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",333096,353437,338211,424765,424410,428412,440544,425552,434464,487771,510762,490999,487331,460448,425805,380469,404770,392350,399983,404061,494350
 "19023","Butler, IA",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",67.841,71.983,68.882,86.510,86.438,87.253,89.724,86.671,88.486,99.343,104.025,100.000,99.253,93.778,86.722,77.489,82.438,79.909,81.463,82.294,100.683
 "19023","Butler, IA",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",242496,258416,255007,337004,331426,339031,381381,373352,370245,430787,495479,490999,502050,474089,439893,397280,432080,428925,449227,464057,615243
 "19025","Calhoun, IA",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",276952,295126,300406,357455,372256,364216,385517,414474,368038,400514,415363,405540,420113,432075,374045,427664,413562,428089,426124,409768,424983
 "19025","Calhoun, IA",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",68.292,72.774,74.076,88.143,91.793,89.810,95.063,102.203,90.753,98.761,102.422,100.000,103.594,106.543,92.234,105.456,101.978,105.560,105.076,101.043,104.794
 "19025","Calhoun, IA",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",192652,206890,219398,277868,282947,281184,332189,364184,301014,345372,403911,405540,431616,431370,356669,394388,398232,416461,419759,409250,493683
 "19027","Carroll, IA",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",856699,863412,903520,1029345,1063814,1093630,1109807,1112156,1089442,1185743,1178847,1174004,1205708,1251754,1262842,1344261,1380709,1349153,1298116,1229380,1246071
 "19027","Carroll, IA",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",72.972,73.544,76.961,87.678,90.614,93.154,94.532,94.732,92.797,101.000,100.413,100.000,102.700,106.623,107.567,114.502,117.607,114.919,110.572,104.717,106.139
 "19027","Carroll, IA",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",653353,662887,713942,852384,885772,927882,980800,998223,974822,1090905,1147541,1174004,1237921,1289079,1286859,1356367,1434624,1423714,1390121,1342966,1498110
 "19029","Cass, IA",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",418216,437315,438011,498773,496391,514208,489465,539882,533976,517571,549272,580618,597677,597410,617936,604308,617864,634827,611654,585648,622321
 "19029","Cass, IA",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",72.030,75.319,75.439,85.904,85.494,88.562,84.301,92.984,91.967,89.141,94.601,100.000,102.938,102.892,106.427,104.080,106.415,109.336,105.345,100.866,107.182
 "19029","Cass, IA",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",323867,342827,352531,419027,415107,437742,444964,498538,482770,480326,535866,580618,613611,624746,654316,642112,672399,709399,700991,682851,785045
 "19031","Cedar, IA",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",436503,457883,470523,485085,465377,479988,485548,498789,491553,524648,586561,586351,604749,605873,584419,571525,566842,589466,587540,573815,640559
 "19031","Cedar, IA",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",74.444,78.090,80.246,82.730,79.368,81.860,82.808,85.067,83.833,89.477,100.036,100.000,103.138,103.330,99.671,97.472,96.673,100.531,100.203,97.862,109.245
 "19031","Cedar, IA",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",336865,354700,375495,404420,389763,411145,439179,459681,453957,491039,573356,586351,617212,617534,594365,580295,589627,625595,636748,631370,772054
 "19033","Cerro Gordo, IA",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1896145,1931779,2131440,2324396,2465919,2410207,2429863,2275614,2137516,2177130,2171303,2219208,2273235,2350179,2431762,2474900,2329484,2326139,2218668,2209743,2240617
 "19033","Cerro Gordo, IA",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",85.442,87.048,96.045,104.740,111.117,108.607,109.492,102.542,96.319,98.104,97.841,100.000,102.435,105.902,109.578,111.522,104.969,104.818,99.976,99.574,100.965
 "19033","Cerro Gordo, IA",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1453378,1507649,1696542,1903498,2066103,2075454,2163216,2070171,2007450,2065895,2111311,2219208,2321897,2440443,2576329,2654732,2539725,2593272,2537545,2590989,2756909
 "19035","Cherokee, IA",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",480794,506875,534787,560726,584514,759576,818395,721799,729795,730305,647529,620394,650511,737651,723426,695442,665831,695746,628000,630883,648133
 "19035","Cherokee, IA",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",77.498,81.702,86.201,90.382,94.217,122.434,131.915,116.345,117.634,117.716,104.374,100.000,104.854,118.900,116.607,112.097,107.324,112.146,101.226,101.691,104.471
 "19035","Cherokee, IA",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",351828,375745,410161,449642,462817,608022,692083,632522,637339,655766,625680,620394,665374,751296,724977,686737,677304,718529,657491,670042,756444
