GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "16000","Idaho",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",46084523,47056844,48593699,51815142,56043031,57613749,58670902,60309468,57327941,58281757,58226221,58323936,60631214,62454038,63081239,65479033,66940978,70857344,74162613,75145470,80093776
 "16000","Idaho",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",79.015,80.682,83.317,88.840,96.089,98.782,100.595,103.404,98.292,99.928,99.832,100.000,103.956,107.081,108.157,112.268,114.774,121.489,127.156,128.842,137.326
 "16000","Idaho",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",37489012,38673215,40490605,44327929,48642807,51125785,53934530,56200787,54064056,55587554,56941101,58323936,61835778,64575195,65899926,68837424,71730341,77395407,82847231,85927756,96282794
 "16001","Ada, ID",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",14346281,14750352,15843458,17248028,19221652,19102974,19188467,20060559,19304357,19400865,19394042,19329339,20222092,21218372,21430336,22405688,23175599,24955953,25901395,26164023,28597802
 "16001","Ada, ID",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",74.220,76.311,81.966,89.232,99.443,98.829,99.271,103.783,99.871,100.370,100.335,100.000,104.619,109.773,110.869,115.915,119.899,129.109,134.000,135.359,147.950
 "16001","Ada, ID",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",13179836,13603905,14536315,15949716,17938944,18025496,18414426,19267615,18790846,18893662,19047141,19329339,20575488,21930385,22577726,23932244,25102424,27554713,29253305,30238994,34164131
 "16003","Adams, ID",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",72373,74154,75301,86357,94658,98047,100808,93478,89724,92198,94475,102731,104568,106168,113310,115192,112685,109035,110813,115068,125353
 "16003","Adams, ID",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",70.449,72.183,73.299,84.061,92.142,95.440,98.128,90.993,87.339,89.747,91.964,100.000,101.788,103.346,110.298,112.130,109.689,106.137,107.867,112.009,122.021
 "16003","Adams, ID",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",54709,57378,60047,71403,80717,86575,91956,86610,85006,88260,92264,102731,108028,112380,120462,123318,123323,122380,127051,136491,157014
 "16005","Bannock, ID",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",2173173,2138029,2233168,2430938,2598112,2555567,2567447,2702035,2509972,2516728,2463814,2508699,2468083,2520603,2504111,2524411,2559640,2550388,2608525,2588432,2715753
 "16005","Bannock, ID",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",86.625,85.225,89.017,96.900,103.564,101.868,102.342,107.707,100.051,100.320,98.211,100.000,98.381,100.475,99.817,100.626,102.031,101.662,103.979,103.178,108.253
 "16005","Bannock, ID",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1809110,1803037,1898263,2102446,2291161,2305402,2376092,2536433,2401526,2422727,2402854,2508699,2510594,2613819,2650520,2710089,2788584,2840084,2978105,3038337,3293730
 "16007","Bear Lake, ID",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",121715,117685,133912,135050,138306,131834,138989,144526,138353,135103,142171,164583,159511,166323,163645,162492,166681,164140,170538,172971,172722
 "16007","Bear Lake, ID",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",73.954,71.505,81.364,82.056,84.034,80.102,84.449,87.813,84.063,82.088,86.382,100.000,96.918,101.057,99.430,98.729,101.275,99.730,103.618,105.096,104.945
 "16007","Bear Lake, ID",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",91595,90244,105490,111512,116425,115123,126181,134420,129412,128510,138813,164583,163489,172239,169176,167078,176160,176768,187429,195019,208044
 "16009","Benewah, ID",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",247744,257495,256428,275325,300248,294932,311008,314567,308795,335835,351037,294982,289975,278981,294304,291468,289447,293534,303315,304296,303798
 "16009","Benewah, ID",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",83.986,87.292,86.930,93.336,101.785,99.983,105.433,106.639,104.683,113.849,119.003,100.000,98.303,94.576,99.770,98.809,98.124,99.509,102.825,103.158,102.989
 "16009","Benewah, ID",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",195145,206455,211578,239593,267417,268885,288924,297035,286053,321899,343000,294982,302957,301099,320941,322044,327022,343536,361639,375251,405698
 "16011","Bingham, ID",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1061313,1172004,1076841,1094337,1069344,1288986,1278866,1287209,1328293,1251234,1326436,1298868,1272542,1184133,1181580,1140656,1114778,1177880,1296183,1309536,1262474
 "16011","Bingham, ID",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",81.711,90.233,82.906,84.253,82.329,99.239,98.460,99.102,102.265,96.333,102.122,100.000,97.973,91.167,90.970,87.819,85.827,90.685,99.793,100.821,97.198
 "16011","Bingham, ID",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",781950,877958,828003,874651,868290,1071145,1134419,1171547,1202403,1164367,1288457,1298868,1304405,1233161,1244574,1209470,1201176,1296044,1463112,1516031,1536381
 "16013","Blaine, ID",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1152194,1176194,1163747,1236376,1283604,1338581,1327375,1315425,1158627,1099238,1088432,1171388,1216076,1250541,1225782,1240095,1308966,1364332,1388651,1379661,1552878
 "16013","Blaine, ID",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",98.361,100.410,99.348,105.548,109.580,114.273,113.316,112.296,98.911,93.841,92.918,100.000,103.815,106.757,104.644,105.865,111.745,116.471,118.547,117.780,132.567
 "16013","Blaine, ID",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",885260,927436,938231,1031253,1110944,1207078,1240108,1249672,1105901,1057923,1065556,1171388,1237202,1302824,1306417,1347054,1453648,1556208,1626785,1647239,1913887
 "16015","Boise, ID",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",120990,125926,132438,136127,140330,142670,142391,153170,143363,141059,143944,151253,166135,149653,131123,134250,156257,198411,198932,162930,174865
 "16015","Boise, ID",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",79.992,83.256,87.561,90.000,92.779,94.326,94.141,101.268,94.784,93.260,95.168,100.000,109.839,98.943,86.692,88.759,103.308,131.179,131.523,107.720,115.611
 "16015","Boise, ID",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",90818,97328,105161,112091,119625,126249,130136,142968,137127,135832,141148,151253,169738,157072,141563,147661,175340,228823,237744,201060,222579
 "16017","Bonner, ID",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",990849,1078666,1109072,1181593,1287818,1332596,1365441,1374812,1280112,1294308,1272916,1208804,1239823,1264592,1230983,1271776,1283557,1359681,1424869,1440567,1588335
