GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "17000","Illinois",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",642292514,647517753,658317277,676805920,687706570,704827569,712619785,706616459,688160951,698179584,711283361,726399102,726124962,741194005,751754932,749333509,753026961,771695542,775998144,734385039,780060757
 "17000","Illinois",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",88.421,89.141,90.627,93.173,94.673,97.030,98.103,97.277,94.736,96.115,97.919,100.000,99.962,102.037,103.491,103.157,103.666,106.236,106.828,101.099,107.387
 "17000","Illinois",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",501552777,514361074,533022459,563060841,589811850,624242936,650145155,654657495,649862738,666404845,692880814,726399102,741121510,771356117,799930468,807043206,824913388,865661045,889540088,856942875,945673819
 "17001","Adams, IL",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",2563923,2628305,2783978,2902101,2948081,3012225,3005302,3057903,2968856,3059515,3158018,3218817,3194106,3296070,3275472,3366416,3124099,3207080,3169804,3009901,3238565
 "17001","Adams, IL",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",79.654,81.654,86.491,90.160,91.589,93.582,93.367,95.001,92.234,95.051,98.111,100.000,99.232,102.400,101.760,104.586,97.057,99.635,98.477,93.510,100.614
 "17001","Adams, IL",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2053958,2144382,2306257,2459606,2551144,2658811,2726777,2816492,2820126,2923456,3068702,3218817,3264188,3429466,3507886,3659979,3441622,3596629,3637993,3534116,3965094
 "17003","Alexander, IL",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",187795,187688,185628,188698,184464,193709,187803,227137,202695,207037,175249,153592,158495,153163,159608,150671,150891,147757,157976,153491,143212
 "17003","Alexander, IL",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",122.268,122.199,120.857,122.856,120.099,126.119,122.273,147.883,131.969,134.797,114.100,100.000,103.192,99.720,103.917,98.098,98.241,96.200,102.854,99.934,93.242
 "17003","Alexander, IL",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",134949,138845,140657,148426,149806,162689,163706,204182,185385,194113,170899,153592,162135,158403,163728,152430,157879,157473,171927,170901,173792
 "17005","Bond, IL",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",408444,408587,426216,454343,434996,453469,426781,455890,465505,490238,482028,484761,479699,462490,526003,490271,499572,517469,513761,498022,521134
 "17005","Bond, IL",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",84.257,84.286,87.923,93.725,89.734,93.545,88.039,94.044,96.028,101.130,99.436,100.000,98.956,95.406,108.508,101.137,103.055,106.747,105.982,102.735,107.503
 "17005","Bond, IL",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",311394,317623,340055,374330,363172,391386,382472,417136,431883,460670,469235,484761,491111,482085,559796,525814,545163,576696,587908,578790,645380
 "17007","Boone, IL",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1265194,1327054,1312806,1347999,1394486,1727322,1736900,1609328,1185661,1369527,1479934,1592839,1627042,1567899,1605375,1624487,1562938,1776699,1767849,1583466,1596850
 "17007","Boone, IL",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",79.430,83.314,82.419,84.629,87.547,108.443,109.044,101.035,74.437,85.980,92.912,100.000,102.147,98.434,100.787,101.987,98.123,111.543,110.987,99.412,100.252
 "17007","Boone, IL",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1122774,1187944,1185009,1229632,1288259,1586044,1619278,1490972,1165117,1332719,1434333,1592839,1663715,1641358,1766103,1811279,1751941,1996057,2018619,1843665,1826586
 "17009","Brown, IL",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",237735,248732,285051,293132,281950,281941,289033,301394,316260,320548,319225,340411,364155,365854,407593,401086,420793,441545,455135,424794,437714
 "17009","Brown, IL",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",69.838,73.068,83.737,86.111,82.826,82.824,84.907,88.538,92.906,94.165,93.776,100.000,106.975,107.474,119.736,117.824,123.613,129.710,133.702,124.789,128.584
 "17009","Brown, IL",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",176235,186027,219145,236633,230584,237243,253914,272384,290017,298941,309693,340411,372940,379885,429484,426029,455468,495899,534059,499529,561185
 "17011","Bureau, IL",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1155960,1259354,1183154,1202838,1125050,1118334,1122392,1143525,1073450,1054230,1193106,1188294,1372324,1234099,1302420,1158198,1200765,1176418,1208105,1147624,1232269
 "17011","Bureau, IL",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",97.279,105.980,99.567,101.224,94.678,94.113,94.454,96.233,90.335,88.718,100.405,100.000,115.487,103.855,109.604,97.467,101.050,99.001,101.667,96.577,103.701
