GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "18000","Indiana",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",259474793,265345140,277151611,287655871,290328175,296112718,304085687,300962553,279520734,297517332,299064514,300513880,307279125,316783058,313751163,319601494,324997597,336327063,337902188,327277858,346240868
 "18000","Indiana",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",86.344,88.297,92.226,95.721,96.611,98.535,101.189,100.149,93.014,99.003,99.518,100.000,102.251,105.414,104.405,106.352,108.147,111.917,112.441,108.906,115.216
 "18000","Indiana",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",205470947,212837756,225442711,239743595,248170475,259602785,273509517,275538678,263326786,282562151,291356090,300513880,312138454,327958286,331945667,340500707,352601027,373196804,381132281,373781577,412975161
 "18001","Adams, IN",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1138734,1216963,1265377,1284325,1212825,1246060,1238563,1146085,967960,1118112,1193072,1221886,1298731,1389770,1455298,1492335,1620205,1652705,1728236,1595806,1740932
 "18001","Adams, IN",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",93.195,99.597,103.559,105.110,99.258,101.978,101.365,93.796,79.219,91.507,97.642,100.000,106.289,113.740,119.103,122.134,132.599,135.259,141.440,130.602,142.479
 "18001","Adams, IN",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",957881,1041380,1090263,1119122,1067258,1104707,1124035,1050289,928479,1068048,1152049,1221886,1331565,1441668,1531584,1570810,1725316,1761390,1879370,1781329,1993204
 "18003","Allen, IN",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",14655134,15027210,15698130,16066339,16532354,17120414,17405952,16447635,15189472,15561086,15764212,16369285,16159764,17336854,18023538,18474751,19005446,19727390,19722746,18540694,19625150
 "18003","Allen, IN",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",89.528,91.801,95.900,98.149,100.996,104.589,106.333,100.479,92.793,95.063,96.304,100.000,98.720,105.911,110.106,112.862,116.104,120.515,120.486,113.265,119.890
 "18003","Allen, IN",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",12443620,12924335,13619573,14198775,14895059,15705169,16245984,15457985,14663694,15057993,15417122,16369285,16440410,17937339,19061178,19777066,20562724,21771351,22198490,21269498,23189094
 "18005","Bartholomew, IN",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",3592314,3488337,3658747,3934847,4179120,4549382,5093263,5331660,4384006,5286815,5438197,5944569,6233867,5944979,5754567,5651578,5629014,6065973,6041654,5590432,6067893
 "18005","Bartholomew, IN",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",60.430,58.681,61.548,66.192,70.301,76.530,85.679,89.690,73.748,88.935,91.482,100.000,104.867,100.007,96.804,95.071,94.692,102.042,101.633,94.043,102.075
 "18005","Bartholomew, IN",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",3017508,2965536,3136684,3401978,3687225,4059428,4650610,4900828,4311670,5111420,5246471,5944569,6420635,6265121,6342241,6343354,6323063,6853413,7051984,6677011,7205692
 "18007","Benton, IN",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",237854,261228,243471,247520,235867,256908,253962,285217,265307,340481,373960,325452,425050,391748,337262,433180,403819,395623,440008,468540,464520
 "18007","Benton, IN",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",73.084,80.266,74.810,76.054,72.474,78.939,78.034,87.637,81.520,104.618,114.905,100.000,130.603,120.371,103.629,133.101,124.079,121.561,135.199,143.966,142.731
 "18007","Benton, IN",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",186307,204715,196684,209752,199646,222024,236839,270095,239441,315975,368947,325452,437948,403559,347698,439574,419520,421183,479650,515875,577181
 "18009","Blackford, IN",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",327625,335823,341994,357459,359663,349044,349013,321040,273131,292082,280112,279726,287086,296822,278757,284139,295749,319327,315528,300732,318415
