GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "20000","Kansas",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",114327697,116194953,118192478,119391647,123949777,130364544,137093586,139536841,134227031,135723241,139579438,141818180,141723361,145344140,148810517,153695326,155514658,158734424,159826172,158348332,162290924
 "20000","Kansas",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",80.616,81.932,83.341,84.186,87.400,91.924,96.669,98.391,94.647,95.702,98.421,100.000,99.933,102.486,104.930,108.375,109.658,111.928,112.698,111.656,114.436
 "20000","Kansas",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",88883571,91584153,95359890,99083017,105526330,114091890,123878736,128604326,125348913,128591336,136358893,141818180,144483193,150183624,154958197,160451040,165182514,172342960,176564384,177580853,191380562
 "20001","Allen, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",411169,428264,444928,468287,445481,442793,450456,479995,487386,487751,511583,532026,519940,482963,490231,470725,467696,496390,535281,533496,555318
 "20001","Allen, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",77.284,80.497,83.629,88.020,83.733,83.228,84.668,90.220,91.609,91.678,96.158,100.000,97.728,90.778,92.144,88.478,87.909,93.302,100.612,100.276,104.378
 "20001","Allen, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",328585,348223,366545,393272,382005,391260,407876,444968,457210,464703,496794,532026,532471,501429,518719,505069,506166,545438,598997,607036,662348
 "20003","Anderson, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",172105,181152,177289,176717,176623,173976,188227,210687,220682,202625,217276,230736,239854,247696,241447,285941,245201,242310,271290,300457,332016
 "20003","Anderson, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",74.590,78.511,76.836,76.589,76.548,75.401,81.577,91.311,95.643,87.817,94.166,100.000,103.952,107.351,104.642,123.926,106.269,105.016,117.576,130.217,143.895
 "20003","Anderson, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",126048,133945,136265,143320,145636,148759,167322,193056,198070,187251,211887,230736,245532,252661,240033,276891,245674,247015,280456,314784,394997
 "20005","Atchison, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",611127,548685,510985,524830,506874,520989,566894,542241,525475,518197,547553,512747,532958,554190,581085,593297,676829,684730,686854,657608,655418
 "20005","Atchison, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",119.187,107.009,99.656,102.356,98.855,101.607,110.560,105.752,102.482,101.063,106.788,100.000,103.942,108.083,113.328,115.709,132.000,133.541,133.956,128.252,127.825
 "20005","Atchison, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",457766,418255,395589,426359,424696,460163,518722,509777,484618,491964,539892,512747,538560,570669,600299,616166,714086,736409,752378,736825,770306
 "20007","Barber, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",158184,181948,198685,180145,191978,224468,195494,210729,218629,233231,242673,269433,297653,289203,241770,234668,239135,211397,209393,208563,207674
 "20007","Barber, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",58.710,67.530,73.742,66.861,71.253,83.312,72.558,78.212,81.144,86.564,90.068,100.000,110.474,107.338,89.733,87.097,88.755,78.460,77.716,77.408,77.078
 "20007","Barber, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",117587,134420,158084,154281,171006,203838,193410,227908,191142,224591,251659,269433,310452,300205,209218,199805,214322,198180,194648,188938,219484
 "20009","Barton, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",896403,904747,946080,977501,1007668,1110605,1113010,1176730,1162861,1167391,1199035,1267996,1233424,1294881,1222358,1234964,1168872,1159006,1192814,1184588,1178276
 "20009","Barton, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",70.694,71.352,74.612,77.090,79.469,87.587,87.777,92.802,91.709,92.066,94.561,100.000,97.273,102.120,96.401,97.395,92.183,91.405,94.071,93.422,92.924
 "20009","Barton, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",662598,680363,733545,790134,839702,956151,1010759,1105984,1055577,1096620,1179923,1267996,1263151,1339861,1237249,1237411,1204274,1221165,1271462,1277297,1368896
 "20011","Bourbon, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",505008,543746,534753,570314,562092,592798,566781,559544,547004,525238,493695,526432,539608,539607,552980,580768,577478,628734,556027,542857,541821
 "20011","Bourbon, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",95.930,103.289,101.581,108.336,106.774,112.607,107.665,106.290,103.908,99.773,93.781,100.000,102.503,102.503,105.043,110.321,109.696,119.433,105.622,103.120,102.923
 "20011","Bourbon, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",388406,425770,426395,467987,476555,521541,513486,517919,524536,507287,482329,526432,550367,558326,585894,621985,627262,697175,631115,627850,657324
 "20013","Brown, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",331288,300516,341426,399494,392602,376503,420012,400792,477640,394639,490377,452375,475755,450661,443348,432592,465490,526414,539471,531822,590482
 "20013","Brown, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",73.233,66.431,75.474,88.310,86.787,83.228,92.846,88.597,105.585,87.237,108.401,100.000,105.168,99.621,98.005,95.627,102.899,116.367,119.253,117.562,130.529
 "20013","Brown, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",261732,240627,280742,342084,333664,325408,380887,369581,436168,367696,475919,452375,489660,470372,473234,468365,509879,583029,613655,619481,721668
 "20015","Butler, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1572213,1590528,1664347,1515150,1708264,1907438,1997197,1774530,1938212,1901562,1945947,1683841,1675890,1808200,1879582,2424801,2296126,2352040,2341463,2220346,2196463
 "20015","Butler, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",93.371,94.458,98.842,89.982,101.450,113.279,118.610,105.386,115.107,112.930,115.566,100.000,99.528,107.385,111.625,144.004,136.362,139.683,139.055,131.862,130.444
 "20015","Butler, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1059816,1073750,1178140,1121828,1334724,1569942,1732753,1557437,1665939,1710246,1890711,1683841,1717354,1881363,1972128,2447428,2478989,2744535,2632225,2375615,2786181
 "20017","Chase, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",80555,82142,77597,84751,97528,106854,98228,98794,98933,94578,82924,98860,91907,94699,108854,113389,119982,131094,129635,140172,140860
 "20017","Chase, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",81.484,83.089,78.491,85.728,98.653,108.086,99.361,99.933,100.073,95.668,83.880,100.000,92.966,95.790,110.109,114.696,121.365,132.605,131.129,141.788,142.483
 "20017","Chase, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",53134,53582,53231,62819,72495,82004,83601,88253,88440,87839,81306,98860,92932,94816,104683,105507,116549,129151,128989,140771,156213
 "20019","Chautauqua, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",66099,87081,75336,70841,68760,66272,62909,64162,71756,72745,72881,73326,77760,75785,73732,74240,72946,76845,73059,75625,79448
 "20019","Chautauqua, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",90.143,118.758,102.741,96.611,93.773,90.380,85.793,87.502,97.859,99.208,99.393,100.000,106.046,103.353,100.554,101.246,99.481,104.799,99.636,103.135,108.349
 "20019","Chautauqua, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",47889,63479,58318,57748,58358,57871,57209,61822,64131,68609,72869,73326,80279,78625,72403,74029,74174,80496,78291,81488,89996
 "20021","Cherokee, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",478711,474675,496824,502167,516203,518790,562864,583198,560656,599941,578959,562154,524291,523173,530682,585133,642786,687315,694063,747569,735162
 "20021","Cherokee, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",85.157,84.439,88.379,89.329,91.826,92.286,100.126,103.743,99.733,106.722,102.989,100.000,93.265,93.066,94.401,104.088,114.343,122.264,123.465,132.983,130.776
 "20021","Cherokee, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",384750,385120,409466,426000,448483,464471,518939,543335,529267,569607,565462,562154,535788,543186,563983,624992,699615,768299,788238,850092,911625
 "20023","Cheyenne, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",96607,80716,89117,70160,75878,73456,100500,103209,118046,125386,142361,120370,145302,130514,125864,119204,103216,126128,124890,135515,138866
 "20023","Cheyenne, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",80.258,67.057,74.036,58.287,63.037,61.025,83.492,85.743,98.070,104.167,118.270,100.000,120.713,108.427,104.564,99.032,85.749,104.784,103.755,112.582,115.366
 "20023","Cheyenne, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",63731,53348,61906,51427,58156,58087,85241,91628,93210,106858,139478,120370,149434,129470,113431,102958,93068,116327,115092,123801,157804
 "20025","Clark, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",80502,91122,102704,84148,95903,91250,83500,93194,98251,108440,101702,103700,105126,105177,115921,148223,203523,222991,214536,198661,202524
 "20025","Clark, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",77.629,87.871,99.039,81.145,92.481,87.994,80.521,89.868,94.745,104.570,98.072,100.000,101.375,101.424,111.785,142.934,196.261,215.034,206.881,191.572,195.297
 "20025","Clark, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",54517,60564,73943,66272,74770,71785,72289,86903,77202,93904,100681,103700,108754,105665,105482,126625,182230,201193,194361,179544,216241
 "20027","Clay, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",197287,205248,212106,247273,242148,256772,259244,303286,297933,304422,289226,268002,286529,267958,247264,238936,250477,266733,285785,278147,269338
 "20027","Clay, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",73.614,76.584,79.143,92.265,90.353,95.809,96.732,113.165,111.168,113.589,107.919,100.000,106.913,99.983,92.262,89.154,93.461,99.526,106.635,103.785,100.498
 "20027","Clay, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",148987,157645,167406,204682,200983,217986,233156,277449,265144,279301,281367,268002,294771,276872,257945,251192,268518,290889,316752,314861,338857
 "20029","Cloud, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",282639,268792,299816,313322,314047,327406,339298,386345,342533,343486,350560,347900,345206,349929,338875,338285,328911,340602,361009,371768,374749
 "20029","Cloud, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",81.241,77.261,86.179,90.061,90.269,94.109,97.527,111.051,98.457,98.731,100.765,100.000,99.225,100.583,97.406,97.236,94.542,97.902,103.768,106.860,107.717
 "20029","Cloud, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",213839,206642,234804,255116,258601,277286,304032,356730,312574,320060,342401,347900,354559,363894,354027,354227,349871,369526,401301,421182,455721
 "20031","Coffey, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",594871,557395,564626,626585,580576,605011,609501,625427,674366,727587,737265,802307,795599,801566,785429,832392,827868,776100,769917,791748,667795
 "20031","Coffey, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",74.145,69.474,70.375,78.098,72.363,75.409,75.969,77.954,84.053,90.687,91.893,100.000,99.164,99.908,97.896,103.750,103.186,96.734,95.963,98.684,83.234
