GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "21000","Kentucky",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",151834321,155643918,159990810,164650219,171180325,175657664,174407276,173810126,166704196,173780114,175745345,178143718,181505850,181471805,182916031,184114976,185920638,187926618,192971910,188396327,197818261
 "21000","Kentucky",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",85.231,87.370,89.810,92.425,96.091,98.604,97.903,97.567,93.578,97.551,98.654,100.000,101.887,101.868,102.679,103.352,104.366,105.492,108.324,105.755,111.044
 "21000","Kentucky",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",117647924,122435254,127982168,135529305,145011071,153408440,157163681,159883836,157479800,166408679,171586888,178143718,184524368,187983798,193413063,196484949,201872212,208558577,218494732,216865623,237182031
 "21001","Adair, KY",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",287437,299753,306819,299781,311842,318571,312997,321149,313196,331802,332743,338151,346113,347602,352064,319633,331061,341905,349204,341848,365892
 "21001","Adair, KY",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",85.002,88.645,90.734,88.653,92.220,94.210,92.561,94.972,92.620,98.122,98.401,100.000,102.354,102.795,104.114,94.524,97.903,101.110,103.269,101.093,108.204
 "21001","Adair, KY",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",216874,231807,244824,248435,267451,282109,286038,300420,295852,317940,324243,338151,355812,363123,372100,342612,362046,382315,399839,402984,454838
 "21003","Allen, KY",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",355909,344748,348079,361699,363339,401977,396027,364392,338210,388895,384491,398952,398061,391574,408962,445335,458564,464111,462446,433983,457794
 "21003","Allen, KY",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",89.211,86.414,87.248,90.662,91.073,100.758,99.267,91.337,84.775,97.479,96.375,100.000,99.777,98.151,102.509,111.626,114.942,116.333,115.915,108.781,114.749
 "21003","Allen, KY",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",287484,279158,284782,301472,303763,340097,353006,332701,322484,372745,373457,398952,405284,403943,426186,464608,485654,494573,502631,484802,519102
 "21005","Anderson, KY",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",391942,427271,448742,429331,450670,455238,428921,426400,425477,428272,435877,453275,482348,439769,449442,472505,528642,513036,524132,509756,516628
