GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "22000","Louisiana",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",208617822,213079449,221774415,232712830,247773242,245500245,230367684,232150685,236411005,246836183,234975692,235384666,228452769,235355104,233015986,228428523,233351652,237298288,237044596,218421686,221152704
 "22000","Louisiana",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",88.628,90.524,94.218,98.865,105.263,104.297,97.869,98.626,100.436,104.865,99.826,100.000,97.055,99.987,98.994,97.045,99.136,100.813,100.705,92.794,93.954
 "22000","Louisiana",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",137901167,139800907,155092381,171006054,199594712,207773754,203041001,212392376,204906915,225308920,229944978,235384666,230832493,240737271,235113522,227090679,241213425,256677836,255481914,232527751,258571307
 "22001","Acadia, LA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1306610,1336384,1381091,1489646,1544239,1619653,1440620,1554567,1628769,1681845,1643300,1662706,1557266,1573685,1490169,1498478,1467726,1479353,1432590,1431208,1381811
 "22001","Acadia, LA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",78.583,80.374,83.063,89.592,92.875,97.411,86.643,93.496,97.959,101.151,98.833,100.000,93.659,94.646,89.623,90.123,88.273,88.973,86.160,86.077,83.106
 "22001","Acadia, LA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",932343,940387,1049399,1196257,1330304,1441015,1336756,1542060,1496237,1606264,1627731,1662706,1603647,1653574,1544207,1560367,1565882,1617013,1602897,1627122,1694121
 "22003","Allen, LA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",616542,609866,622449,685019,764902,755914,607811,609861,676878,630392,651460,663963,626891,609344,592073,623847,636506,649011,637342,627847,628420
 "22003","Allen, LA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",92.858,91.852,93.748,103.171,115.203,113.849,91.543,91.852,101.945,94.944,98.117,100.000,94.417,91.774,89.173,93.958,95.865,97.748,95.991,94.561,94.647
 "22003","Allen, LA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",449200,447890,484175,563013,669456,678551,563570,591225,631561,610192,640840,663963,651797,650584,629351,670528,701730,739552,737667,752154,822044
 "22005","Ascension, LA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",4324914,5761302,6039292,8482822,9917266,7737063,5730081,5364744,5818499,7384545,9871467,10555133,8622780,8289582,7978657,7792352,8314175,8370326,8784999,7691918,7939396
 "22005","Ascension, LA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",40.975,54.583,57.217,80.367,93.957,73.301,54.287,50.826,55.125,69.962,93.523,100.000,81.693,78.536,75.590,73.825,78.769,79.301,83.230,72.874,75.218
 "22005","Ascension, LA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2451324,3276849,3603378,5337766,7305654,6173191,4782372,4567364,5087275,6523325,9372551,10555133,8561507,8296104,8053478,7737303,8639883,9233025,9547461,8262618,9268625
 "22007","Assumption, LA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",871911,884522,777681,744091,569715,624462,583822,542274,567809,581975,578811,584715,587951,499882,447428,415851,438934,450190,464980,409604,404881
 "22007","Assumption, LA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",149.117,151.274,133.002,127.257,97.435,106.798,99.847,92.741,97.109,99.531,98.990,100.000,100.553,85.492,76.521,71.120,75.068,76.993,79.522,70.052,69.244
 "22007","Assumption, LA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",570042,542017,557838,575071,497893,553049,532430,543412,522290,554138,568433,584715,606903,526064,466225,439503,473932,498437,527006,474195,492391
 "22009","Avoyelles, LA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",704862,710806,732967,723073,754768,832298,742817,688947,784174,817421,890976,930170,904710,906827,816931,805928,846010,864920,844574,815911,814271
 "22009","Avoyelles, LA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",75.778,76.417,78.799,77.736,81.143,89.478,79.858,74.067,84.304,87.879,95.786,100.000,97.263,97.490,87.826,86.643,90.952,92.985,90.798,87.716,87.540
 "22009","Avoyelles, LA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",520183,534596,569373,583889,626544,712153,667405,633496,721514,770546,869704,930170,928972,941041,850564,845538,906346,947463,945864,937259,997746
 "22011","Beauregard, LA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",876492,940844,883299,918432,893256,924862,891006,948873,1000612,987253,1026199,1037476,981723,938983,931939,927072,928450,1013087,1032514,1067453,1058493
