GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "25000","Massachusetts",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",362663822,362581603,369007385,379086128,386803453,395535843,406421172,414919890,407219554,425792732,434494533,442916912,444874027,451568915,468060913,475349007,482808433,501541470,514170834,500000964,533102052
 "25000","Massachusetts",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",81.881,81.862,83.313,85.589,87.331,89.302,91.760,93.679,91.940,96.134,98.098,100.000,100.442,101.953,105.677,107.322,109.007,113.236,116.087,112.888,120.362
 "25000","Massachusetts",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",296868687,301836397,311188581,326737058,341993151,359269989,378519094,390778371,390504837,411136078,425522989,442916912,454321198,470468539,498851339,514637566,531007971,563054311,589904286,585150291,641332169
 "25001","Barnstable, MA",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",11078518,11185396,11199937,11503339,11325811,10824672,10863587,11315958,10778677,11066483,11273372,11181438,11240442,11473287,11566624,11555157,11486279,11753488,12089470,11317461,12083714
 "25001","Barnstable, MA",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",99.080,100.035,100.165,102.879,101.291,96.809,97.157,101.203,96.398,98.972,100.822,100.000,100.528,102.610,103.445,103.342,102.726,105.116,108.121,101.217,108.069
 "25001","Barnstable, MA",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",8577350,8876320,9088303,9606846,9776172,9681121,10031708,10631824,10336738,10685011,11030786,11181438,11489407,12000711,12449071,12740593,12919723,13534523,14306911,13742730,15150695
 "25003","Berkshire, MA",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",5777869,5932716,5796831,5964071,6124349,6057530,6073272,6256008,6072591,6200398,6268010,6541360,6550820,6584524,6610332,6550066,6340588,6453474,6291201,5957780,6184325
 "25003","Berkshire, MA",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",88.328,90.695,88.618,91.175,93.625,92.604,92.844,95.638,92.834,94.788,95.821,100.000,100.145,100.660,101.054,100.133,96.931,98.656,96.176,91.079,94.542
 "25003","Berkshire, MA",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",4398912,4607105,4586044,4850288,5140182,5266558,5453507,5749979,5761800,5921687,6098818,6541360,6703091,6889028,7130907,7226352,7126414,7412579,7398523,7167517,7682977
 "25005","Bristol, MA",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",20007712,20261236,20516840,20500611,20547263,21164295,21000347,21904068,20760540,21335213,21583455,21484891,21777520,22327032,23381774,23297288,23549296,23765918,24168737,23591993,24798881
 "25005","Bristol, MA",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",93.125,94.305,95.494,95.419,95.636,98.508,97.745,101.951,96.629,99.303,100.459,100.000,101.362,103.920,108.829,108.436,109.609,110.617,112.492,109.807,115.425
 "25005","Bristol, MA",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",15981214,16461714,16882584,17271342,17773188,18887266,19294858,20430671,19933426,20623897,21127554,21484891,22226944,23198159,24865768,25122856,25795376,26615855,27789874,27684802,30342482
