GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "24000","Maryland",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",261532899,270468358,278332027,290284609,301660640,305794065,306755830,314757562,311342204,325369659,332437229,332523489,334268912,339604626,348151781,360081957,366204383,367977415,368056406,352383974,368571090
 "24000","Maryland",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",78.651,81.338,83.703,87.297,90.719,91.962,92.251,94.657,93.630,97.849,99.974,100.000,100.525,102.130,104.700,108.288,110.129,110.662,110.686,105.973,110.841
 "24000","Maryland",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",205981023,217837095,228959348,245124547,262100044,274145308,282965582,295400197,299102709,314728307,326281229,332523489,340577621,352761345,369728056,387733401,400156999,410812185,420371307,410931043,443929939
 "24001","Allegany, MD",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",2715458,2694970,2646886,2609970,2578806,2543676,2526755,2545619,2500651,2679550,2663751,2643450,2533304,2555544,2588078,2727587,2790144,2800419,2767111,2552124,2530648
 "24001","Allegany, MD",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",102.724,101.949,100.130,98.733,97.555,96.226,95.585,96.299,94.598,101.366,100.768,100.000,95.833,96.675,97.905,103.183,105.549,105.938,104.678,96.545,95.733
 "24001","Allegany, MD",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2082510,2105525,2103781,2124348,2169245,2223620,2279755,2351892,2398990,2592509,2615345,2643450,2593358,2679062,2775076,2960677,3077604,3157002,3202039,3029705,3121772
 "24003","Anne Arundel, MD",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",26355393,27830310,29455709,31445296,33041518,33858691,34827805,36161424,36130669,37710655,39059195,39582380,41611993,42837103,43865305,45401925,46169193,46540044,46798602,44664419,46393893
 "24003","Anne Arundel, MD",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",66.584,70.310,74.416,79.443,83.475,85.540,87.988,91.357,91.280,95.271,98.678,100.000,105.128,108.223,110.820,114.702,116.641,117.578,118.231,112.839,117.208
 "24003","Anne Arundel, MD",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",21200937,22932069,24823125,27088834,29249122,30876569,32533080,34175756,34948077,36693173,38461030,39582380,42254704,44316901,46390650,48540451,50033476,51450834,52973445,51392915,54917192
 "24005","Baltimore, MD",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",39059117,40118217,40219569,41470895,43596083,44269319,44372892,44061239,43450361,45136482,44784628,44403856,44863840,45540983,46852977,48282618,48838142,50171654,51351406,47786908,49710537
