GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "23000","Maine",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",49471041,50910381,52209846,54256020,54926899,55448427,55359883,54653883,53630103,54304997,53789004,53679731,53239095,54037877,54425793,55565364,56469364,58099895,59553368,59881438,63594547
 "23000","Maine",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",92.160,94.841,97.262,101.074,102.323,103.295,103.130,101.815,99.908,101.165,100.204,100.000,99.179,100.667,101.390,103.513,105.197,108.234,110.942,111.553,118.470
 "23000","Maine",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",38605650,40466170,42315195,45209997,47078514,49045447,50459271,50713203,51123839,52256191,52575473,53679731,54470105,56410803,58131335,60254420,62253597,65477103,68690422,70740045,77963313
 "23001","Androscoggin, ME",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",3455053,3717752,3834321,3924543,3923131,3980837,4107040,4169430,4003212,3946847,3905083,4032657,3952046,4000070,4071771,4132657,4085241,4235842,4349255,4416232,4616143
 "23001","Androscoggin, ME",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",85.677,92.191,95.082,97.319,97.284,98.715,101.845,103.392,99.270,97.872,96.836,100.000,98.001,99.192,100.970,102.480,101.304,105.039,107.851,109.512,114.469
 "23001","Androscoggin, ME",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2692531,2948591,3101439,3274301,3362332,3524866,3749462,3877941,3786188,3784803,3810991,4032657,4039334,4157106,4308155,4422887,4445215,4704431,4941648,5136945,5614156
 "23003","Aroostook, ME",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",2123789,2211836,2217690,2307042,2481093,2509664,2473389,2327947,2287490,2320264,2195269,2212263,2190434,2151983,2188822,2267606,2289394,2353033,2327891,2353706,2369374
 "23003","Aroostook, ME",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",96.001,99.981,100.245,104.284,112.152,113.443,111.804,105.229,103.400,104.882,99.232,100.000,99.013,97.275,98.940,102.502,103.487,106.363,105.227,106.394,107.102
 "23003","Aroostook, ME",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1654326,1752583,1792440,1920844,2110749,2188464,2227822,2138585,2168842,2230651,2140175,2212263,2250081,2260088,2343309,2444630,2521564,2655510,2672080,2767907,2987405
 "23005","Cumberland, ME",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",15334583,15537044,16158312,16901789,17069691,17374966,17385753,17465430,17233431,17309399,17314392,17451929,17366031,17766101,17942751,18524389,19109055,19787148,20364448,20693160,22188011
 "23005","Cumberland, ME",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",87.868,89.028,92.588,96.848,97.810,99.559,99.621,100.077,98.748,99.183,99.212,100.000,99.508,101.800,102.812,106.145,109.495,113.381,116.689,118.572,127.138
 "23005","Cumberland, ME",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",12160568,12545775,13277422,14263121,14801428,15507073,15949095,16278679,16481827,16685477,16928741,17451929,17727318,18483990,19086921,20012806,20941263,22148390,23280376,24202272,26734991
 "23007","Franklin, ME",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1056980,1056571,1059069,1095857,1086391,1102646,1125928,1069401,983376,997830,1023871,1034908,1002159,992464,973959,955655,935068,963405,991835,964562,1004610
 "23007","Franklin, ME",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",102.133,102.093,102.335,105.889,104.975,106.545,108.795,103.333,95.021,96.417,98.934,100.000,96.836,95.899,94.111,92.342,90.353,93.091,95.838,93.203,97.072
 "23007","Franklin, ME",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",838523,845642,859110,906999,922243,972747,1021499,988832,948706,970930,1007540,1034908,1033176,1047893,1053745,1046132,1043293,1100138,1160657,1154756,1267871
 "23009","Hancock, ME",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",2217799,2352699,2287280,2397134,2342670,2311111,2229688,2337344,2248331,2332692,2259474,2189020,2128140,2156525,2192847,2149497,2145321,2170409,2262989,2224247,2400257
 "23009","Hancock, ME",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",101.315,107.477,104.489,109.507,107.019,105.577,101.858,106.776,102.709,106.563,103.218,100.000,97.219,98.516,100.175,98.194,98.004,99.150,103.379,101.609,109.650
 "23009","Hancock, ME",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1710346,1840263,1829366,1974288,1984582,2028397,2024678,2162226,2150833,2255699,2215314,2189020,2181114,2264280,2362427,2361876,2401167,2486455,2658142,2674180,2984921
 "23011","Kennebec, ME",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",4559298,4672998,4754986,4907677,4945510,5022188,5064204,5040886,4889298,4947072,4781679,4615524,4814560,4896968,4879615,4883719,4949059,5092180,5202587,5276391,5539402
 "23011","Kennebec, ME",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",98.782,101.245,103.022,106.330,107.149,108.811,109.721,109.216,105.932,107.183,103.600,100.000,104.312,106.098,105.722,105.811,107.226,110.327,112.719,114.318,120.017
 "23011","Kennebec, ME",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",3456720,3620175,3757290,4002567,4160205,4374781,4568785,4649174,4638198,4749093,4670642,4615524,4933139,5115223,5222606,5310134,5469442,5754413,6027144,6276943,6835571
 "23013","Knox, ME",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1590531,1677541,1718140,1748262,1727202,1658985,1556686,1538277,1460902,1498710,1507585,1476403,1434803,1483507,1539722,1544274,1574115,1578339,1664905,1660558,1772981
 "23013","Knox, ME",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",107.730,113.624,116.373,118.414,116.987,112.367,105.438,104.191,98.950,101.511,102.112,100.000,97.182,100.481,104.289,104.597,106.618,106.904,112.768,112.473,120.088
 "23013","Knox, ME",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1237067,1329990,1391906,1454804,1481469,1469672,1425634,1431949,1394790,1443524,1471766,1476403,1470447,1556395,1658940,1698738,1761294,1804427,1952395,1997002,2204572
 "23015","Lincoln, ME",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",943702,997374,1026372,1064701,1088596,1109390,1133789,1040281,1007583,1057538,1053575,1034181,985403,1015518,1026346,1016558,1022082,1047585,1089696,1085963,1191456
 "23015","Lincoln, ME",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",91.251,96.441,99.245,102.951,105.262,107.272,109.632,100.590,97.428,102.259,101.875,100.000,95.283,98.195,99.242,98.296,98.830,101.296,105.368,105.007,115.208
 "23015","Lincoln, ME",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",731695,790699,832518,891347,937477,987343,1048031,978296,960954,1017318,1028798,1034181,1009444,1063895,1104927,1117924,1146044,1201528,1282488,1312780,1490520
