GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "26000","Michigan",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",425103178,436802225,443652165,448888288,457137714,449853467,446943163,420973963,383140065,404216855,414834359,422691167,428737594,434313156,443831225,452325219,457614042,466559436,467106974,448455330,481778025
 "26000","Michigan",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",100.571,103.338,104.959,106.198,108.149,106.426,105.738,99.594,90.643,95.629,98.141,100.000,101.430,102.750,105.001,107.011,108.262,110.378,110.508,106.095,113.979
 "26000","Michigan",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",349885798,363660834,374174213,385621131,400268861,401868976,409615368,390420891,368733770,390042962,404554710,422691167,437274423,451773208,474983329,490263998,502130398,520245090,532216994,520105276,572205845
 "26001","Alcona, MI",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",200343,207553,210850,214405,222156,207931,235613,210680,197679,202901,191186,190567,199086,189325,189861,192233,202852,207218,204532,202615,193731
 "26001","Alcona, MI",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",105.130,108.913,110.643,112.509,116.576,109.112,123.638,110.554,103.732,106.472,100.325,100.000,104.470,99.348,99.629,100.874,106.447,108.738,107.328,106.322,101.660
 "26001","Alcona, MI",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",157090,166540,173717,182088,193576,186633,218588,199598,190890,196995,187973,190567,203896,198519,202149,207852,223570,233101,235878,239442,240322
 "26003","Alger, MI",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",277069,280903,272825,280957,305051,288595,268582,212612,224779,223188,197975,210908,210124,214219,208561,207386,220093,222567,223624,217279,229279
 "26003","Alger, MI",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",131.369,133.187,129.357,133.213,144.637,136.834,127.345,100.808,106.577,105.822,93.868,100.000,99.628,101.569,98.887,98.330,104.355,105.528,106.029,103.020,108.710
 "26003","Alger, MI",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",217352,224536,221930,234830,261258,255797,245084,197476,215353,216867,193882,210908,217780,227062,226373,228232,247917,257142,262747,259370,286794
 "26005","Allegan, MI",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",3540795,3588385,3711675,4001684,4056214,3995591,3915476,3768579,3441021,3635623,3779055,3712551,3797359,3641902,3699997,3915267,3909541,4212030,4129977,4155903,4308063
