GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "27000","Minnesota",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",247599396,253478444,264165919,275560077,284636949,284381954,286299204,288420642,277494084,287140134,293783150,298328302,305486423,314091330,318913222,324030294,327483228,336892243,340557127,328489541,346204304
 "27000","Minnesota",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",82.996,84.966,88.549,92.368,95.411,95.325,95.968,96.679,93.016,96.250,98.476,100.000,102.399,105.284,106.900,108.615,109.773,112.927,114.155,110.110,116.048
 "27000","Minnesota",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",196006103,203713754,215721824,231267116,245380521,252295934,262063145,267420614,262088933,274231335,287039334,298328302,311126364,324751364,335530173,344060818,353664935,372011280,383956557,376814364,412458614
 "27001","Aitkin, MN",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",366554,394834,390401,408789,447780,393334,420820,397979,400689,426005,406167,374216,366178,345671,408696,412524,428300,425275,445115,434588,457384
 "27001","Aitkin, MN",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",97.953,105.510,104.325,109.239,119.658,105.109,112.454,106.350,107.075,113.840,108.538,100.000,97.852,92.372,109.214,110.237,114.453,113.644,118.946,116.133,122.225
 "27001","Aitkin, MN",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",283490,312866,316482,341139,384899,349328,383765,369482,381107,407882,396909,374216,375822,363380,440723,453404,480195,488677,526345,529300,579183
 "27003","Anoka, MN",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",9406124,9932219,10703454,11087779,11682671,11919248,11778712,11705353,11054937,11805269,12108598,12323978,12672257,13185883,13481599,13737769,13648635,14229613,14477062,13926522,14743564
 "27003","Anoka, MN",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",76.324,80.593,86.851,89.969,94.796,96.716,95.576,94.980,89.703,95.791,98.252,100.000,102.826,106.994,109.393,111.472,110.749,115.463,117.471,113.003,119.633
 "27003","Anoka, MN",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",8060489,8628920,9318387,9788161,10552928,10961672,11004657,11020229,10768080,11428577,11832236,12323978,12929641,13653632,14291635,14740256,14826367,15745321,16462065,16214306,17680040
 "27005","Becker, MN",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",933797,965450,1033238,1066410,1105686,1084195,1087972,1081088,1022586,1125697,1163232,1227638,1230751,1244002,1235886,1308301,1301440,1337395,1330162,1291641,1368127
