GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "29000","Missouri",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",243060396,247437120,252677326,259741416,265735080,267221098,267691158,273436218,266834878,270732917,268533828,271535143,274599267,276080683,279020850,279109151,281253345,284540264,290619535,282754114,295687293
 "29000","Missouri",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",89.513,91.125,93.055,95.657,97.864,98.411,98.584,100.700,98.269,99.705,98.895,100.000,101.128,101.674,102.757,102.789,103.579,104.789,107.028,104.132,108.895
 "29000","Missouri",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",190657100,197557693,205588494,217084232,227971272,236385981,244331336,254045769,253317655,259816135,262067060,271535143,280571033,287507453,296929326,300914508,308002320,318153534,332485836,330249929,358571975
 "29001","Adair, MO",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",729129,728202,717328,740144,779069,787049,772581,770295,778335,805225,845858,717462,740759,741410,734374,704943,722099,733931,736266,714698,714345
 "29001","Adair, MO",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",101.626,101.497,99.981,103.161,108.587,109.699,107.682,107.364,108.484,112.232,117.896,100.000,103.247,103.338,102.357,98.255,100.646,102.295,102.621,99.615,99.565
 "29001","Adair, MO",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",572638,585021,589248,622385,670583,696639,707129,719690,744197,779589,821042,717462,759233,775040,785981,769021,798634,826548,850205,854026,887363
 "29003","Andrew, MO",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",231876,244331,233721,275302,260731,253025,254542,254515,276243,263080,257436,248911,291673,286612,245326,270017,275078,259903,314522,306581,309059
 "29003","Andrew, MO",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",93.156,98.160,93.897,110.603,104.749,101.653,102.262,102.251,110.980,105.692,103.425,100.000,117.180,115.146,98.559,108.479,110.512,104.416,126.359,123.169,124.164
 "29003","Andrew, MO",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",172285,185515,182879,224947,217416,218516,231908,236111,252006,246973,251680,248911,297598,292651,254378,280906,295841,285435,350486,347282,383355
 "29005","Atchison, MO",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",181839,164201,170756,189671,191442,194456,201456,222767,305634,284930,271137,279853,308278,297870,189914,274618,257461,279176,309956,322709,371646
