GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",4922832,4979332,5058616,5174625,5295114,5724189,5898491,5973018,5821603,6010804,6061340,6222396,6253651,6335952,6215814,6113607,6253877,6556129,6794629,7068659,7312264
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",79.115,80.023,81.297,83.161,85.098,91.993,94.795,95.992,93.559,96.600,97.412,100.000,100.502,101.825,99.894,98.252,100.506,105.363,109.196,113.600,117.515
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",3690450,3805509,3997893,4229906,4502185,5035727,5368287,5616001,5482542,5773779,5954478,6222396,6398066,6610626,6538116,6505407,6772596,7268801,7707308,8185967,8848793
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",28478470,29606054,30443223,31100063,31921117,31636803,32168886,31729365,29800947,30541931,30657593,30947890,31395241,32017695,32174517,32246910,32750023,33233124,33843587,32181406,34041126
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",92.021,95.664,98.369,100.492,103.145,102.226,103.945,102.525,96.294,98.688,99.062,100.000,101.445,103.457,103.964,104.197,105.823,107.384,109.357,103.986,109.995
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",22416747,23693445,24755083,25972705,27424998,28039409,29348477,29494311,28449041,29350515,29926115,30947890,32075978,33246962,34206216,34783337,35797045,37093468,38661530,37504574,41058875
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",5500407,5563164,5592672,5616384,5731306,5579562,5425194,5325589,5239598,5079304,5183359,5239023,5216222,5108418,5072873,5138393,5107716,5092784,5225312,5134467,5210366
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",104.989,106.187,106.750,107.203,109.396,106.500,103.554,101.652,100.011,96.951,98.937,100.000,99.565,97.507,96.829,98.079,97.494,97.209,99.738,98.004,99.453
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",4256874,4393812,4496447,4620497,4823816,4846320,4875114,4891620,4931969,4858699,5054553,5239023,5341391,5339013,5425446,5586568,5645011,5747573,6038750,6071927,6462473
 "10540","Albany-Lebanon, OR (Metropolitan Statistical Area)", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",3403158,3607466,3462933,3711971,3818544,4059596,3780852,3728555,3646450,3598066,3629679,3669759,3723626,3808198,3978791,4202318,4171906,4440513,4494651,4384157,4523198
 "10540","Albany-Lebanon, OR (Metropolitan Statistical Area)", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",92.735,98.303,94.364,101.150,104.054,110.623,103.027,101.602,99.365,98.046,98.908,100.000,101.468,103.772,108.421,114.512,113.683,121.003,122.478,119.467,123.256
