GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "28000","Mississippi",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",87309453,88569443,92354738,94482577,96820668,99005823,100211769,101777631,98000650,98601055,98515807,100448438,100331232,100283629,100482408,101255284,101245260,100872670,100982843,100526905,104353464
 "28000","Mississippi",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",86.920,88.174,91.942,94.061,96.388,98.564,99.764,101.323,97.563,98.161,98.076,100.000,99.883,99.836,100.034,100.803,100.793,100.422,100.532,100.078,103.888
 "28000","Mississippi",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",67173992,69259862,73961887,77998008,82448498,87099454,91191424,94514472,91792234,93943137,96218014,100448438,102371034,104300261,105914598,107291352,109600793,112201678,114234372,115123433,127307664
 "28001","Adams, MS",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",974564,1006668,935885,902993,913364,959100,913974,1084491,940531,885552,890155,923514,969326,934339,907047,890117,876541,880534,870059,830728,846255
 "28001","Adams, MS",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",105.528,109.004,101.340,97.778,98.901,103.853,98.967,117.431,101.843,95.889,96.388,100.000,104.961,101.172,98.217,96.384,94.914,95.346,94.212,89.953,91.634
 "28001","Adams, MS",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",752463,784080,752487,750086,794485,867534,856326,1042782,872025,847068,874030,923514,995529,976518,928189,918469,930222,963442,966596,930663,1022410
 "28003","Alcorn, MS",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",912144,938579,967221,989291,997372,1036449,1001871,1029588,994492,1001317,1003957,1120731,1157591,1112607,1120669,1086222,1069836,1118592,1117379,1127958,1182364
 "28003","Alcorn, MS",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",81.388,83.747,86.303,88.272,88.993,92.480,89.394,91.868,88.736,89.345,89.581,100.000,103.289,99.275,99.995,96.921,95.459,99.809,99.701,100.645,105.499
 "28003","Alcorn, MS",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",757762,786290,815259,843520,870861,930360,918704,951178,951917,963240,981722,1120731,1183938,1160747,1201154,1184231,1177506,1255073,1289627,1339122,1450096
 "28005","Amite, MS",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",191371,192558,189713,213821,214140,203065,177387,193662,179273,174383,157519,173908,191822,215693,212539,214681,226696,232485,225075,216464,220800
 "28005","Amite, MS",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",110.041,110.724,109.088,122.951,123.134,116.765,102.000,111.359,103.085,100.273,90.576,100.000,110.301,124.027,122.214,123.445,130.354,133.683,129.422,124.470,126.963
 "28005","Amite, MS",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",156665,158517,162848,197335,197027,187540,164870,182235,164956,165925,154311,173908,198670,224508,214494,213270,233325,243061,237207,233015,269070
 "28007","Attala, MS",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",426200,543385,455927,435212,500291,489700,490641,507944,473111,480534,503442,481655,481827,513493,482889,471402,450646,428140,411162,447270,449883
 "28007","Attala, MS",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",88.486,112.816,94.658,90.358,103.869,101.670,101.866,105.458,98.226,99.767,104.523,100.000,100.036,106.610,100.256,97.871,93.562,88.889,85.364,92.861,93.403
 "28007","Attala, MS",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",328464,424730,365106,359578,426886,435227,449698,472483,458527,466495,495356,481655,494959,546719,523764,512447,499561,486320,477145,525010,573776
