GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "30000","Montana",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",31532614,32503668,33810537,35528617,37373938,38577557,40438290,40471099,39513414,40793749,41875685,42340869,42968239,43829121,45395732,44436808,45974276,46584123,46886242,46750440,48976203
 "30000","Montana",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",74.473,76.767,79.853,83.911,88.269,91.112,95.507,95.584,93.322,96.346,98.901,100.000,101.482,103.515,107.215,104.950,108.581,110.022,110.735,110.414,115.671
 "30000","Montana",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",22847617,23942069,25714882,28160519,30875789,33166094,36233233,37224917,36187752,38336057,40995063,42340869,43687893,45177210,46604059,45490901,48533884,50916937,51925448,52355835,58699848
 "30001","Beaverhead, MT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",300549,271671,289639,313196,354781,331608,334863,327299,332714,315735,341064,327893,362945,404303,432306,431850,384523,376217,418391,403245,386950
 "30001","Beaverhead, MT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",91.661,82.854,88.334,95.518,108.200,101.133,102.126,99.819,101.470,96.292,104.017,100.000,110.690,123.303,131.844,131.705,117.271,114.738,127.600,122.981,118.011
 "30001","Beaverhead, MT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",217584,201286,220939,250772,290770,282696,297640,300669,311929,302030,334533,327893,369049,409200,422862,410083,378575,377568,426962,419788,434398
 "30003","Big Horn, MT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",498917,444396,516066,583174,643422,650124,688158,770935,695932,664834,685001,690251,979677,1001659,1019095,825367,892422,934611,835417,791010,668996
 "30003","Big Horn, MT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",72.281,64.382,74.765,84.487,93.216,94.187,99.697,111.689,100.823,96.318,99.239,100.000,141.931,145.115,147.641,119.575,129.289,135.402,121.031,114.597,96.921
 "30003","Big Horn, MT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",312049,284518,342575,408457,478287,517631,571370,692630,617202,609496,665494,690251,989444,1011791,996682,791111,898208,968983,885149,849092,758401
 "30005","Blaine, MT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",160847,146252,153117,176470,189930,154739,193337,172897,241560,222654,194528,190226,196537,205098,207027,167942,174044,188679,182706,182556,188973
 "30005","Blaine, MT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",84.556,76.884,80.493,92.769,99.845,81.345,101.636,90.891,126.986,117.047,102.262,100.000,103.318,107.818,108.832,88.285,91.493,99.187,96.047,95.968,99.341
 "30005","Blaine, MT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",107316,97113,110238,135955,150723,126611,169104,160465,193695,195301,192571,190226,202582,206896,190831,150155,161951,179031,173572,173767,213699
 "30007","Broadwater, MT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",99966,108733,96042,103135,108661,95940,115080,154058,142739,131664,128057,112026,137026,140357,152573,172382,165306,167934,180342,173183,169666
 "30007","Broadwater, MT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",89.234,97.060,85.731,92.063,96.996,85.640,102.726,137.519,127.416,117.530,114.310,100.000,122.315,125.289,136.194,153.877,147.560,149.906,160.981,154.591,151.452
 "30007","Broadwater, MT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",74906,81947,75484,85964,91194,82685,102714,142214,125031,121004,124571,112026,140558,145541,156197,173185,172747,177813,193044,190009,209016
 "30009","Carbon, MT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",189192,188484,193621,214822,212778,220733,210471,198135,207218,208234,209717,255438,272881,296619,336921,356839,358361,353655,361754,347738,352713
 "30009","Carbon, MT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",74.066,73.789,75.800,84.099,83.299,86.414,82.396,77.567,81.123,81.520,82.101,100.000,106.828,116.121,131.899,139.697,140.293,138.450,141.621,136.134,138.082
 "30009","Carbon, MT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",141025,142203,152366,177608,180764,194141,194447,189808,194536,200596,206660,255438,280121,308517,343073,356006,372553,373803,388473,378960,413574
 "30011","Carter, MT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",39916,25056,27137,26291,38208,25495,33863,24016,23844,23918,29734,61833,58756,94880,105032,113150,72095,52902,48448,55302,45546
 "30011","Carter, MT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",64.554,40.522,43.888,42.520,61.793,41.233,54.766,38.840,38.561,38.682,48.087,100.000,95.024,153.445,169.864,182.993,116.596,85.557,78.353,89.438,73.659
 "30011","Carter, MT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",30537,18881,21487,22294,30845,20658,30844,22401,20949,21834,29100,61833,60448,91947,88658,84739,57634,42245,39066,45264,42992
 "30013","Cascade, MT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",2760815,2844008,2853020,2984298,3200872,3166302,3232363,3169649,3160861,3254685,3283527,3289033,3207604,3178863,3275460,3250618,3428457,3436785,3365495,3277255,3376263
 "30013","Cascade, MT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",83.940,86.469,86.743,90.735,97.320,96.268,98.277,96.370,96.103,98.956,99.833,100.000,97.524,96.650,99.587,98.832,104.239,104.492,102.325,99.642,102.652
 "30013","Cascade, MT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2022383,2133440,2201235,2376758,2660499,2740706,2906715,2894275,2930121,3072411,3201225,3289033,3258135,3292344,3449618,3442672,3720802,3866073,3840527,3802220,4150622
 "30015","Chouteau, MT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",102682,151826,197550,175226,172800,193895,220673,241512,130348,200077,227673,225411,218071,176179,169160,135760,202633,265993,272348,288884,188245
 "30015","Chouteau, MT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",45.553,67.355,87.640,77.736,76.660,86.018,97.898,107.143,57.827,88.761,101.004,100.000,96.744,78.159,75.045,60.228,89.895,118.003,120.823,128.158,83.512
 "30015","Chouteau, MT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",66007,97830,136626,134364,125271,140396,188310,209687,103915,168008,221448,225411,224515,176204,161813,128974,199058,261379,267638,285219,223471
 "30017","Custer, MT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",325505,324026,342105,350606,361225,371589,389943,378563,383580,419125,427787,459446,483469,501655,515483,449908,448479,427366,432556,421071,451344
 "30017","Custer, MT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",70.847,70.525,74.460,76.311,78.622,80.878,84.873,82.396,83.488,91.224,93.109,100.000,105.229,109.187,112.197,97.924,97.613,93.018,94.147,91.648,98.237
 "30017","Custer, MT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",242935,247848,269265,285673,302214,322370,354667,352157,358691,398578,415358,459446,495603,522754,539869,473438,482287,472705,492462,491911,552917
 "30019","Daniels, MT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",81043,90716,75767,83794,81462,79457,92582,59464,89489,150113,81866,153032,115647,93857,82812,86321,96622,89428,94377,111887,114408
 "30019","Daniels, MT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",52.958,59.279,49.511,54.756,53.232,51.922,60.499,38.857,58.477,98.093,53.496,100.000,75.570,61.332,54.114,56.407,63.138,58.437,61.672,73.113,74.761
 "30019","Daniels, MT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",58847,64947,56613,66417,62158,60817,77744,50382,73413,131476,80045,153032,118446,94147,81579,84567,96249,89923,96248,114738,134331
 "30021","Dawson, MT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",306980,292532,299635,286706,320519,310925,334080,332494,325080,355593,345914,388712,419584,436209,414405,433709,411021,417627,387416,410785,404693
 "30021","Dawson, MT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",78.974,75.257,77.084,73.758,82.457,79.989,85.945,85.537,83.630,91.480,88.990,100.000,107.942,112.219,106.610,111.576,105.739,107.439,99.667,105.678,104.111
 "30021","Dawson, MT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",222578,213972,226213,224977,258614,261581,294144,305341,297052,336238,340109,388712,432580,452684,419629,435734,425503,440816,420970,453220,480780
 "30023","Deer Lodge, MT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",194440,199884,198993,202805,204458,204593,213461,220747,217236,231681,247216,242970,254993,246390,245939,243055,241090,236988,245421,242198,254226
 "30023","Deer Lodge, MT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",80.026,82.267,81.900,83.469,84.149,84.205,87.855,90.853,89.408,95.354,101.747,100.000,104.948,101.408,101.222,100.035,99.226,97.538,101.009,99.682,104.632
 "30023","Deer Lodge, MT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",147425,156109,159407,167900,175398,181935,197125,208375,207977,224085,242657,242970,260849,257957,263642,265143,268645,270949,288143,292702,318303
 "30025","Fallon, MT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",150029,169533,175697,189259,223870,234942,241055,250038,303154,279691,294008,362470,331469,318987,295873,249253,243732,225656,222886,248223,225770
 "30025","Fallon, MT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",41.391,46.772,48.472,52.214,61.762,64.817,66.503,68.982,83.636,77.162,81.112,100.000,91.447,88.004,81.627,68.765,67.242,62.255,61.491,68.481,62.287
 "30025","Fallon, MT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",92635,98036,124979,151304,209399,225587,244166,305185,250774,271394,308363,362470,346425,333168,249625,200854,214452,212266,197969,193013,241175
 "30027","Fergus, MT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",337423,315709,338709,340560,359692,325122,370787,361913,337316,379846,359014,393186,410876,404193,412171,415016,497134,472415,464140,443898,487551
 "30027","Fergus, MT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",85.818,80.295,86.145,86.616,91.482,82.689,94.303,92.046,85.791,96.607,91.309,100.000,104.499,102.799,104.829,105.552,126.437,120.151,118.046,112.898,124.000
 "30027","Fergus, MT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",252994,240788,264990,278333,296599,276779,332568,330535,311811,356580,349916,393186,421713,418888,430847,439885,539352,524032,532445,518773,601714
 "30029","Flathead, MT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",2533464,2603119,2708916,2855592,3108672,3318522,3445942,3350529,3085038,3181901,3192677,3185775,3329695,3441603,3653851,3766314,3739417,3775056,3796562,3834389,4240912
 "30029","Flathead, MT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",79.524,81.711,85.032,89.636,97.580,104.167,108.167,105.172,96.838,99.878,100.217,100.000,104.518,108.030,114.693,118.223,117.379,118.497,119.172,120.360,133.120
 "30029","Flathead, MT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1974907,2072449,2204776,2410297,2710854,2991901,3192810,3152377,2943828,3066503,3116438,3185775,3418189,3627159,3931352,4131169,4186253,4339521,4479120,4642018,5351129
 "30031","Gallatin, MT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",2324833,2475281,2741156,3132943,3434915,3685006,3810847,3822396,3627687,3651557,3885607,4014347,4176707,4382914,4615240,4821599,5111548,5353757,5710601,5896702,6583612
 "30031","Gallatin, MT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",57.913,61.661,68.284,78.044,85.566,91.796,94.931,95.218,90.368,90.963,96.793,100.000,104.044,109.181,114.969,120.109,127.332,133.366,142.255,146.891,164.002
 "30031","Gallatin, MT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1783860,1935119,2190431,2583156,2923767,3254073,3483052,3554595,3436302,3492001,3797899,4014347,4267940,4572247,4926434,5222047,5638075,6032996,6602594,6983025,8088790
 "30033","Garfield, MT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",46125,29257,44959,36746,53398,32430,44281,35162,32567,54144,46104,54010,43514,54370,65917,41391,39524,43383,37056,43404,40600
 "30033","Garfield, MT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",85.401,54.169,83.243,68.037,98.868,60.044,81.987,65.104,60.299,100.249,85.363,100.000,80.567,100.667,122.046,76.636,73.179,80.324,68.610,80.364,75.172
 "30033","Garfield, MT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",31337,19660,31998,28688,38876,23630,36312,29261,24960,44649,44920,54010,44780,53950,59679,35732,35315,39659,34609,41285,42518
 "30035","Glacier, MT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",336592,339384,331984,374225,395390,428137,369796,424435,475046,403838,422119,439029,421588,425570,421810,434283,361006,449461,460996,443343,391759
 "30035","Glacier, MT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",76.667,77.303,75.618,85.239,90.060,97.519,84.230,96.676,108.204,91.984,96.148,100.000,96.027,96.934,96.078,98.919,82.228,102.376,105.003,100.983,89.233
 "30035","Glacier, MT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",246196,251235,256849,305394,326183,361182,338503,402314,416109,373365,415411,439029,434275,439038,419581,424367,363717,463380,479818,467558,456199
 "30037","Golden Valley, MT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",15678,25178,16765,17046,18579,26147,20962,30004,22799,20982,25150,23484,31598,26098,31634,25990,24866,24825,26088,26933,20852
 "30037","Golden Valley, MT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",66.761,107.217,71.391,72.588,79.113,111.340,89.260,127.765,97.085,89.348,107.096,100.000,134.553,111.133,134.705,110.672,105.888,105.711,111.091,114.687,88.795
 "30037","Golden Valley, MT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",10025,16095,11194,11907,13742,20117,17652,26719,19736,19009,24623,23484,31854,25954,30609,24731,24615,25052,26601,27758,23761
