GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "37000","North Carolina",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",359617007,364870435,373987633,389210106,409003910,434209199,438960122,450537973,431955266,437836530,443288682,445095326,452056194,462253084,475096601,482968930,495221255,501564922,512834821,506658119,541933756
 "37000","North Carolina",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",80.796,81.976,84.024,87.444,91.891,97.554,98.622,101.223,97.048,98.369,99.594,100.000,101.564,103.855,106.740,108.509,111.262,112.687,115.219,113.831,121.757
 "37000","North Carolina",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",288069453,297846443,310388904,329878939,355469671,387525019,401490941,418793405,411155805,420027598,431722705,445095326,462268916,483191306,508928714,526029785,548522131,567836153,594520997,598915916,662120757
 "37001","Alamance, NC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",4644432,4891409,4884739,5145291,5208078,5373473,5291765,5219094,4832993,5026621,5152658,5115980,5320042,5410479,5376865,5576629,5504462,5531239,5699327,5628997,6083266
 "37001","Alamance, NC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",90.783,95.610,95.480,100.573,101.800,105.033,103.436,102.016,94.469,98.253,100.717,100.000,103.989,105.756,105.099,109.004,107.593,108.117,111.402,110.028,118.907
 "37001","Alamance, NC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",3723297,3990458,4029193,4335712,4498437,4767331,4821228,4829555,4644606,4848493,5020364,5115980,5430463,5641638,5778882,6114513,6099224,6234932,6587496,6682943,7440110
 "37003","Alexander, NC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",718346,733142,756192,796214,802900,831476,781693,688441,651300,688301,654282,666162,693188,747231,773603,768930,811914,774378,762322,722417,786011
 "37003","Alexander, NC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",107.834,110.055,113.515,119.523,120.526,124.816,117.343,103.344,97.769,103.323,98.217,100.000,104.057,112.170,116.128,115.427,121.879,116.245,114.435,108.445,117.991
 "37003","Alexander, NC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",566688,587602,617083,659073,675526,714240,703041,628645,618577,657572,637134,666162,710247,775357,813180,810853,873058,845515,857214,834557,946347
 "37005","Alleghany, NC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",297123,322580,315902,342550,326392,348410,311757,292398,282583,282659,280817,274351,297141,299347,300978,298772,291741,278014,268612,256245,263602
 "37005","Alleghany, NC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",108.300,117.579,115.145,124.858,118.968,126.994,113.634,106.578,103.000,103.028,102.357,100.000,108.307,109.111,109.705,108.901,106.339,101.335,97.908,93.400,96.082
 "37005","Alleghany, NC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",223781,243493,247969,282745,270790,296588,276921,266173,259878,265743,273475,274351,304385,315455,327049,332246,330996,324008,321089,314819,341415
 "37007","Anson, NC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",777346,734744,701697,735774,717528,746450,728450,708011,675694,709350,683750,690823,702505,764218,817764,806048,790641,830844,747173,693108,728910
 "37007","Anson, NC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",112.525,106.358,101.574,106.507,103.866,108.052,105.447,102.488,97.810,102.682,98.976,100.000,101.691,110.624,118.375,116.679,114.449,120.269,108.157,100.331,105.513
 "37007","Anson, NC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",576569,552600,537868,583145,580617,620165,634170,633758,629604,668843,665825,690823,721308,794607,850991,830065,836656,891391,816782,773594,891371
 "37009","Ashe, NC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",672467,720071,702732,722812,728740,760074,708519,732693,724123,771619,724083,764847,725693,688711,663437,692565,711934,738418,741809,725171,761013
 "37009","Ashe, NC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",87.922,94.146,91.879,94.504,95.279,99.376,92.635,95.796,94.676,100.885,94.670,100.000,94.881,90.046,86.741,90.549,93.082,96.545,96.988,94.813,99.499
 "37009","Ashe, NC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",527335,571402,569341,601700,618506,663699,642810,674614,681418,733085,704798,764847,743094,719138,713553,760969,795602,841313,868071,869706,934126
 "37011","Avery, NC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",536608,569246,553450,544531,574378,555987,567524,540320,549231,580191,557439,597673,568125,553981,533462,550861,555981,576043,576718,563415,598491
 "37011","Avery, NC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",89.783,95.244,92.601,91.109,96.102,93.025,94.956,90.404,91.895,97.075,93.268,100.000,95.056,92.690,89.257,92.168,93.024,96.381,96.494,94.268,100.137
 "37011","Avery, NC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",408539,439127,442200,452977,486912,486965,517196,502542,519413,553804,544097,597673,581665,579430,574593,606842,624682,663407,682642,686697,751912
 "37013","Beaufort, NC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1735636,1640444,1628621,1416382,1525006,1621319,1815774,1738483,1709868,1636184,1685456,1734929,1912382,1980132,1958365,2194042,2058473,1884213,1785997,1766243,1816515
 "37013","Beaufort, NC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",100.041,94.554,93.872,81.639,87.900,93.452,104.660,100.205,98.556,94.308,97.148,100.000,110.228,114.133,112.879,126.463,118.649,108.605,102.944,101.805,104.703
 "37013","Beaufort, NC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1307013,1254062,1267184,1128297,1235360,1344438,1560694,1546550,1588896,1530126,1629164,1734929,1959728,2076317,2121843,2425058,2324540,2169186,2101453,2117597,2273793
 "37015","Bertie, NC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",922182,792281,777057,803740,788652,873756,860631,774726,769366,692034,635528,623090,627533,641602,691355,653855,665174,597633,636534,590754,627875
 "37015","Bertie, NC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",148.001,127.154,124.710,128.993,126.571,140.229,138.123,124.336,123.476,111.065,101.996,100.000,100.713,102.971,110.956,104.937,106.754,95.914,102.158,94.810,100.768
 "37015","Bertie, NC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",698660,626195,617690,638626,637872,707080,709846,673034,716037,653507,606459,623090,642027,670565,735031,700706,722670,649612,703441,672276,761344
 "37017","Bladen, NC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",2075565,1654409,1803858,1999765,2039775,2308510,2032554,1793937,1734265,1732074,1646493,1481236,1427268,1391770,1395668,1356938,1406648,1398165,1324323,1324746,1363558
 "37017","Bladen, NC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",140.124,111.691,121.781,135.006,137.708,155.850,137.220,121.111,117.082,116.934,111.157,100.000,96.357,93.960,94.223,91.608,94.964,94.392,89.407,89.435,92.055
 "37017","Bladen, NC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1620864,1356806,1475036,1622616,1666955,1864215,1662916,1542610,1599850,1618377,1565353,1481236,1457980,1440562,1455485,1419239,1482037,1466920,1416879,1466319,1602149
 "37019","Brunswick, NC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",2932116,2857927,2979518,3350796,3534408,3620832,3645966,3655408,3608295,3774854,3797238,3831635,3795098,3869514,4038863,4327987,4453254,4358493,4286910,4230756,4436023
