GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "38000","North Dakota",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",24909885,26290839,27870430,28284125,29345234,30590116,32022235,34256449,35244403,37917217,42340783,51832557,52892393,57790023,56542420,52974585,54187065,55914207,56385363,53653579,53803554
 "38000","North Dakota",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",48.058,50.723,53.770,54.568,56.615,59.017,61.780,66.091,67.997,73.153,81.688,100.000,102.045,111.494,109.087,102.203,104.543,107.875,108.784,103.513,103.803
 "38000","North Dakota",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",18889126,20194681,22061061,23259041,24699993,26500651,29075414,31874447,32226008,35676151,41587672,51832557,54270999,59926288,55996894,51989212,55394714,59248678,59199242,54422917,63559623
 "38001","Adams, ND",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",79124,65809,93012,89833,96189,106640,104985,90108,102747,102040,99509,132715,113565,116892,140475,127250,114041,120857,139763,100779,100801
 "38001","Adams, ND",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",59.619,49.587,70.084,67.689,72.478,80.353,79.106,67.896,77.420,76.887,74.980,100.000,85.571,88.078,105.847,95.882,85.929,91.065,105.310,75.937,75.953
 "38001","Adams, ND",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",57301,48229,70682,73040,76042,84769,93170,81080,87758,91598,96922,132715,116139,118962,139369,124328,114437,123855,147074,108076,114059
 "38003","Barnes, ND",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",345611,363132,381547,388441,404131,391120,437184,504608,460625,536070,507534,616215,542431,547755,574580,514478,541268,552896,590482,564039,556185
 "38003","Barnes, ND",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",56.086,58.929,61.918,63.037,65.583,63.471,70.947,81.888,74.751,86.994,82.363,100.000,88.026,88.890,93.243,83.490,87.838,89.724,95.824,91.533,90.258
 "38003","Barnes, ND",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",255697,271483,293743,312300,325637,322796,383801,450581,400110,481785,493727,616215,558434,574978,615150,553223,595946,616357,671974,649913,719694
 "38005","Benson, ND",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",136254,155550,202182,158490,179249,177983,213538,229469,232377,222581,243001,287702,239947,213890,194727,203988,226772,270117,220420,230128,239496
 "38005","Benson, ND",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",47.359,54.066,70.275,55.088,62.304,61.864,74.222,79.759,80.770,77.365,84.463,100.000,83.401,74.344,67.684,70.902,78.822,93.888,76.614,79.988,83.244
 "38005","Benson, ND",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",95608,111878,152160,126354,144547,147037,192923,211762,200352,200963,236325,287702,247650,220110,200115,207894,239074,287305,237078,251754,305725
 "38007","Billings, ND",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",35438,38267,37406,47758,58475,71245,71469,58559,76343,77915,89253,137521,136290,156229,155848,144998,159012,147467,190908,272246,212103
 "38007","Billings, ND",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",25.769,27.827,27.200,34.728,42.521,51.807,51.969,42.582,55.514,56.657,64.902,100.000,99.105,113.604,113.326,105.437,115.627,107.232,138.821,197.967,154.233
 "38007","Billings, ND",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",23703,24251,28381,40063,54836,67080,73694,74173,62189,75621,94518,137521,142476,162910,126993,112173,135862,136498,165177,216241,216878
 "38009","Bottineau, ND",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",195100,222827,255926,188594,215013,203321,274807,340723,394656,340509,359874,471773,476886,525907,410540,361038,396743,544928,440285,429660,402573
 "38009","Bottineau, ND",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",41.355,47.232,54.248,39.976,45.576,43.097,58.250,72.222,83.654,72.176,76.281,100.000,101.084,111.475,87.021,76.528,84.096,115.506,93.326,91.073,85.332
 "38009","Bottineau, ND",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",141131,161515,196317,153093,182265,178288,260205,334831,337197,311086,352912,471773,489482,527292,381329,329324,377518,526546,425714,411259,442361
 "38011","Bowman, ND",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",131752,122361,142024,157948,190747,238586,265564,263445,311218,276845,283192,328971,345591,358973,349532,319187,328408,272037,275603,257164,251004
 "38011","Bowman, ND",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",40.050,37.195,43.172,48.013,57.983,72.525,80.726,80.082,94.603,84.155,86.084,100.000,105.052,109.120,106.250,97.026,99.829,82.693,83.777,78.172,76.300
 "38011","Bowman, ND",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",93148,85429,107819,130297,171163,217315,261095,313017,247344,258645,294502,328971,359712,366748,288437,249799,283476,252881,243220,205534,268837
 "38013","Burke, ND",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",53824,57942,74903,63281,86365,82058,92327,135627,187981,159184,172153,245018,293226,275778,266642,253208,219752,249907,249050,247906,229397
 "38013","Burke, ND",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",21.967,23.648,30.570,25.827,35.249,33.491,37.682,55.354,76.721,64.968,70.261,100.000,119.675,112.554,108.825,103.343,89.688,101.995,101.646,101.179,93.624
 "38013","Burke, ND",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",38880,42404,57807,51910,71868,69542,85782,132733,151166,142181,173396,245018,304408,280953,223571,198902,189015,227578,215802,192749,242992
 "38015","Burleigh, ND",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",3125717,3252522,3473313,3658894,3837692,3946683,3946749,3997186,4045591,4217683,4500048,5020864,5062351,5403534,5635558,5338474,5264596,5175781,5084088,4841858,5040896
 "38015","Burleigh, ND",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",62.255,64.780,69.178,72.874,76.435,78.606,78.607,79.612,80.576,84.003,89.627,100.000,100.826,107.622,112.243,106.326,104.854,103.085,101.259,96.435,100.399
 "38015","Burleigh, ND",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2374233,2531779,2762350,2993310,3232871,3428847,3546009,3669094,3835269,4044618,4384151,5020864,5183875,5646752,6014109,5782134,5805492,5838625,5873608,5736469,6224594
 "38017","Cass, ND",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",6318831,6801793,7112256,7530226,7823783,8225491,8597529,8733765,8547137,8838841,9416510,10280862,10150580,11050279,11318406,11220713,11463596,11624451,11902587,11713122,12595913
 "38017","Cass, ND",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",61.462,66.160,69.180,73.245,76.100,80.008,83.627,84.952,83.136,85.974,91.593,100.000,98.733,107.484,110.092,109.142,111.504,113.069,115.774,113.931,122.518
