GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "31000","Nebraska",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",78180891,79179781,83773273,85987150,89309076,91832734,93910839,93840471,93977604,97466143,102587387,102725938,104680000,107936779,111401457,112611521,114143920,116792941,118603712,118141522,122136114
 "31000","Nebraska",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",76.106,77.079,81.550,83.705,86.939,89.396,91.419,91.350,91.484,94.880,99.865,100.000,101.902,105.073,108.445,109.623,111.115,113.694,115.456,115.007,118.895
 "31000","Nebraska",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",59607192,61417346,66402056,70469205,74564478,78813825,83834807,85627975,86870412,91561520,99921082,102725938,107260722,111945933,116514597,118145904,121726578,127015459,131866927,134580806,146285418
 "31001","Adams, NE",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1286958,1316847,1308039,1292618,1395967,1522821,1586978,1599764,1531849,1505846,1617369,1637401,1778645,1751855,1745117,1793907,1742137,1759577,1770344,1699402,1767504
 "31001","Adams, NE",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",78.598,80.423,79.885,78.943,85.255,93.002,96.921,97.701,93.554,91.966,98.777,100.000,108.626,106.990,106.578,109.558,106.396,107.462,108.119,103.787,107.946
 "31001","Adams, NE",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",941982,978817,996016,1019003,1120319,1259479,1378962,1440875,1393834,1397369,1568515,1637401,1829132,1820255,1815014,1858542,1842339,1892157,1954206,1921010,2121978
 "31003","Antelope, NE",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",257171,279382,307003,307465,348810,323145,344474,331365,373775,373720,379227,354168,372103,390885,396446,510744,456696,480590,544841,660469,629046
 "31003","Antelope, NE",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",72.613,78.884,86.683,86.813,98.487,91.241,97.263,93.562,105.536,105.521,107.075,100.000,105.064,110.367,111.937,144.209,128.949,135.696,153.837,186.485,177.612
 "31003","Antelope, NE",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",169245,182457,210980,228863,252019,238784,286472,284979,297422,316218,367596,354168,383163,393045,381407,471754,436528,466132,540760,660944,727013
 "31005","Arthur, NE",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",7959,9541,9563,9761,10663,12865,7554,7150,7183,9998,13733,6311,9495,21925,29682,25070,24185,20667,21615,20952,18656
 "31005","Arthur, NE",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",126.123,151.196,151.543,154.669,168.961,203.866,119.700,113.293,113.818,158.423,217.618,100.000,150.461,347.424,470.350,397.270,383.239,327.485,342.512,332.015,295.620
 "31005","Arthur, NE",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",5193,6361,6645,7291,7616,9179,5925,5758,5953,8563,13396,6311,9789,21824,26331,20244,20698,17627,18565,18218,19895
