GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "33000","New Hampshire",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",57632642,59474556,61892740,64408559,65034353,66628179,66853617,65854104,65023435,67125772,67559125,68498086,69080289,70213718,72042399,73572181,73972729,75432960,76819060,75927611,82986259
 "33000","New Hampshire",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",84.138,86.827,90.357,94.030,94.943,97.270,97.599,96.140,94.927,97.997,98.629,100.000,100.850,102.505,105.174,107.408,107.992,110.124,112.148,110.846,121.151
 "33000","New Hampshire",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",46817461,49059884,51637587,54918248,56952627,60017037,61782135,61700217,62522868,64843551,66153151,68498086,70476198,72995232,76477981,79090114,80597998,83869796,87338184,88337671,99673261
 "33001","Belknap, NH",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",2503097,2580203,2600314,2615886,2652107,2514668,2536902,2366705,2325860,2343055,2417365,2475705,2533597,2432024,2490340,2591124,2602399,2646919,2590704,2521368,2755125
 "33001","Belknap, NH",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",101.106,104.221,105.033,105.662,107.125,101.574,102.472,95.597,93.947,94.642,97.643,100.000,102.338,98.236,100.591,104.662,105.117,106.916,104.645,101.844,111.286
 "33001","Belknap, NH",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1970986,2074214,2129953,2199508,2301291,2257399,2346759,2226447,2233875,2263564,2367102,2475705,2586158,2529433,2657298,2813806,2870482,2982141,2997092,2994351,3384009
 "33003","Carroll, NH",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1952295,2058900,2081181,2131241,2115415,2030770,2007911,1880091,1914278,1970517,2051720,2088870,2088818,1970212,1985677,2047198,2025679,2028611,1985071,1950176,2062397
 "33003","Carroll, NH",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",93.462,98.565,99.632,102.028,101.271,97.219,96.124,90.005,91.642,94.334,98.222,100.000,99.998,94.320,95.060,98.005,96.975,97.115,95.031,93.360,98.733
 "33003","Carroll, NH",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1505997,1626904,1675620,1767311,1818017,1809120,1849474,1765295,1838580,1898889,2003069,2088870,2138661,2064013,2138302,2251894,2269729,2328376,2341513,2357865,2577488
 "33005","Cheshire, NH",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",2794596,2839860,2893462,3055934,3088232,3221477,3198729,3150635,3042867,3073068,3083560,3158634,3135050,3238149,3364253,3359657,3454408,3439704,3489515,3497534,3920862
