GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "34000","New Jersey",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",476616737,484657107,494703475,498245167,507894694,516681365,520898339,534501389,506850729,513917936,507603985,517195851,523725795,522166434,529953740,535055280,537578539,550059527,559648773,535323749,566893216
 "34000","New Jersey",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",92.154,93.709,95.651,96.336,98.202,99.901,100.716,103.346,98.000,99.366,98.145,100.000,101.263,100.961,102.467,103.453,103.941,106.354,108.208,103.505,109.609
 "34000","New Jersey",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",373697999,386132518,400984666,414848555,435736688,457593115,474867869,496227194,482458871,492762401,495965819,517195851,534177766,542842785,563233806,575500992,587421013,614106535,637630437,620085909,682945922
 "34001","Atlantic, NJ",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",13586349,13969009,14056528,14092151,14630019,15315414,15398360,15646895,13649838,13308142,13687971,13390640,13325927,13123934,12766027,12315351,12141187,12114979,12451208,11402937,12407031
 "34001","Atlantic, NJ",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",101.462,104.319,104.973,105.239,109.256,114.374,114.993,116.849,101.936,99.384,102.220,100.000,99.517,98.008,95.335,91.970,90.669,90.473,92.984,85.156,92.655
 "34001","Atlantic, NJ",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",10443865,10934479,11199463,11530110,12446788,13492378,14140709,14683253,12981810,12731809,13333159,13390640,13643460,13744968,13709388,13459062,13511640,13813012,14548795,13532711,15313041
 "34003","Bergen, NJ",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",60343025,60762754,61939054,62661632,63505732,64038862,65089403,67026344,64169827,65287925,64792600,65276281,65582992,66292767,68136249,68512969,68990097,70636206,71885485,67654167,72806827
 "34003","Bergen, NJ",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",92.442,93.086,94.888,95.994,97.288,98.104,99.714,102.681,98.305,100.018,99.259,100.000,100.470,101.557,104.381,104.958,105.689,108.211,110.125,103.643,111.536
 "34003","Bergen, NJ",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",48248986,49306846,50861613,52788198,54891086,57036847,59593067,62507975,61681515,63012048,63405658,65276281,66849520,68660403,72044775,73449332,75004413,78216102,81690683,78303871,87263307
 "34005","Burlington, NJ",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",20187539,20988684,21939427,22424243,23220646,23673381,23772384,24690510,23764922,24040563,24100240,24308998,24671051,24379240,24834797,25031309,25638976,25732182,26022775,25828734,27362035
 "34005","Burlington, NJ",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",83.046,86.341,90.252,92.247,95.523,97.385,97.793,101.569,97.762,98.896,99.141,100.000,101.489,100.289,102.163,102.971,105.471,105.855,107.050,106.252,112.559
 "34005","Burlington, NJ",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",16577950,17485682,18519959,19364545,20558241,21541315,22143695,23310672,22866929,23262237,23615033,24308998,25149921,25301545,26317145,26911597,27983422,28690179,29680397,30093130,32907569
