GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "35000","New Mexico",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",71730549,73909572,76767510,83038711,84034421,86058429,86738754,86965227,88069943,87610250,87592907,87925207,86856596,88991168,89701288,89151354,88962870,90933634,94897411,92496288,93625052
 "35000","New Mexico",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",81.581,84.060,87.310,94.442,95.575,97.877,98.651,98.908,100.165,99.642,99.622,100.000,98.785,101.212,102.020,101.395,101.180,103.422,107.930,105.199,106.483
 "35000","New Mexico",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",55789749,57808252,62651084,69956610,73911421,77610383,80799783,84688354,82461511,84611544,87062837,87925207,88756862,92185722,90274331,89769435,92273584,97268016,102027524,98789953,109582792
 "35001","Bernalillo, NM",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",27501739,28114262,29351827,31823123,32151536,32740575,32885739,33308781,32853319,32341869,32189141,32115053,31622019,32204205,32583356,33031380,32892330,33535082,34415594,33764708,35421924
 "35001","Bernalillo, NM",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",85.635,87.542,91.396,99.091,100.114,101.948,102.400,103.717,102.299,100.706,100.231,100.000,98.465,100.278,101.458,102.853,102.420,104.422,107.163,105.137,110.297
 "35001","Bernalillo, NM",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",22335255,23285457,24689454,27295224,28218154,29488943,30394863,31263223,31529131,31297185,31557590,32115053,32231776,33432446,34568253,35553300,35899627,37401604,39243390,39439272,42573761
 "35003","Catron, NM",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",74616,76920,78657,79969,83777,91048,81909,77332,73119,74759,76626,82091,79248,84221,83991,83293,79686,83498,76762,84812,85856
 "35003","Catron, NM",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",90.895,93.700,95.816,97.415,102.054,110.911,99.778,94.202,89.071,91.068,93.343,100.000,96.536,102.594,102.315,101.464,97.071,101.714,93.508,103.315,104.586
 "35003","Catron, NM",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",55027,58720,62141,65909,69748,77888,73990,71359,68578,71324,75227,82091,81053,87289,87239,86392,84882,90508,84809,95902,105513
 "35005","Chaves, NM",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1828975,1813455,1742655,1863666,1916049,1913396,2008905,2089592,1846939,2023486,2046045,2025405,1967571,2011909,1997389,2005864,1951372,1978563,2014684,1946881,1887351
 "35005","Chaves, NM",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",90.302,89.535,86.040,92.014,94.601,94.470,99.185,103.169,91.189,99.905,101.019,100.000,97.145,99.334,98.617,99.035,96.345,97.687,99.471,96.123,93.184
 "35005","Chaves, NM",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1340241,1332841,1345023,1507684,1587901,1625892,1801621,1953806,1664588,1891425,2014003,2025405,2021450,2078211,2010697,2010905,2012927,2079733,2149077,2111607,2225971
 "35006","Cibola, NM",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",493153,525833,585051,626062,619913,629661,635512,612733,577291,569798,577429,608593,619772,625888,623388,608997,586007,577177,569295,584060,559748
 "35006","Cibola, NM",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",81.032,86.401,96.132,102.870,101.860,103.462,104.423,100.680,94.857,93.625,94.879,100.000,101.837,102.842,102.431,100.066,96.289,94.838,93.543,95.969,91.974
 "35006","Cibola, NM",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",384518,416700,469638,512420,521255,546902,569600,563400,545796,548290,566743,608593,631274,647970,652450,643238,633105,638664,644118,679366,683820
 "35007","Colfax, NM",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",485114,492380,483270,482918,501335,515129,514448,477957,500000,494328,525423,477184,470537,469724,460008,461214,435732,426052,433285,425870,426659
 "35007","Colfax, NM",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",101.662,103.185,101.276,101.202,105.061,107.952,107.809,100.162,104.781,103.593,110.109,100.000,98.607,98.437,96.401,96.653,91.313,89.285,90.800,89.247,89.412
 "35007","Colfax, NM",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",343157,353433,365563,387032,426671,450891,476877,476301,451685,469222,522589,477184,485065,488699,455494,453904,445187,448386,461730,455329,502849
 "35009","Curry, NM",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1824136,1845733,1899201,2063901,2126811,2168010,2129558,2173047,2367523,2493057,2557320,2697321,2706243,2761012,2677039,2759989,2876999,2772759,2839752,2853276,2892180
 "35009","Curry, NM",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",67.628,68.428,70.411,76.517,78.849,80.376,78.951,80.563,87.773,92.427,94.810,100.000,100.331,102.361,99.248,102.323,106.661,102.797,105.280,105.782,107.224
 "35009","Curry, NM",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1309600,1364757,1460760,1654285,1738837,1827956,1919625,2006759,2125810,2322962,2508256,2697321,2758299,2842003,2766656,2849434,3031573,2974641,3109964,3191777,3430979
 "35011","De Baca, NM",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",65336,67971,61407,62109,64439,84647,62123,62686,55711,58108,72339,70460,62528,72143,77376,92099,79804,83646,83011,84514,79599
 "35011","De Baca, NM",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",92.727,96.467,87.152,88.148,91.454,120.134,88.167,88.966,79.068,82.469,102.667,100.000,88.743,102.389,109.815,130.710,113.261,118.715,117.813,119.946,112.970
 "35011","De Baca, NM",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",46947,48569,46311,50551,50779,67734,54173,55661,47928,51723,70627,70460,64261,73039,74237,83315,75551,79195,79019,81547,91955
 "35013","Doña Ana, NM",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",4902117,5108616,5487679,5907652,6397676,6408099,6451689,6497226,6740829,7047717,6763715,6396897,6341745,6388131,6436079,6559862,6633795,6757052,6937711,6650524,6847115
 "35013","Doña Ana, NM",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",76.633,79.861,85.787,92.352,100.012,100.175,100.857,101.568,105.377,110.174,105.734,100.000,99.138,99.863,100.613,102.548,103.703,105.630,108.454,103.965,107.038
 "35013","Doña Ana, NM",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",3869384,4117626,4524476,4997037,5483806,5611036,5866502,6013530,6336554,6733143,6630337,6396897,6479118,6653962,6831779,7035188,7243347,7540221,7916251,7780764,8339710
 "35015","Eddy, NM",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",3606187,4012509,3681902,3433422,3246986,3359185,3584779,3593637,4113718,4277480,4551753,5214955,5477352,6086432,6744422,6455693,6579390,7057903,8519122,8359539,7359252
 "35015","Eddy, NM",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",69.151,76.942,70.603,65.838,62.263,64.414,68.740,68.910,78.883,82.023,87.283,100.000,105.032,116.711,129.328,123.792,126.164,135.340,163.359,160.299,141.118
 "35015","Eddy, NM",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2137441,2214892,2456010,2542014,2848770,3054976,3434181,4032490,3491662,4164822,4830954,5214955,5641404,6196335,5339780,4726327,5363167,6263414,6953805,5683810,7449116
 "35017","Grant, NM",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",934589,860876,847755,920165,999257,1053202,1032920,1105721,906594,904913,1034916,1116798,1223369,1245921,1223736,1158756,1164657,1125938,1096896,962833,957071
 "35017","Grant, NM",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",83.685,77.084,75.909,82.393,89.475,94.305,92.489,99.008,81.178,81.027,92.668,100.000,109.543,111.562,109.575,103.757,104.285,100.818,98.218,86.214,85.698
 "35017","Grant, NM",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",566197,538360,545598,626213,733990,831406,860542,978936,833449,861267,1027603,1116798,1193610,1212177,1159691,1095986,1165711,1164899,1148060,1025950,1076679
 "35019","Guadalupe, NM",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",105289,104170,104068,107292,104623,116386,114591,113580,107230,118082,122689,122176,127615,132423,135737,141503,125750,134552,137153,132819,142928
 "35019","Guadalupe, NM",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",86.178,85.262,85.179,87.817,85.633,95.261,93.792,92.965,87.767,96.649,100.420,100.000,104.452,108.387,111.100,115.819,102.925,110.130,112.259,108.711,116.985
 "35019","Guadalupe, NM",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",76638,77341,79608,85749,85126,98426,101286,103195,100129,111377,119914,122176,131117,138132,142049,147418,133780,146234,153036,152034,173673
