GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "32000","Nevada",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",106635312,110448570,115275381,127325633,137508795,142967052,144107089,139954249,128241254,129828386,130697869,129312905,129720923,130897371,136347380,140081207,145485546,150448009,156959124,146492496,159567333
 "32000","Nevada",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",82.463,85.412,89.145,98.463,106.338,110.559,111.441,108.229,99.171,100.399,101.071,100.000,100.316,101.225,105.440,108.327,112.507,116.344,121.379,113.285,123.396
 "32000","Nevada",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",80429217,85008731,90633586,103231012,116166191,125848269,131620867,130609515,122127078,124669428,127677889,129312905,132086406,136008652,145115947,151840365,160653063,170257634,182186338,172562622,194486640
 "32001","Churchill, NV",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",850650,837022,836805,888127,920992,906210,887742,893706,883040,911628,928029,849371,847542,874052,915783,943397,1036014,1062345,1100744,1111439,1152859
 "32001","Churchill, NV",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",100.151,98.546,98.521,104.563,108.432,106.692,104.518,105.220,103.964,107.330,109.261,100.000,99.785,102.906,107.819,111.070,121.974,125.074,129.595,130.854,135.731
 "32001","Churchill, NV",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",632337,637152,655232,721411,774115,795319,807449,829659,832029,872778,909762,849371,865482,913884,973393,1008937,1131613,1184186,1251557,1285185,1426586
 "32003","Clark, NV",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",72915680,76230954,79957626,89394843,97900441,102438324,103794033,100444279,90714334,89956581,91091675,89890207,91079803,92764189,97005764,99491074,102087729,107751448,112654167,101883799,111288530
 "32003","Clark, NV",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",81.116,84.805,88.950,99.449,108.911,113.959,115.468,111.741,100.917,100.074,101.337,100.000,101.323,103.197,107.916,110.681,113.569,119.870,125.324,113.342,123.805
 "32003","Clark, NV",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",56021683,59761367,64028477,73630450,83869417,91284899,95868535,94499499,86880322,86533192,88771829,89890207,93111625,96952928,104164814,108924516,113496921,122689032,131692941,120732644,136198676
 "32005","Douglas, NV",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1784094,1876810,1954939,2131725,2180933,2116724,2185608,2100322,1986512,2131876,2082562,2068938,2249905,2346526,2356213,2266227,2257803,2359940,2395084,2393225,2664646
 "32005","Douglas, NV",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",86.232,90.714,94.490,103.035,105.413,102.310,105.639,101.517,96.016,103.042,100.659,100.000,108.747,113.417,113.885,109.536,109.129,114.065,115.764,115.674,128.793
 "32005","Douglas, NV",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1452253,1553074,1637108,1828892,1940897,1942999,2070868,2017335,1937382,2071261,2037016,2068938,2287995,2419967,2487017,2444689,2468166,2636727,2738128,2771853,3152558
 "32007","Elko, NV",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1947262,1886819,1944646,2120635,2301489,2415701,2406332,2519387,2267342,2641967,2864278,2899666,2712554,2457198,2329806,2385835,2563664,2610756,2658042,2654749,2782013
 "32007","Elko, NV",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",67.155,65.070,67.064,73.134,79.371,83.310,82.987,86.885,78.193,91.113,98.780,100.000,93.547,84.741,80.347,82.280,88.412,90.036,91.667,91.554,95.943
 "32007","Elko, NV",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1254778,1242196,1312325,1503589,1744000,1947076,2041800,2249056,2079634,2491657,2814966,2899666,2700380,2469698,2357431,2428647,2690786,2802024,2913825,2926058,3216225
 "32009","Esmeralda, NV",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",45680,43250,45465,44108,39136,47523,39050,47724,37765,49463,57824,63196,74523,66125,60585,62926,60268,44038,40016,40201,45539
 "32009","Esmeralda, NV",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",72.282,68.438,71.943,69.795,61.928,75.200,61.791,75.518,59.758,78.269,91.500,100.000,117.923,104.635,95.869,99.573,95.366,69.684,63.320,63.614,72.059
 "32009","Esmeralda, NV",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",23069,22765,24748,26529,26305,34799,31046,41188,33590,46475,57871,63196,70910,61702,54578,56686,58427,43916,40355,41064,48963
 "32011","Eureka, NV",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1552177,1613267,1720589,1682924,1589716,1973774,1920439,2079450,1995245,2177199,2221108,1963402,1699200,1383982,1211164,1444609,1731023,1455118,1469411,1667393,1784594
 "32011","Eureka, NV",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",79.056,82.167,87.633,85.715,80.967,100.528,97.812,105.911,101.622,110.889,113.125,100.000,86.544,70.489,61.687,73.577,88.164,74.112,74.840,84.924,90.893
 "32011","Eureka, NV",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",514265,564599,631712,730065,861944,1254596,1334404,1645079,1685195,2017600,2253636,1963402,1568406,1243146,1013549,1184489,1573078,1382305,1393979,1570797,1810966
 "32013","Humboldt, NV",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",990988,889516,1029815,1223947,1208512,1442096,1359865,1449698,1506922,1698530,1715672,1552289,1491168,1363901,1186146,1212565,1284478,1224705,1306298,1381033,1515989
 "32013","Humboldt, NV",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",63.840,57.304,66.342,78.848,77.854,92.901,87.604,93.391,97.077,109.421,110.525,100.000,96.063,87.864,76.413,78.115,82.747,78.897,84.153,88.968,97.662
 "32013","Humboldt, NV",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",575556,523083,624785,792471,850554,1102377,1096767,1244850,1348554,1592756,1713423,1552289,1449661,1330215,1137323,1155611,1292455,1264947,1365361,1450967,1690434
 "32015","Lander, NV",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",611470,623720,644324,625384,638481,715334,626670,735138,797603,955297,1028602,927556,849799,768348,705321,800086,933079,824279,880853,929144,1028804
 "32015","Lander, NV",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",65.923,67.243,69.465,67.423,68.835,77.120,67.561,79.255,85.990,102.991,110.894,100.000,91.617,82.836,76.041,86.257,100.595,88.866,94.965,100.171,110.916
 "32015","Lander, NV",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",251935,268109,289359,320142,379541,479160,454751,594595,680198,884953,1037980,927556,795058,704491,613988,686004,874709,804276,861449,906272,1094797
 "32017","Lincoln, NV",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",153859,159993,157536,122088,157468,115635,119802,128418,134345,140868,142296,185621,187888,186771,179066,187703,142060,141408,152569,150678,158631
 "32017","Lincoln, NV",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",82.889,86.194,84.870,65.773,84.833,62.296,64.542,69.183,72.376,75.890,76.660,100.000,101.221,100.620,96.469,101.122,76.533,76.181,82.194,81.175,85.460
 "32017","Lincoln, NV",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",114653,120993,122911,100337,133275,102307,109979,120607,128237,136055,139435,185621,191871,192067,188639,199393,153224,156253,172321,174810,194476
 "32019","Lyon, NV",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1037089,1100578,1123282,1225447,1356175,1437865,1417290,1359590,1290472,1232736,1223247,1246191,1293663,1359749,1288535,1347910,1424960,1501136,1556973,1590912,1770370
 "32019","Lyon, NV",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",83.221,88.315,90.137,98.335,108.826,115.381,113.730,109.100,103.553,98.920,98.159,100.000,103.809,109.112,103.398,108.162,114.345,120.458,124.939,127.662,142.063
 "32019","Lyon, NV",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",774334,826119,866573,986302,1129837,1243483,1275831,1243375,1194859,1160073,1194316,1246191,1308686,1396017,1346578,1410268,1532176,1659494,1754316,1825191,2140013
 "32021","Mineral, NV",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",166383,167652,177693,193993,182683,173957,168393,180221,186200,210690,201355,164400,155843,160119,157685,169050,182323,188160,205252,209712,216143
 "32021","Mineral, NV",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",101.206,101.978,108.085,118.000,111.121,105.813,102.429,109.623,113.260,128.157,122.479,100.000,94.795,97.396,95.915,102.828,110.902,114.453,124.849,127.562,131.474
 "32021","Mineral, NV",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",120841,125219,136053,157978,156523,154540,155204,170437,178926,204245,198494,164400,157367,164704,164774,178779,197734,208735,232670,240979,261607
 "32023","Nye, NV",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1121699,1203018,1290349,1454589,1526277,1573279,1580513,1548751,1520174,1679317,1561800,1551911,1501319,1507328,1488244,1517719,1652883,1695867,1745501,1823495,1955940
 "32023","Nye, NV",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",72.279,77.519,83.146,93.729,98.348,101.377,101.843,99.796,97.955,108.210,100.637,100.000,96.740,97.127,95.898,97.797,106.506,109.276,112.474,117.500,126.034
