GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "36000","New York",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1112794411,1106150782,1110613081,1144125077,1168891067,1199276889,1208564640,1190080854,1230672310,1277466777,1279527097,1328233509,1329376306,1353410409,1373642978,1403230531,1419112069,1458382411,1500833379,1432506990,1514779247
 "36000","New York",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",83.780,83.280,83.616,86.139,88.003,90.291,90.990,89.599,92.655,96.178,96.333,100.000,100.086,101.896,103.419,105.646,106.842,109.799,112.995,107.851,114.045
 "36000","New York",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",878346480,890258115,912474648,967151949,1016037549,1075154588,1119381500,1116591020,1160081314,1223529685,1247605768,1328233509,1365529022,1430923347,1487627635,1551354076,1604649906,1697661415,1787666037,1740804653,1901296535
 "36001","Albany, NY",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",23431964,23453553,24127144,24464789,24545211,24401034,24437337,24834574,25798535,25689052,25788577,26022429,26485614,27167878,27642251,28217571,28215239,28360444,29292506,28296973,30337328
 "36001","Albany, NY",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",90.045,90.128,92.717,94.014,94.323,93.769,93.909,95.435,99.140,98.719,99.101,100.000,101.780,104.402,106.225,108.436,108.427,108.985,112.566,108.741,116.581
 "36001","Albany, NY",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",18032547,18465950,19441515,20297783,20983074,21575126,22272973,23068889,24498924,24744158,25213247,26022429,27184070,28581188,29761830,30831905,31308985,32303296,34095183,33811814,37245549
 "36003","Allegany, NY",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1171058,1196592,1224710,1237835,1252993,1232566,1187704,1301361,1215703,1317281,1335610,1328974,1259776,1397748,1368783,1346022,1331068,1317866,1409384,1324407,1364098
 "36003","Allegany, NY",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",88.117,90.039,92.155,93.142,94.283,92.746,89.370,97.922,91.477,99.120,100.499,100.000,94.793,105.175,102.995,101.283,100.158,99.164,106.051,99.656,102.643
 "36003","Allegany, NY",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",891201,933877,976845,1016501,1055347,1066874,1066166,1198794,1156108,1261205,1300809,1328974,1296334,1469234,1475840,1479474,1484500,1500108,1644905,1586705,1690394
 "36005","Bronx, NY",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",29558344,30022912,30215716,30588659,30799476,30513897,31039725,31989629,32294533,32778883,32749638,33257385,33853404,34083972,34003972,34786115,34981061,37824813,39364102,37373330,38725964
 "36005","Bronx, NY",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",88.878,90.274,90.854,91.976,92.609,91.751,93.332,96.188,97.105,98.561,98.473,100.000,101.792,102.485,102.245,104.597,105.183,113.734,118.362,112.376,116.443
 "36005","Bronx, NY",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",22395005,23437639,24176433,25191703,26157008,26825630,28159276,29661795,30754412,31569010,32004704,33257385,34700393,35742213,36654785,38341988,39321105,43566705,46576848,45553941,48761866
 "36007","Broome, NY",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",7702142,7617665,7521737,7485192,7502908,7707391,7925149,8391671,8382295,8829052,8794379,8875089,8607558,8397531,8298053,8169365,8225088,8302024,8412634,8052244,8477155
 "36007","Broome, NY",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",86.784,85.832,84.751,84.339,84.539,86.843,89.297,94.553,94.447,99.481,99.091,100.000,96.986,94.619,93.498,92.048,92.676,93.543,94.789,90.729,95.516
 "36007","Broome, NY",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",6515158,6509965,6471089,6551017,6708154,7047346,7405049,7910849,8084744,8554384,8604946,8875089,8785125,8727231,8815729,8802925,8992537,9278110,9627106,9463316,10295945
 "36009","Cattaraugus, NY",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",2584024,2623741,2703270,2873584,2791689,2801791,2741833,2802219,2787841,2866118,2891902,2810678,2840028,2860419,2822343,2754446,2693964,2635807,2690619,2487623,2598409
 "36009","Cattaraugus, NY",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",91.936,93.349,96.179,102.238,99.324,99.684,97.551,99.699,99.187,101.972,102.890,100.000,101.044,101.770,100.415,97.999,95.847,93.778,95.728,88.506,92.448
 "36009","Cattaraugus, NY",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1988663,2060560,2163693,2365718,2363389,2448172,2483151,2594760,2650288,2753152,2824196,2810678,2922304,3004327,3021104,2994989,2984114,2992678,3126195,2963058,3235084
 "36011","Cayuga, NY",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",2231568,2246115,2348297,2404436,2353051,2329826,2483210,2491281,2353137,2669517,2615392,2619246,2700217,2775215,2697627,2615183,2631210,2644961,2712130,2594337,2729364
 "36011","Cayuga, NY",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",85.199,85.754,89.655,91.799,89.837,88.950,94.806,95.114,89.840,101.919,99.853,100.000,103.091,105.955,102.993,99.845,100.457,100.982,103.546,99.049,104.204
 "36011","Cayuga, NY",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1722497,1771265,1887619,1997134,2004171,2051733,2270298,2314495,2216554,2544571,2556462,2619246,2763797,2886661,2857025,2806710,2883925,2962699,3102320,3028034,3360766
 "36013","Chautauqua, NY",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",4841886,4936983,4865010,4944436,4965330,4966990,5091503,5150595,4994525,5240465,5136821,4958828,4782677,4674708,4539498,4461438,4469843,4482687,4496259,4167744,4377424
 "36013","Chautauqua, NY",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",97.642,99.559,98.108,99.710,100.131,100.165,102.676,103.867,100.720,105.680,103.589,100.000,96.448,94.270,91.544,89.970,90.139,90.398,90.672,84.047,88.275
 "36013","Chautauqua, NY",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",3772804,3913567,3928741,4074632,4213777,4331203,4568062,4730354,4776433,5033291,4997215,4958828,4902107,4891518,4852642,4826593,4913781,5026858,5163747,4896012,5356426
 "36015","Chemung, NY",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",3115079,3135842,3174895,3209799,3256658,3218025,3301832,3503681,3475433,3668364,3739741,3742877,3749739,3738268,3606433,3521781,3440848,3488829,3486977,3327908,3491724
 "36015","Chemung, NY",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",83.227,83.782,84.825,85.758,87.009,85.977,88.216,93.609,92.855,98.009,99.916,100.000,100.183,99.877,96.355,94.093,91.931,93.212,93.163,88.913,93.290
 "36015","Chemung, NY",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2518954,2576769,2646683,2732053,2853658,2902651,3060441,3308855,3321244,3549656,3670587,3742877,3842658,3908940,3806590,3771738,3749269,3889912,3982107,3888735,4230830
 "36017","Chenango, NY",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1586532,1606511,1645386,1706660,1773517,1793229,1775923,1791666,1823732,1768783,1818111,1789821,1914101,1980676,2047662,2127647,2179696,2135106,2195673,1989328,2053988
