GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "39000","Ohio",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",502967596,513215471,519939357,534064633,545968737,545504146,546729335,537124110,511076466,523979362,541180187,545740145,556210522,574177931,578852371,583946352,593635999,597925518,613251353,594143599,629287041
 "39000","Ohio",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",92.162,94.040,95.272,97.861,100.042,99.957,100.181,98.421,93.648,96.013,99.164,100.000,101.919,105.211,106.067,107.001,108.776,109.562,112.371,108.869,115.309
 "39000","Ohio",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",396944475,411034546,423780153,446225346,468891641,482738070,497761464,496919416,482281053,500515329,528189950,545740145,566532394,595640892,611019458,623265326,645636826,667115596,697166843,684382515,756617233
 "39001","Adams, OH",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1336601,1332446,1295115,1313672,1205664,1233969,1382815,1305477,1475539,1442435,1556842,1447410,1477506,1340995,1419427,1552351,1379199,872694,675829,681273,717219
 "39001","Adams, OH",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",92.344,92.057,89.478,90.760,83.298,85.254,95.537,90.194,101.943,99.656,107.561,100.000,102.079,92.648,98.067,107.250,95.287,60.293,46.692,47.068,49.552
 "39001","Adams, OH",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1097497,1061832,1079502,1126545,1073206,1159488,1315435,1242631,1531176,1464782,1583215,1447410,1523687,1463219,1568451,1687565,1527143,989891,787781,811417,887394
 "39003","Allen, OH",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",5716160,5921612,5817182,5950696,5985655,6117198,6042698,6061516,7495687,7821572,7930715,7278543,6917091,7597121,7366230,7660353,7543690,7597930,7558271,7253048,7604646
 "39003","Allen, OH",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",78.534,81.357,79.922,81.757,82.237,84.044,83.021,83.279,102.983,107.461,108.960,100.000,95.034,104.377,101.205,105.246,103.643,104.388,103.843,99.650,104.480
 "39003","Allen, OH",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",3909054,4061370,4072421,4249070,4409493,4634693,4722764,4784970,5824829,6542347,7551781,7278543,6918518,7683301,7599845,7799298,7951935,8304299,8253371,7884029,8962374
 "39005","Ashland, OH",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1516215,1558178,1563264,1607103,1618160,1593406,1611164,1587328,1531356,1531360,1577708,1547920,1589850,1561662,1541103,1523295,1553989,1571586,1579051,1606240,1685073
 "39005","Ashland, OH",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",97.952,100.663,100.991,103.823,104.538,102.939,104.086,102.546,98.930,98.930,101.924,100.000,102.709,100.888,99.560,98.409,100.392,101.529,102.011,103.768,108.860
