GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "40000","Oklahoma",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",128891186,131293287,133417242,138096821,143471145,152857692,156219527,162386987,160091629,160564163,166327192,174874417,177698858,189359998,197071897,193025135,194017162,197453215,201161507,192485453,193230034
 "40000","Oklahoma",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",73.705,75.079,76.293,78.969,82.042,87.410,89.332,92.859,91.547,91.817,95.112,100.000,101.615,108.283,112.693,110.379,110.947,112.911,115.032,110.071,110.496
 "40000","Oklahoma",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",97059569,99479156,105713489,113873799,125081608,137436501,145752097,160763692,146633044,154287427,166235830,174874417,182694722,196631610,186815610,181244394,190553013,202712509,204192536,190063650,215336250
 "40001","Adair, OK",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",403736,427766,395897,384705,434315,446085,425137,405939,381032,442044,430009,425142,389133,392711,439594,425926,417291,450747,416915,382954,434770
 "40001","Adair, OK",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",94.965,100.617,93.121,90.489,102.158,104.926,99.999,95.483,89.625,103.976,101.145,100.000,91.530,92.372,103.399,100.184,98.153,106.023,98.065,90.077,102.265
 "40001","Adair, OK",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",299112,320106,302786,303143,343943,359731,358086,352443,346896,408336,416374,425142,400214,408437,456838,439038,439673,480752,455163,431338,513174
 "40003","Alfalfa, OK",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",161123,148186,167505,149137,148960,166873,145195,188709,148350,180962,247657,356676,319793,431917,398412,286747,233969,256587,242718,259695,234195
 "40003","Alfalfa, OK",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",45.173,41.546,46.963,41.813,41.763,46.786,40.708,52.908,41.592,50.736,69.435,100.000,89.659,121.095,111.702,80.394,65.597,71.939,68.050,72.810,65.660
 "40003","Alfalfa, OK",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",120759,109270,131118,127729,121695,136411,136708,181159,127266,165891,259342,356676,335988,442891,270617,185196,157755,176735,170839,185222,186366
 "40005","Atoka, OK",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",243701,272119,266296,262912,268024,269227,277292,279148,298315,280057,292686,297295,290782,302671,294893,302545,310882,298369,289392,290875,296744
 "40005","Atoka, OK",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",81.973,91.532,89.573,88.435,90.154,90.559,93.272,93.896,100.343,94.202,98.450,100.000,97.809,101.808,99.192,101.766,104.570,100.361,97.342,97.841,99.815
 "40005","Atoka, OK",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",179947,205427,206345,211101,222071,231543,248512,257793,279247,267744,285201,297295,298097,317151,316696,330478,345860,339041,338118,349418,369410
 "40007","Beaver, OK",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",208378,179814,195182,192932,222766,215991,229852,219332,167009,287514,329744,333168,300264,297509,292234,323031,376199,399970,416937,412599,387151
 "40007","Beaver, OK",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",62.544,53.971,58.584,57.908,66.863,64.829,68.990,65.832,50.128,86.297,98.972,100.000,90.124,89.297,87.714,96.957,112.916,120.051,125.143,123.841,116.203
 "40007","Beaver, OK",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",135693,115253,133010,143943,159750,156120,188825,186184,129700,238955,322795,333168,309474,298290,264961,274292,336955,359917,372526,356749,429703
 "40009","Beckham, OK",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",676927,688155,747638,825357,921445,1024410,1261945,1355172,1289517,1303705,1331302,1519878,1515394,1472055,1290111,1082240,1121213,1189268,1089891,934964,927530
 "40009","Beckham, OK",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",44.538,45.277,49.191,54.304,60.626,67.401,83.029,89.163,84.843,85.777,87.593,100.000,99.705,96.854,84.883,71.206,73.770,78.248,71.709,61.516,61.027
 "40009","Beckham, OK",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",469630,470089,559820,660320,825565,946857,1216808,1498500,1125697,1252801,1348695,1519878,1565045,1529201,1198199,987939,1070466,1155606,1053756,873877,969322
