GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "41000","Oregon",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",136166117,138932534,144802802,152001094,158163433,166107196,168975134,173598450,165527217,169234019,173831737,174610955,175933798,181220579,189946540,198079311,205524017,214902549,219587988,215743621,227979057
 "41000","Oregon",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",77.983,79.567,82.929,87.051,90.580,95.130,96.772,99.420,94.798,96.921,99.554,100.000,100.758,103.785,108.783,113.440,117.704,123.075,125.758,123.557,130.564
 "41000","Oregon",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",116963554,120665503,126671528,135646754,143507792,153593122,159585201,164925429,159607329,164137208,170630876,174610955,179527671,188120670,200659572,211305877,222601582,237113695,247233076,247966696,272190883
 "41001","Baker, OR",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",435139,436413,410681,444370,434723,468822,466939,471968,500867,519852,535443,487004,525367,534819,530846,564280,546759,551382,570429,563824,572947
 "41001","Baker, OR",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",89.350,89.612,84.328,91.246,89.265,96.267,95.880,96.913,102.847,106.745,109.946,100.000,107.877,109.818,109.002,115.868,112.270,113.219,117.130,115.774,117.647
 "41001","Baker, OR",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",331855,338223,327791,368244,371930,416393,428183,439706,474368,499621,527010,487004,539665,554785,551112,585015,578817,596134,629092,635641,691251
 "41003","Benton, OR",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",2658010,2686867,2733168,2857634,3043464,3307810,3564994,3761790,3669380,3812300,3943347,3895460,3740567,3718874,3751453,3872863,4003929,4221079,4270422,4230357,4432827
 "41003","Benton, OR",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",68.234,68.974,70.163,73.358,78.129,84.915,91.517,96.569,94.196,97.865,101.229,100.000,96.024,95.467,96.303,99.420,102.784,108.359,109.626,108.597,113.795
 "41003","Benton, OR",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2576174,2607308,2652969,2811961,3005279,3275180,3548119,3682703,3617137,3750103,3891379,3895460,3812898,3847025,3958986,4133165,4332350,4648567,4792417,4870288,5242566
 "41005","Clackamas, OR",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",12468669,12792767,13084649,13683250,14402433,15004937,14985205,15467337,14652824,14867199,15538706,16071524,16007770,15702567,16644111,17523942,18367884,19433586,19701506,19327535,20536661
 "41005","Clackamas, OR",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",77.582,79.599,81.415,85.140,89.615,93.363,93.241,96.241,91.173,92.506,96.685,100.000,99.603,97.704,103.563,109.037,114.288,120.919,122.586,120.260,127.783
 "41005","Clackamas, OR",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",10199355,10596736,10957983,11781430,12693376,13628322,14004277,14642208,14053767,14359936,15260592,16071524,16267474,16246738,17505103,18633945,19888018,21480412,22296526,22296836,24600480
 "41007","Clatsop, OR",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1281691,1366163,1357803,1416868,1484952,1500649,1468461,1503489,1461685,1508272,1492490,1513183,1520219,1540465,1563653,1586897,1649834,1700925,1690565,1656128,1757964
 "41007","Clatsop, OR",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",84.702,90.284,89.732,93.635,98.134,99.172,97.045,99.359,96.597,99.675,98.632,100.000,100.465,101.803,103.335,104.871,109.031,112.407,111.722,109.447,116.177
 "41007","Clatsop, OR",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",998157,1088531,1098549,1170598,1258643,1316182,1328972,1390220,1396391,1458911,1459438,1513183,1566347,1621449,1692607,1751241,1855938,1957145,1990321,1991111,2207543
 "41009","Columbia, OR",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1074643,990805,1016631,1126812,1105277,1066364,1085994,1102672,1084010,1123456,1037599,1014697,1074043,1065469,1131473,1161188,1201019,1173747,1217153,1187801,1243021
 "41009","Columbia, OR",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",105.908,97.645,100.191,111.049,108.927,105.092,107.026,108.670,106.831,110.718,102.257,100.000,105.849,105.004,111.508,114.437,118.362,115.675,119.952,117.060,122.502
 "41009","Columbia, OR",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",824382,770782,810489,931159,944489,942392,988055,1020170,1043927,1086774,1017601,1014697,1105076,1127874,1229904,1277603,1347749,1349850,1437441,1433964,1586171
 "41011","Coos, OR",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1734083,1779354,1814317,1821656,1904090,1923789,1958832,1909483,1860961,1835254,1865519,1820058,1858345,1894430,1940448,1950261,2046794,2075297,2173074,2184369,2289121
 "41011","Coos, OR",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",95.276,97.764,99.685,100.088,104.617,105.699,107.625,104.913,102.247,100.835,102.498,100.000,102.104,104.086,106.615,107.154,112.458,114.024,119.396,120.016,125.772
 "41011","Coos, OR",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1329508,1401255,1466227,1522353,1638462,1704607,1787188,1774059,1761245,1764042,1821771,1820058,1915572,2002106,2088895,2128789,2279599,2367935,2531945,2616981,2910041
 "41013","Crook, OR",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",547896,557873,554165,587214,609366,648013,669129,641631,585048,587838,594552,607055,617532,607908,625441,692568,717659,753702,779178,819696,945341
 "41013","Crook, OR",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",90.255,91.898,91.287,96.732,100.381,106.747,110.225,105.696,96.375,96.834,97.940,100.000,101.726,100.140,103.029,114.087,118.220,124.157,128.354,135.028,155.726
 "41013","Crook, OR",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",420000,435272,444145,496855,529793,578684,613789,598453,553294,564839,579503,607055,635579,636060,661278,739071,779544,835449,883076,951169,1140338
 "41015","Curry, OR",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",505415,526160,527245,551833,577057,568704,584131,575552,550112,552723,552671,557112,558449,534559,556353,545725,567500,578963,605242,656394,709626
 "41015","Curry, OR",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",90.720,94.444,94.639,99.052,103.580,102.081,104.850,103.310,98.743,99.212,99.203,100.000,100.240,95.952,99.864,97.956,101.865,103.922,108.639,117.821,127.376
 "41015","Curry, OR",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",391453,415632,427370,467707,504105,511174,541519,540799,522925,532285,539213,557112,577228,567576,601837,600322,637650,668723,714452,801196,930511
 "41017","Deschutes, OR",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",4593588,4797833,5031274,5235090,5756889,6158351,6363217,6245018,5675957,5494360,5556646,5693865,6062880,6634881,7135387,7793418,8461182,8815791,9338006,9384596,10243131
 "41017","Deschutes, OR",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",80.676,84.263,88.363,91.943,101.107,108.158,111.756,109.680,99.685,96.496,97.590,100.000,106.481,116.527,125.317,136.874,148.602,154.830,164.001,164.819,179.898
 "41017","Deschutes, OR",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",3593738,3837742,4103016,4401084,4994420,5520567,5878263,5859078,5419281,5295301,5431327,5693865,6202703,6939945,7638495,8496873,9393612,9991707,10846662,11170821,12618710
 "41019","Douglas, OR",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",2752767,2895133,2883572,3013731,3088976,3097541,3078758,3016506,2941239,2959794,2997514,2972007,2927735,2916298,3029498,3165780,3260911,3268968,3311322,3359390,3555936
