GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "42000","Pennsylvania",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",547260884,555055949,568242429,584328322,594855081,597219244,617309871,629807875,610147940,627726306,637114019,647925864,655929175,669643138,682466094,688359359,694866601,704027839,715060674,680957392,710973068
 "42000","Pennsylvania",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",84.464,85.667,87.702,90.184,91.809,92.174,95.275,97.204,94.169,96.882,98.331,100.000,101.235,103.352,105.331,106.240,107.245,108.659,110.361,105.098,109.731
 "42000","Pennsylvania",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",427108587,440971677,460270612,487306119,511731413,531274069,565831789,588024592,582144799,604736812,624819701,647925864,668569057,694142612,714202878,726561931,746440960,773977404,799888848,771613206,844496474
 "42001","Adams, PA",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",2683369,2890555,2883262,2930536,3056685,3191546,3179475,3255425,3306821,3243720,3313173,3413141,3415857,3413357,3498789,3539697,3700218,3597118,3530565,3333879,3504068
 "42001","Adams, PA",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",78.619,84.689,84.475,85.860,89.556,93.508,93.154,95.379,96.885,95.036,97.071,100.000,100.080,100.006,102.509,103.708,108.411,105.390,103.440,97.678,102.664
 "42001","Adams, PA",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2048454,2257361,2289632,2385058,2575203,2778773,2854221,2995698,3139227,3114088,3237328,3413141,3496649,3568742,3747646,3849544,4092782,4051431,4075626,3937416,4310644
 "42003","Allegheny, PA",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",71665618,72400967,74073253,74996376,74711011,73223174,74812288,76218454,75628700,77894479,78714531,79820383,81024107,81995649,84986251,84788471,87864226,91146246,92594804,87688533,92221348
 "42003","Allegheny, PA",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",89.784,90.705,92.800,93.956,93.599,91.735,93.726,95.487,94.749,97.587,98.615,100.000,101.508,102.725,106.472,106.224,110.077,114.189,116.004,109.857,115.536
 "42003","Allegheny, PA",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",55094305,56779787,59496182,62314371,64405534,65503868,69140291,71493667,71780114,74945891,77126988,79820383,82515309,85034315,89450528,90378942,95338903,101275843,104866536,100797019,109962856
 "42005","Armstrong, PA",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",2280885,2384770,2405583,2372024,2421949,2335152,2363354,2487674,2369723,2602140,2557132,2387723,2408609,2308703,2244767,2194190,2271032,2239269,2167283,1984891,1963465
 "42005","Armstrong, PA",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",95.526,99.876,100.748,99.343,101.433,97.798,98.979,104.186,99.246,108.980,107.095,100.000,100.875,96.691,94.013,91.895,95.113,93.783,90.768,83.129,82.232
 "42005","Armstrong, PA",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1668652,1746007,1822193,1890487,2050645,2109250,2202056,2400845,2257606,2546028,2567108,2387723,2443130,2406378,2292455,2229586,2375039,2410134,2364813,2148410,2359269
 "42007","Beaver, PA",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",5988485,6069813,6086959,6397301,6486481,6804552,6928891,6876393,6455344,6774074,6958752,6813629,6622432,6541290,6263769,6190627,6226793,6264318,6683001,6205549,6411448
 "42007","Beaver, PA",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",87.890,89.083,89.335,93.890,95.199,99.867,101.692,100.921,94.742,99.419,102.130,100.000,97.194,96.003,91.930,90.857,91.387,91.938,98.083,91.076,94.097
 "42007","Beaver, PA",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",4585591,4673151,4802091,5255976,5569151,6236370,6527789,6594765,6262556,6631036,6953216,6813629,6727236,6877721,6659748,6579019,6773932,7018243,7660921,7178994,7951052
 "42009","Bedford, PA",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1295846,1283357,1309326,1290474,1275949,1305416,1364087,1511912,1449240,1500175,1523641,1410316,1442758,1441822,1429340,1389336,1470186,1451463,1445215,1265464,1449288
 "42009","Bedford, PA",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",91.883,90.998,92.839,91.503,90.473,92.562,96.722,107.204,102.760,106.372,108.035,100.000,102.300,102.234,101.349,98.512,104.245,102.918,102.475,89.729,102.763
 "42009","Bedford, PA",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",985722,995140,1036433,1059022,1075374,1137916,1242226,1404940,1372652,1429868,1490531,1410316,1474092,1494750,1511658,1493679,1604266,1616974,1653354,1485795,1784112
 "42011","Berks, PA",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",14977624,15205987,15485605,15763116,16119576,16853884,16682691,16785031,16130372,16483687,16997785,17098629,17273002,17585578,18308769,18542071,18668859,18761790,18780455,18093696,18519137
 "42011","Berks, PA",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",87.595,88.931,90.566,92.189,94.274,98.569,97.567,98.166,94.337,96.404,99.410,100.000,101.020,102.848,107.077,108.442,109.183,109.727,109.836,105.820,108.308
 "42011","Berks, PA",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",11663431,12042382,12426165,13093541,13799167,14994630,15312477,15732170,15424834,15924631,16687224,17098629,17530141,18166779,19197465,19607264,20124184,20718221,21159836,20650449,22055785
 "42013","Blair, PA",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",4668334,4666244,4783007,4982103,5137575,5224819,5158237,5159936,5150666,5223403,5214591,5164555,5174327,5186277,5248749,5299465,5411742,5446625,5561747,5371108,5585623
 "42013","Blair, PA",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",90.392,90.351,92.612,96.467,99.478,101.167,99.878,99.911,99.731,101.139,100.969,100.000,100.189,100.421,101.630,102.612,104.786,105.462,107.691,103.999,108.153
 "42013","Blair, PA",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",3613718,3674307,3822053,4097538,4343042,4573449,4662108,4768738,4898089,5018873,5100667,5164555,5280955,5380123,5559899,5685908,5895747,6049251,6318818,6223935,6736868
 "42015","Bradford, PA",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1910874,1960273,2036130,2033503,2091825,2083290,2089099,2304318,2967263,3496585,3982342,3834769,3582644,4160396,4058862,3959645,4043720,3777771,4240535,4337916,4266225
 "42015","Bradford, PA",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",49.830,51.118,53.097,53.028,54.549,54.326,54.478,60.090,77.378,91.181,103.848,100.000,93.425,108.491,105.844,103.256,105.449,98.514,110.581,113.121,111.251
 "42015","Bradford, PA",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1466463,1533213,1622591,1692520,1784754,1838253,1919403,2176243,2748954,3385582,4077948,3834769,3705893,4310426,3369404,3200975,3506699,3468244,3750505,3523085,4534416
