GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "00000","United States", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",13263417000,13488357000,13865519000,14399696000,14901269000,15315943000,15623871000,15642962000,15236262000,15648991000,15891534000,16253970000,16553348000,16932051000,17390295000,17680274000,18076651000,18609078000,19036052000,18509143000,19609812000
 "00000","United States", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",81.601,82.985,85.305,88.592,91.678,94.229,96.123,96.241,93.739,96.278,97.770,100.000,101.842,104.172,106.991,108.775,111.214,114.489,117.116,113.875,120.646
 "00000","United States", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",10581929000,10929108000,11456450000,12217196000,13039197000,13815583000,14474228000,14769862000,14478067000,15048970000,15599731000,16253970000,16843196000,17550687000,18206023000,18695106000,19477337000,20533058000,21380976000,21060474000,23315081000
 "00998","United States (Metropolitan Portion)", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",11874235672,12073716413,12400061626,12881271967,13346389557,13735373450,13989583238,13981160156,13570753477,13907350523,14096256054,14393209919,14599728227,14946063032,15388564160,15686018842,16054597033,16542284149,16934317169,16455575101,17481998373
 "00998","United States (Metropolitan Portion)", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",82.499,83.885,86.152,89.495,92.727,95.430,97.196,97.137,94.286,96.624,97.937,100.000,101.435,103.841,106.915,108.982,111.543,114.931,117.655,114.329,121.460
 "00998","United States (Metropolitan Portion)", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",9412085869,9721705639,10177167148,10848657662,11583917794,12280278804,12867643710,13078694671,12855175235,13336251437,13789199172,14393209919,14893345239,15542504358,16258528721,16765528039,17464939268,18419613186,19224236570,18968978390,20943239585
 "00999","United States (Nonmetropolitan Portion) *", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1472883205,1511723821,1537160004,1581026858,1614360329,1653122143,1661035416,1668535495,1653243088,1685457583,1715302074,1747533082,1791481725,1827207627,1848655246,1842838771,1862461772,1884397804,1915562525,1863744584,1917658997
 "00999","United States (Nonmetropolitan Portion) *", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",84.284,86.506,87.962,90.472,92.379,94.597,95.050,95.479,94.604,96.448,98.156,100.000,102.515,104.559,105.787,105.454,106.577,107.832,109.615,106.650,109.735
 "00999","United States (Nonmetropolitan Portion) *", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1103564131,1139809361,1206512852,1292578338,1375980206,1452638196,1520568290,1599773329,1524741765,1608806563,1699336828,1747533082,1836535761,1894413642,1835542279,1820713961,1903569732,1989045814,2026747430,1956257610,2235415415
 "01000","Alabama",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",156853184,160422382,165134740,176624994,184369466,187270767,189002509,186946680,180707162,184702392,187605835,189245509,191369800,189886333,191335242,194283784,196974912,200372623,203432712,199880770,209979322
 "01000","Alabama",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",82.883,84.769,87.260,93.331,97.423,98.957,99.872,98.785,95.488,97.599,99.134,100.000,101.123,100.339,101.104,102.662,104.084,105.880,107.497,105.620,110.956
 "01000","Alabama",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",122915468,127504955,134152582,147715210,158846829,166469026,172975203,174526304,170930898,177249159,183916641,189245509,194786921,197406850,202372397,207368358,214606320,223859308,231561934,230892059,254109734
 "01998","Alabama (Metropolitan Portion)",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",125961889,129431973,133612147,142149487,148125069,150841058,153292078,152310799,147579549,150550034,153813450,154819458,155783171,155035483,156185981,159127819,161429958,164277745,167687987,165215675,173333274
 "01998","Alabama (Metropolitan Portion)",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",81.361,83.602,86.302,91.816,95.676,97.430,99.013,98.380,95.324,97.242,99.350,100.000,100.622,100.140,100.883,102.783,104.270,106.109,108.312,106.715,111.958
 "01998","Alabama (Metropolitan Portion)",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",98329262,102579900,108233755,118546200,127629693,134374725,140544764,142315283,139697607,144456588,150807400,154819458,158392951,161100589,165298405,170037493,176106078,183980994,191378025,191196306,210099726
 "01999","Alabama (Nonmetropolitan Portion) *",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",30901655,31010819,31548812,34492875,36260850,36444020,35713995,34634293,33125156,34150239,33792234,34426050,35584361,34850517,35148712,35152546,35540845,36090037,35726817,34641759,36623763
 "01999","Alabama (Nonmetropolitan Portion) *",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",89.762,90.080,91.642,100.194,105.330,105.862,103.741,100.605,96.221,99.199,98.159,100.000,103.365,101.233,102.099,102.110,103.238,104.834,103.778,100.627,106.384
 "01999","Alabama (Nonmetropolitan Portion) *",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",24586205,24925054,25918827,29169010,31217135,32094301,32430439,32211020,31233292,32792571,33109240,34426050,36393970,36306261,37073992,37330865,38500242,39878314,40183909,39695753,44010008
 "02000","Alaska",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",40958700,42979048,42355306,44055010,45657067,49190165,51720973,51252097,56215136,54601512,55280318,58283630,55354302,54188237,54740850,54246627,54278667,53326985,53433791,50705178,50869390
 "02000","Alaska",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",70.275,73.741,72.671,75.587,78.336,84.398,88.740,87.936,96.451,93.682,94.847,100.000,94.974,92.973,93.921,93.074,93.128,91.496,91.679,86.997,87.279
 "02000","Alaska",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",28494061,29756850,32037922,35302447,40356604,45094111,49583742,55122478,49957770,53331622,56896350,58283630,57247714,56484937,51490883,50727653,53301510,54899608,54728232,50475190,57349378
 "02998","Alaska (Metropolitan Portion)",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",23462973,23131538,23646345,24156208,25452007,25767935,26152089,27393655,28255767,29210016,29199239,28925848,28218575,28233710,29201093,29320629,28851351,29001592,28919814,27885525,28397352
