GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "44000","Rhode Island",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",45749778,47224538,48571146,50513783,51369693,52899551,51469077,50575168,50004342,51332792,51279628,51583009,51910850,52293380,52819094,52902634,52691814,52553250,53411430,51516106,54606028
 "44000","Rhode Island",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",88.692,91.551,94.161,97.927,99.586,102.552,99.779,98.046,96.940,99.515,99.412,100.000,100.636,101.377,102.396,102.558,102.150,101.881,103.545,99.870,105.860
 "44000","Rhode Island",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",35862845,37809240,39637964,42363863,44374130,47204393,47340757,47277451,47702174,49468339,50206102,51583009,53034096,54559679,56390807,57353495,58084984,59290780,61642824,60770647,66570874
 "44001","Bristol, RI",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1385870,1449297,1511358,1559119,1584361,1580332,1626840,1685960,1634323,1712937,1648438,1612353,1670638,1675784,1670863,1678001,1679987,1673044,1685657,1627442,1763256
 "44001","Bristol, RI",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",85.953,89.887,93.736,96.698,98.264,98.014,100.899,104.565,101.363,106.238,102.238,100.000,103.615,103.934,103.629,104.072,104.195,103.764,104.546,100.936,109.359
 "44001","Bristol, RI",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1059337,1137505,1211711,1285479,1350152,1395284,1482318,1567801,1562151,1648956,1610304,1612353,1709229,1749450,1793664,1837783,1872755,1904747,1967943,1947866,2159283
 "44003","Kent, RI",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",7172616,7542947,7836085,8210530,8438836,8923004,8370125,8201133,8214714,8247899,8258664,8376528,8445295,8408921,8400170,8445779,8594126,8496975,8651417,8149477,8597523
 "44003","Kent, RI",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",85.628,90.049,93.548,98.018,100.744,106.524,99.924,97.906,98.068,98.464,98.593,100.000,100.821,100.387,100.282,100.827,102.598,101.438,103.282,97.289,102.638
 "44003","Kent, RI",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",5697324,6095147,6419684,6889195,7280099,7938572,7663334,7640796,7825296,7921188,8064574,8376528,8608982,8728701,8922882,9104793,9404646,9501591,9901690,9498398,10409426
 "44005","Newport, RI",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",4547814,4659919,4873050,5063326,5124030,5136585,5163737,5361956,5244132,5364787,5270134,5267597,5486861,5367217,5214897,5305173,5460861,5412200,5637609,5515077,5955925
 "44005","Newport, RI",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",86.336,88.464,92.510,96.122,97.275,97.513,98.028,101.791,99.555,101.845,100.048,100.000,104.162,101.891,99.000,100.713,103.669,102.745,107.024,104.698,113.067
 "44005","Newport, RI",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",3657071,3834941,4099250,4357347,4536753,4678840,4835494,5087606,5065222,5218003,5189823,5267597,5581360,5568372,5529785,5702800,5969623,6053531,6451280,6431899,7163776
 "44007","Providence, RI",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",27861661,28567162,29107242,30139476,30416156,31407599,30378743,29501117,29258166,30213981,30207015,30505822,30365917,30872130,31315408,31167259,31015625,30715654,31333844,30225173,31846813
 "44007","Providence, RI",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",91.332,93.645,95.415,98.799,99.706,102.956,99.583,96.707,95.910,99.043,99.020,100.000,99.541,101.201,102.654,102.168,101.671,100.688,102.714,99.080,104.396
 "44007","Providence, RI",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",21734639,22773429,23679883,25242072,26250313,28020210,27949859,27568223,27850535,29106107,29581211,30505822,31057600,32290231,33496868,33850512,34278772,34785902,36284936,35809435,38996997
 "44009","Washington, RI",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",4784370,5007432,5243141,5541608,5809107,5856654,5932726,5823496,5652240,5792393,5895376,5820709,5942586,5968069,6214331,6303905,5942126,6256117,6104270,5999007,6444121
 "44009","Washington, RI",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",82.196,86.028,90.077,95.205,99.801,100.618,101.924,100.048,97.106,99.514,101.283,100.000,102.094,102.532,106.762,108.301,102.086,107.480,104.872,103.063,110.710
 "44009","Washington, RI",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",3714476,3968217,4227435,4589770,4956814,5171486,5409752,5413025,5398970,5574086,5760190,5820709,6076925,6222926,6647607,6857607,6559188,7045009,7036975,7083048,7841392
"Note: See the included footnote file."
"CAGDP1: County and MSA gross domestic product (GDP) summary "
"Last updated: December 8, 2022 -- new statistics for 2021, revised statistics for 2017-2020."
"U.S. Bureau of Economic Analysis"
