GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "45000","South Carolina",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",151015927,155275085,161269336,164083415,169488505,173370890,178474596,176567552,168851803,172131012,176083212,177618147,180881560,185986891,192019853,198005701,202512382,207101172,213237789,208234054,221044963
 "45000","South Carolina",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",85.023,87.421,90.796,92.380,95.423,97.609,100.482,99.409,95.065,96.911,99.136,100.000,101.837,104.712,108.108,111.478,114.016,116.599,120.054,117.237,124.450
 "45000","South Carolina",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",119478104,124863860,131566458,136981970,145403648,153647734,162746349,163886174,161813499,165860001,172075068,177618147,185009060,194352689,205816699,215120222,223266681,233251426,245987175,245359471,269802468
 "45001","Abbeville, SC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",603920,557126,546703,570174,577036,555030,523071,512810,493171,507013,522995,511999,554365,570447,546574,547262,545090,559661,557112,548273,565076
 "45001","Abbeville, SC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",117.953,108.814,106.778,111.362,112.703,108.404,102.162,100.158,96.323,99.026,102.148,100.000,108.275,111.415,106.753,106.887,106.463,109.309,108.811,107.085,110.367
 "45001","Abbeville, SC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",487597,456175,447776,476039,492896,495448,480969,480421,469069,487498,514371,511999,563027,589562,572697,577250,583101,615759,628299,625610,674992
 "45003","Aiken, SC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",5646891,5744963,5859586,5829812,5812682,5622227,6359989,6587538,6071208,6183986,6172572,6070139,5881054,5813479,6000868,5992787,6123197,6214266,6340101,6145749,6352770
 "45003","Aiken, SC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",93.027,94.643,96.531,96.041,95.759,92.621,104.775,108.524,100.018,101.876,101.687,100.000,96.885,95.772,98.859,98.726,100.874,102.374,104.447,101.246,104.656
 "45003","Aiken, SC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",4382188,4566557,4742883,4815111,4914265,4925474,5755313,6079690,5811986,5961153,6035749,6070139,6034633,6105890,6492027,6610411,6866156,7145343,7496935,7465651,7959021
 "45005","Allendale, SC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",295287,306886,305399,305322,312813,409456,385106,321467,307037,340763,324552,309732,281618,262259,239333,253543,264278,261941,242221,253053,247393
 "45005","Allendale, SC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",95.336,99.081,98.601,98.576,100.995,132.197,124.335,103.789,99.130,110.019,104.785,100.000,90.923,84.673,77.271,81.859,85.325,84.570,78.203,81.701,79.873
