GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "46000","South Dakota",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",29455176,32784948,32979104,34269615,35842215,36350847,37755908,39080757,39987275,40369602,43049494,43901496,44147391,44846485,45664543,46075971,45775826,46300259,46650530,47402354,49557948
 "46000","South Dakota",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",67.094,74.678,75.121,78.060,81.642,82.801,86.001,89.019,91.084,91.955,98.059,100.000,100.560,102.153,104.016,104.953,104.269,105.464,106.262,107.974,112.884
 "46000","South Dakota",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",23412148,26322147,27216109,29271344,30997351,32364480,35073002,36603038,36432910,37852465,41892079,43901496,45361036,46785358,48070197,49151433,50232488,52299329,54001302,55681216,61684689
 "46003","Aurora, SD",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",89508,89012,111864,96616,72132,50062,86557,110343,120886,115081,136334,100249,100370,96252,92191,73561,74452,78493,78059,91749,95843
 "46003","Aurora, SD",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",89.286,88.791,111.586,96.375,71.953,49.937,86.342,110.069,120.585,114.795,135.995,100.000,100.121,96.013,91.962,73.378,74.267,78.298,77.865,91.521,95.605
 "46003","Aurora, SD",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",63348,62686,84244,80025,56609,40387,75846,97755,93350,96336,132733,100249,103133,96853,89413,70608,73417,79360,81082,96786,117471
 "46005","Beadle, SD",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",588675,609073,627088,633181,639263,601667,689084,756304,747375,754291,861203,770895,795614,797199,848006,901636,865825,870283,855525,823040,806927
 "46005","Beadle, SD",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",76.363,79.009,81.345,82.136,82.925,78.048,89.388,98.107,96.949,97.846,111.715,100.000,103.206,103.412,110.003,116.960,112.314,112.893,110.978,106.764,104.674
 "46005","Beadle, SD",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",450367,471383,500297,528264,532088,513055,617709,689799,669033,692235,834926,770895,815331,818264,871417,923892,906443,922455,925432,908816,977731
 "46007","Bennett, SD",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",68274,56328,87904,68413,83746,66156,64106,67616,69565,68966,71576,84148,77730,96823,116184,115289,126687,117855,106845,101600,93563
 "46007","Bennett, SD",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",81.135,66.939,104.464,81.300,99.521,78.619,76.183,80.353,82.670,81.958,85.060,100.000,92.373,115.063,138.071,137.006,150.553,140.056,126.972,120.739,111.188
