GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "47000","Tennessee",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",233362517,240971708,248993825,260553468,268391673,274879190,273224016,274571064,264737142,268449776,276898269,286341468,289794603,294130095,304484156,310143234,318963860,323541560,331176573,323453970,352461151
 "47000","Tennessee",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",81.498,84.155,86.957,90.994,93.731,95.997,95.419,95.889,92.455,93.752,96.702,100.000,101.206,102.720,106.336,108.312,111.393,112.992,115.658,112.961,123.091
 "47000","Tennessee",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",186441326,195764261,205126367,219327867,231633471,243583911,248692407,254241951,252332806,257775951,269814236,286341468,295862748,306153144,325294030,336413889,350838658,363055457,380128494,379007099,427125454
 "47001","Anderson, TN",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",3714170,3958842,3971399,3912942,3997213,4012419,4021000,4070700,3989570,4231283,4375695,4301721,4203684,4315108,4190590,4219001,4413977,4440486,4540229,4479289,5046830
 "47001","Anderson, TN",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",86.341,92.029,92.321,90.962,92.921,93.275,93.474,94.630,92.744,98.363,101.720,100.000,97.721,100.311,97.417,98.077,102.610,103.226,105.544,104.128,117.321
 "47001","Anderson, TN",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",3092107,3340758,3387277,3389046,3544618,3622265,3703208,3790735,3890170,4086678,4260323,4301721,4301982,4488824,4511619,4611380,4851989,4957304,5200978,5237783,5980587
 "47003","Bedford, TN",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1127038,1177811,1292239,1433137,1543288,1625320,1638091,1584749,1404489,1533827,1594821,1648893,1754441,1741469,1659656,1569275,1588843,1677343,1737872,1651993,1847230
 "47003","Bedford, TN",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",68.351,71.430,78.370,86.915,93.595,98.570,99.345,96.110,85.178,93.022,96.721,100.000,106.401,105.614,100.653,95.171,96.358,101.725,105.396,100.188,112.028
 "47003","Bedford, TN",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",944013,1003170,1107410,1235847,1347699,1431125,1464323,1443922,1355245,1477063,1537912,1648893,1793848,1821293,1811376,1737142,1769611,1881262,1991865,1940064,2190526
 "47005","Benton, TN",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",314406,314042,300725,315829,310282,308577,309610,309708,305817,304110,312874,315202,315761,324222,328321,319730,334089,317856,319157,323581,341341
 "47005","Benton, TN",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",99.747,99.632,95.407,100.199,98.439,97.898,98.226,98.257,97.023,96.481,99.262,100.000,100.177,102.862,104.162,101.436,105.992,100.842,101.255,102.658,108.293
 "47005","Benton, TN",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",236715,241592,236272,257577,262457,270126,278955,285612,288277,290148,304604,315202,324223,341445,354930,351926,376463,369217,379966,394149,437883
 "47007","Bledsoe, TN",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",197839,194928,185216,177629,183886,177591,188240,187657,175789,183372,197365,179744,186104,201253,210017,192511,205592,191835,188033,189819,197398
 "47007","Bledsoe, TN",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",110.068,108.448,103.045,98.823,102.305,98.802,104.727,104.402,97.800,102.019,109.804,100.000,103.539,111.967,116.843,107.103,114.380,106.727,104.612,105.605,109.822
 "47007","Bledsoe, TN",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",155072,153581,149983,149019,156533,155285,170160,173056,166093,175436,192872,179744,191461,209059,217769,199696,217029,207113,208218,216437,234150
 "47009","Blount, TN",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",3430206,3565712,3725941,3940145,4135960,4270912,4075116,4100474,3756226,3904205,4142514,4426193,4541467,4473780,4572691,4778132,5061100,5162754,5375124,5239908,5829434
 "47009","Blount, TN",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",77.498,80.559,84.179,89.019,93.443,96.492,92.068,92.641,84.864,88.207,93.591,100.000,102.604,101.075,103.310,107.951,114.344,116.641,121.439,118.384,131.703
 "47009","Blount, TN",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2735241,2882453,3044139,3358360,3640214,3918414,3848156,3915480,3591848,3781571,4061096,4426193,4609887,4656495,4884882,5159962,5570250,5790102,6120911,6002228,6907732
 "47011","Bradley, TN",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",3061323,3214300,3241417,3459955,3467420,3434388,3464619,3489580,3392437,3543665,3618555,4087820,4148750,4077279,4143759,4001333,4003879,3983446,4029943,4017935,4180320
 "47011","Bradley, TN",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",74.889,78.631,79.295,84.641,84.823,84.015,84.755,85.365,82.989,86.688,88.520,100.000,101.491,99.742,101.368,97.884,97.947,97.447,98.584,98.290,102.263
 "47011","Bradley, TN",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2398795,2564546,2603741,2818729,2890436,2936828,3044174,3158082,3230120,3382722,3494443,4087820,4232219,4230259,4414125,4333993,4380677,4443957,4615195,4710651,5081024
 "47013","Campbell, TN",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",790611,752146,788827,836004,913939,870794,904558,926630,883873,868111,831437,805622,798697,775605,769431,789627,822565,843909,860198,857117,941404
 "47013","Campbell, TN",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",98.137,93.362,97.915,103.771,113.445,108.090,112.281,115.020,109.713,107.757,103.204,100.000,99.140,96.274,95.508,98.015,102.103,104.752,106.775,106.392,116.854
 "47013","Campbell, TN",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",600325,583502,620865,673169,760637,750470,803964,845083,836447,831207,810439,805622,815395,808457,824192,861346,909910,953522,999070,1021396,1142509
 "47015","Cannon, TN",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",160534,179097,184371,189775,203642,202090,197406,185163,172656,186828,190489,212756,206650,209104,209718,217117,226699,226204,230712,240201,256821
 "47015","Cannon, TN",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",75.454,84.179,86.658,89.198,95.716,94.987,92.785,87.031,81.152,87.813,89.534,100.000,97.130,98.284,98.572,102.050,106.553,106.321,108.440,112.899,120.711
 "47015","Cannon, TN",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",123598,140951,148824,157842,173651,176803,179147,170949,164465,179384,185471,212756,212089,219981,229137,241231,256205,260056,272508,290992,322298
 "47017","Carroll, TN",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",581095,589148,609637,618731,654608,670375,600492,624033,617564,582770,675243,653747,679927,643692,638432,620730,637019,625774,603209,554205,562528
 "47017","Carroll, TN",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",88.887,90.119,93.253,94.644,100.132,102.544,91.854,95.455,94.465,89.143,103.288,100.000,104.005,98.462,97.657,94.950,97.441,95.721,92.269,84.774,86.047
 "47017","Carroll, TN",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",450109,466890,491221,520510,564993,602448,561713,594866,572179,556494,667279,653747,688852,666726,664862,651144,691750,704212,687691,638435,688602
 "47019","Carter, TN",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",863435,891521,896202,916744,930421,923161,935913,938091,921839,884344,916281,945496,924222,896454,907478,920039,947581,941221,936715,927235,973661
 "47019","Carter, TN",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",91.321,94.291,94.786,96.959,98.406,97.638,98.986,99.217,97.498,93.532,96.910,100.000,97.750,94.813,95.979,97.308,100.220,99.548,99.071,98.069,102.979
