GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "48000","Texas",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1020537759,1043566910,1050609448,1109477025,1141373737,1228547292,1286192710,1282088657,1277295392,1309962361,1353600364,1421180088,1484700136,1529617128,1605901672,1619954155,1659453293,1728304015,1779781391,1747562001,1815063574
 "48000","Texas",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",71.809,73.430,73.925,78.067,80.312,86.446,90.502,90.213,89.876,92.174,95.245,100.000,104.470,107.630,112.998,113.987,116.766,121.610,125.233,122.966,127.715
 "48000","Texas",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",773375473,789817593,833342258,913444373,995252430,1103197618,1191093058,1244294865,1169607677,1245959423,1341334387,1421180088,1515195596,1579299467,1573498371,1579014883,1673234322,1809396730,1858757760,1789933358,2051768556
 "48001","Anderson, TX",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1542101,1566203,1541784,1522055,1536998,1678218,1774424,1772604,1706552,1749723,1767681,1782365,1743413,1720735,1665103,1716076,1760892,1820342,1889459,1877252,1988409
 "48001","Anderson, TX",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",86.520,87.872,86.502,85.395,86.234,94.157,99.554,99.452,95.747,98.169,99.176,100.000,97.815,96.542,93.421,96.281,98.795,102.131,106.009,105.324,111.560
 "48001","Anderson, TX",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1118793,1136064,1190288,1232785,1328334,1499647,1652152,1760986,1601453,1692455,1748817,1782365,1787481,1792995,1721441,1788842,1868140,1978146,2089526,2109830,2338744
 "48003","Andrews, TX",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",2022178,2667232,1917821,1923280,1998444,2487794,2711231,2653463,3286653,3195001,3694633,4913597,4725045,4596351,4842339,4950791,4993989,5048964,5163990,4698183,4943746
 "48003","Andrews, TX",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",41.155,54.283,39.031,39.142,40.672,50.631,55.178,54.002,66.889,65.024,75.192,100.000,96.163,93.544,98.550,100.757,101.636,102.755,105.096,95.616,100.614
 "48003","Andrews, TX",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1056876,1179105,1251230,1482600,2036843,2573327,2978753,3876662,2566878,3264203,4273500,4913597,5053479,4773919,2658633,2392102,3014767,3607915,3007396,1882916,4037848
 "48005","Angelina, TX",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",2524000,2537214,2579593,2686277,2689237,2828202,2928922,3044334,3023272,3072683,3148910,3261229,3136589,3109270,3029164,2865538,2900544,3015825,3085230,2996772,2908393
 "48005","Angelina, TX",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",77.394,77.799,79.099,82.370,82.461,86.722,89.810,93.349,92.703,94.219,96.556,100.000,96.178,95.340,92.884,87.867,88.940,92.475,94.603,91.891,89.181
 "48005","Angelina, TX",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2040107,2083101,2150447,2307092,2379072,2571502,2729687,2917924,2854948,2965873,3083415,3261229,3219702,3255023,3217120,3086245,3175296,3384253,3474394,3349618,3591845
